col0,col1,col2,col3
20.0,1.50968051e-08,20.0,1.06572965e-08
20.4658598,1.50810045e-08,20.4658598,1.06459972e-08
20.942571,1.5065565e-08,20.942571,1.06349598e-08
21.4303861,1.50504784e-08,21.4303861,1.06241779e-08
21.9295639,1.50357367e-08,21.9295639,1.06136457e-08
22.4403691,1.50213319e-08,22.4403691,1.06033572e-08
22.9630724,1.50072564e-08,22.9630724,1.05933067e-08
23.4979511,1.49935025e-08,23.4979511,1.05834887e-08
24.0452887,1.49800631e-08,24.0452887,1.05738977e-08
24.6053754,1.49669307e-08,24.6053754,1.05645284e-08
25.1785082,1.49540985e-08,25.1785082,1.05553756e-08
25.764991,1.49415596e-08,25.764991,1.05464342e-08
26.3651348,1.49293072e-08,26.3651348,1.05376994e-08
26.9792577,1.49173348e-08,26.9792577,1.05291662e-08
27.6076853,1.49056361e-08,27.6076853,1.05208299e-08
28.2507509,1.48942046e-08,28.2507509,1.0512686e-08
28.9087954,1.48830343e-08,28.9087954,1.05047299e-08
29.5821678,1.48721193e-08,29.5821678,1.04969574e-08
30.271225,1.48614537e-08,30.271225,1.0489364e-08
30.9763324,1.48510317e-08,30.9763324,1.04819456e-08
31.6978638,1.48408479e-08,31.6978638,1.04746983e-08
32.4362019,1.48308967e-08,32.4362019,1.04676178e-08
33.1917381,1.48211729e-08,33.1917381,1.04607005e-08
33.964873,1.48116711e-08,33.964873,1.04539424e-08
34.7560166,1.48023865e-08,34.7560166,1.04473399e-08
35.5655882,1.47933139e-08,35.5655882,1.04408894e-08
36.3940172,1.47844485e-08,36.3940172,1.04345874e-08
37.2417427,1.47757856e-08,37.2417427,1.04284303e-08
38.1092144,1.47673206e-08,38.1092144,1.04224148e-08
38.996892,1.47590488e-08,38.996892,1.04165376e-08
39.9052463,1.4750966e-08,39.9052463,1.04107956e-08
40.8347589,1.47430678e-08,40.8347589,1.04051856e-08
41.7859226,1.47353499e-08,41.7859226,1.03997045e-08
42.7592418,1.47278082e-08,42.7592418,1.03943493e-08
