col0,col1,col2,col3
20.0,1.03255839e-08,20.0,8.68212945e-09
20.4658598,1.03088572e-08,20.4658598,8.66794693e-09
20.942571,1.02925146e-08,20.942571,8.65409298e-09
21.4303861,1.02765471e-08,21.4303861,8.64055988e-09
21.9295639,1.02609461e-08,21.9295639,8.62734011e-09
22.4403691,1.02457032e-08,22.4403691,8.61442632e-09
22.9630724,1.02308102e-08,22.9630724,8.60181134e-09
23.4979511,1.02162589e-08,23.4979511,8.58948817e-09
24.0452887,1.02020416e-08,24.0452887,8.57744997e-09
24.6053754,1.01881504e-08,24.6053754,8.56569009e-09
25.1785082,1.0174578e-08,25.1785082,8.55420199e-09
25.764991,1.01613169e-08,25.764991,8.54297934e-09
26.3651348,1.014836e-08,26.3651348,8.53201592e-09
26.9792577,1.01357003e-08,26.9792577,8.52130567e-09
27.6076853,1.01233309e-08,27.6076853,8.51084269e-09
28.2507509,1.01112452e-08,28.2507509,8.5006212e-09
28.9087954,1.00994366e-08,28.9087954,8.49063557e-09
29.5821678,1.00878988e-08,29.5821678,8.48088029e-09
30.271225,1.00766254e-08,30.271225,8.47135e-09
30.9763324,1.00656105e-08,30.9763324,8.46203945e-09
31.6978638,1.00548481e-08,31.6978638,8.45294352e-09
32.4362019,1.00443323e-08,32.4362019,8.44405721e-09
33.1917381,1.00340575e-08,33.1917381,8.43537565e-09
33.964873,1.00240182e-08,33.964873,8.42689407e-09
34.7560166,1.00142088e-08,34.7560166,8.41860782e-09
35.5655882,1.00046242e-08,35.5655882,8.41051236e-09
36.3940172,9.99525915e-09,36.3940172,8.40260325e-09
37.2417427,9.9861086e-09,37.2417427,8.39487616e-09
38.1092144,9.97716763e-09,38.1092144,8.38732687e-09
38.996892,9.96843142e-09,38.996892,8.37995125e-09
39.9052463,9.95989525e-09,39.9052463,8.37274527e-09
40.8347589,9.95155453e-09,40.8347589,8.36570499e-09
41.7859226,9.94340476e-09,41.7859226,8.35882657e-09
42.7592418,9.93544156e-09,42.7592418,8.35210626e-09
43.7552325,9.92766064e-09,43.7552325,8.3455404e-09
44.7744228,9.9200578e-09,44.7744228,8.3391254e-09
45.8173531,9.91262896e-09,45.8173531,8.33285777e-09
46.8845763,9.90537013e-09,46.8845763,8.32673411e-09
47.9766584,9.89827738e-09,47.9766584,8.32075107e-09
49.0941783,9.89134691e-09,49.0941783,8.3149054e-09
50.2377286,9.884575e-09,50.2377286,8.30919394e-09
51.4079157,9.877958e-09,51.4079157,8.30361356e-09
52.6053598,9.87149235e-09,52.6053598,8.29816125e-09
53.8306961,9.86517458e-09,53.8306961,8.29283405e-09
55.0845741,9.8590013e-09,55.0845741,8.28762905e-09
56.3676586,9.85296919e-09,56.3676586,8.28254345e-09
57.6806301,9.84707501e-09,57.6806301,8.27757449e-09
59.0241845,9.84131559e-09,59.0241845,8.27271946e-09
60.3990344,9.83568785e-09,60.3990344,8.26797575e-09
61.8059087,9.83018875e-09,61.8059087,8.26334078e-09
63.2455532,9.82481536e-09,63.2455532,8.25881205e-09
64.7187314,9.81956479e-09,64.7187314,8.2543871e-09
66.2262243,9.81443423e-09,66.2262243,8.25006355e-09
67.7688312,9.80942091e-09,67.7688312,8.24583905e-09
69.3473701,9.80452215e-09,69.3473701,8.24171133e-09
70.9626778,9.79973534e-09,70.9626778,8.23767815e-09
72.615611,9.79505789e-09,72.615611,8.23373734e-09
74.3070458,9.79048731e-09,74.3070458,8.22988678e-09
76.0378793,9.78602114e-09,76.0378793,8.22612437e-09
77.809029,9.78165699e-09,77.809029,8.2224481e-09
79.6214341,9.77739254e-09,79.6214341,8.21885598e-09
81.4760556,9.77322548e-09,81.4760556,8.21534608e-09
83.3738767,9.7691536e-09,83.3738767,8.2119165e-09
85.3159038,9.7651747e-09,85.3159038,8.2085654e-09
87.3031664,9.76128667e-09,87.3031664,8.20529098e-09
89.3367184,9.75748742e-09,89.3367184,8.20209146e-09
91.4176379,9.75377492e-09,91.4176379,8.19896514e-09
93.5470283,9.75014718e-09,93.5470283,8.19591032e-09
95.7260185,9.74660226e-09,95.7260185,8.19292537e-09
97.9557639,9.74313827e-09,97.9557639,8.19000868e-09
100.237447,9.73975336e-09,100.237447,8.18715868e-09
102.572277,9.73644571e-09,102.572277,8.18437384e-09
104.961492,9.73321355e-09,104.961492,8.18165267e-09
107.406359,9.73005517e-09,107.406359,8.17899371e-09
109.908175,9.72696887e-09,109.908175,8.17639552e-09
112.468265,9.723953e-09,112.468265,8.17385671e-09
115.087987,9.72100596e-09,115.087987,8.17137592e-09
117.768731,9.71812616e-09,117.768731,8.16895183e-09
120.511917,9.71531208e-09,120.511917,8.16658312e-09
123.319,9.7125622e-09,123.319,8.16426853e-09
126.191469,9.70987506e-09,126.191469,8.16200682e-09
129.130846,9.70724923e-09,129.130846,8.15979678e-09
132.13869,9.7046833e-09,132.13869,8.15763721e-09
135.216595,9.7021759e-09,135.216595,8.15552698e-09
138.366194,9.6997257e-09,138.366194,8.15346494e-09
141.589157,9.69733139e-09,141.589157,8.15144999e-09
144.887192,9.6949917e-09,144.887192,8.14948105e-09
148.262048,9.69270536e-09,148.262048,8.14755707e-09
151.715515,9.69047118e-09,151.715515,8.14567702e-09
155.249423,9.68828794e-09,155.249423,8.14383989e-09
158.865647,9.6861545e-09,158.865647,8.1420447e-09
162.566103,9.6840697e-09,162.566103,8.1402905e-09
166.352754,9.68203245e-09,166.352754,8.13857633e-09
170.227608,9.68004165e-09,170.227608,8.13690129e-09
174.192718,9.67809624e-09,174.192718,8.13526449e-09
178.250188,9.6761952e-09,178.250188,8.13366503e-09
182.402168,9.67433749e-09,182.402168,8.13210208e-09
186.65086,9.67252214e-09,186.65086,8.13057479e-09
190.998517,9.67074818e-09,190.998517,8.12908236e-09
195.447444,9.66901465e-09,195.447444,8.12762397e-09
200.0,9.66732065e-09,200.0,8.12619887e-09
204.658598,9.66566526e-09,204.658598,8.12480627e-09
209.42571,9.66404761e-09,209.42571,8.12344545e-09
214.303861,9.66246683e-09,214.303861,8.12211566e-09
219.295639,9.66092208e-09,219.295639,8.12081622e-09
224.403691,9.65941254e-09,224.403691,8.11954641e-09
229.630724,9.65793741e-09,229.630724,8.11830556e-09
234.979511,9.6564959e-09,234.979511,8.11709302e-09
240.452887,9.65508724e-09,240.452887,8.11590813e-09
246.053754,9.65371068e-09,246.053754,8.11475027e-09
251.785082,9.65236549e-09,251.785082,8.11361881e-09
257.64991,9.65105096e-09,257.64991,8.11251315e-09
263.651348,9.64976639e-09,263.651348,8.1114327e-09
269.792577,9.64851108e-09,269.792577,8.11037689e-09
276.076853,9.64728438e-09,276.076853,8.10934515e-09
282.507509,9.64608564e-09,282.507509,8.10833694e-09
289.087954,9.6449142e-09,289.087954,8.10735172e-09
295.821678,9.64376946e-09,295.821678,8.10638895e-09
302.71225,9.6426508e-09,302.71225,8.10544814e-09
309.763324,9.64155762e-09,309.763324,8.10452877e-09
316.978638,9.64048935e-09,316.978638,8.10363036e-09
324.362019,9.63944542e-09,324.362019,8.10275243e-09
331.917381,9.63842527e-09,331.917381,8.10189451e-09
339.64873,9.63742836e-09,339.64873,8.10105614e-09
347.560166,9.63645416e-09,347.560166,8.10023689e-09
355.655882,9.63550215e-09,355.655882,8.0994363e-09
363.940172,9.63457182e-09,363.940172,8.09865397e-09
372.417427,9.63366269e-09,372.417427,8.09788946e-09
381.092144,9.63277426e-09,381.092144,8.09714238e-09
389.96892,9.63190607e-09,389.96892,8.09641232e-09
399.052463,9.63105766e-09,399.052463,8.0956989e-09
408.347589,9.63022856e-09,408.347589,8.09500173e-09
417.859226,9.62941835e-09,417.859226,8.09432045e-09
427.592418,9.62862659e-09,427.592418,8.0936547e-09
437.552325,9.62785286e-09,437.552325,8.09300411e-09
447.744228,9.62709675e-09,447.744228,8.09236835e-09
458.173531,9.62635785e-09,458.173531,8.09174707e-09
468.845763,9.62563579e-09,468.845763,8.09113995e-09
479.766584,9.62493016e-09,479.766584,8.09054666e-09
490.941783,9.6242406e-09,490.941783,8.08996688e-09
502.377286,9.62356673e-09,502.377286,8.08940032e-09
514.079157,9.62290821e-09,514.079157,8.08884666e-09
526.053598,9.62226469e-09,526.053598,8.08830561e-09
538.306961,9.62163581e-09,538.306961,8.08777688e-09
550.845741,9.62102124e-09,550.845741,8.0872602e-09
563.676586,9.62042067e-09,563.676586,8.08675529e-09
576.806301,9.61983376e-09,576.806301,8.08626188e-09
590.241845,9.61926021e-09,590.241845,8.08577971e-09
603.990344,9.61869972e-09,603.990344,8.08530852e-09
618.059087,9.61815198e-09,618.059087,8.08484805e-09
632.455532,9.6176167e-09,632.455532,8.08439808e-09
647.187314,9.61709361e-09,647.187314,8.08395835e-09
662.262243,9.61658241e-09,662.262243,8.08352864e-09
677.688312,9.61608285e-09,677.688312,8.08310871e-09
693.473701,9.61559465e-09,693.473701,8.08269834e-09
709.626778,9.61511755e-09,709.626778,8.08229732e-09
726.15611,9.61465131e-09,726.15611,8.08190542e-09
743.070458,9.61419567e-09,743.070458,8.08152245e-09
760.378793,9.61375039e-09,760.378793,8.0811482e-09
778.09029,9.61331523e-09,778.09029,8.08078246e-09
796.214341,9.61288997e-09,796.214341,8.08042506e-09
814.760556,9.61247437e-09,814.760556,8.08007578e-09
833.738767,9.61206822e-09,833.738767,8.07973446e-09
853.159038,9.6116713e-09,853.159038,8.07940091e-09
873.031664,9.6112834e-09,873.031664,8.07907494e-09
893.367184,9.61090431e-09,893.367184,8.0787564e-09
914.176379,9.61053383e-09,914.176379,8.0784451e-09
935.470283,9.61017176e-09,935.470283,8.07814088e-09
957.260185,9.60981792e-09,957.260185,8.07784359e-09
979.557639,9.6094721e-09,979.557639,8.07755306e-09
1002.37447,9.60913414e-09,1002.37447,8.07726914e-09
1025.72277,9.60880384e-09,1025.72277,8.07699168e-09
1049.61492,9.60848104e-09,1049.61492,8.07672052e-09
1074.06359,9.60816556e-09,1074.06359,8.07645554e-09
1099.08175,9.60785723e-09,1099.08175,8.07619657e-09
1124.68265,9.60755588e-09,1124.68265,8.0759435e-09
1150.87987,9.60726137e-09,1150.87987,8.07569618e-09
1177.68731,9.60697352e-09,1177.68731,8.07545448e-09
1205.11917,9.60669219e-09,1205.11917,8.07521827e-09
1233.19,9.60641723e-09,1233.19,8.07498743e-09
1261.91469,9.60614849e-09,1261.91469,8.07476184e-09
1291.30846,9.60588582e-09,1291.30846,8.07454137e-09
1321.3869,9.60562909e-09,1321.3869,8.07432591e-09
1352.16595,9.60537815e-09,1352.16595,8.07411533e-09
1383.66194,9.60513288e-09,1383.66194,8.07390954e-09
1415.89157,9.60489314e-09,1415.89157,8.07370842e-09
1448.87192,9.60465881e-09,1448.87192,8.07351187e-09
1482.62048,9.60442976e-09,1482.62048,8.07331977e-09
1517.15515,9.60420586e-09,1517.15515,8.07313203e-09
1552.49423,9.603987e-09,1552.49423,8.07294854e-09
1588.65647,9.60377305e-09,1588.65647,8.07276922e-09
1625.66103,9.60356391e-09,1625.66103,8.07259396e-09
1663.52754,9.60335946e-09,1663.52754,8.07242266e-09
