col0,col1,col2,col3
20.0,9.31290091e-09,20.0,9.32704e-09
20.4658598,9.29934422e-09,20.4658598,9.31333581e-09
20.942571,9.28611064e-09,20.942571,9.29996128e-09
21.4303861,9.27319224e-09,21.4303861,9.28690818e-09
21.9295639,9.2605813e-09,21.9295639,9.27416849e-09
22.4403691,9.24827029e-09,22.4403691,9.26173442e-09
22.9630724,9.23625188e-09,22.9630724,9.24959835e-09
23.4979511,9.22451891e-09,23.4979511,9.2377529e-09
24.0452887,9.21306441e-09,24.0452887,9.22619085e-09
24.6053754,9.20188158e-09,24.6053754,9.21490518e-09
25.1785082,9.19096381e-09,25.1785082,9.20388905e-09
25.764991,9.18030464e-09,25.764991,9.1931358e-09
26.3651348,9.16989777e-09,26.3651348,9.18263895e-09
26.9792577,9.15973707e-09,26.9792577,9.17239216e-09
27.6076853,9.14981656e-09,27.6076853,9.16238928e-09
28.2507509,9.14013041e-09,28.2507509,9.15262431e-09
28.9087954,9.13067294e-09,28.9087954,9.14309142e-09
29.5821678,9.1214386e-09,29.5821678,9.1337849e-09
30.271225,9.112422e-09,30.271225,9.12469921e-09
30.9763324,9.10361787e-09,30.9763324,9.11582893e-09
31.6978638,9.09502108e-09,31.6978638,9.10716882e-09
32.4362019,9.08662661e-09,32.4362019,9.09871373e-09
33.1917381,9.07842959e-09,33.1917381,9.09045866e-09
33.964873,9.07042527e-09,33.964873,9.08239874e-09
34.7560166,9.062609e-09,34.7560166,9.07452922e-09
35.5655882,9.05497625e-09,35.5655882,9.06684547e-09
36.3940172,9.04752262e-09,36.3940172,9.05934298e-09
37.2417427,9.04024381e-09,37.2417427,9.05201735e-09
38.1092144,9.03313562e-09,38.1092144,9.04486431e-09
38.996892,9.02619396e-09,38.996892,9.03787966e-09
39.9052463,9.01941484e-09,39.9052463,9.03105934e-09
40.8347589,9.01279437e-09,40.8347589,9.02439939e-09
41.7859226,9.00632876e-09,41.7859226,9.01789592e-09
42.7592418,9.00001431e-09,42.7592418,9.01154518e-09
43.7552325,8.9938474e-09,43.7552325,9.00534348e-09
44.7744228,8.98782453e-09,44.7744228,8.99928724e-09
45.8173531,8.98194224e-09,45.8173531,8.99337295e-09
46.8845763,8.97619721e-09,46.8845763,8.98759723e-09
47.9766584,8.97058616e-09,47.9766584,8.98195673e-09
49.0941783,8.9651059e-09,49.0941783,8.97644823e-09
50.2377286,8.95975333e-09,50.2377286,8.97106855e-09
51.4079157,8.95452541e-09,51.4079157,8.96581463e-09
52.6053598,8.94941919e-09,52.6053598,8.96068345e-09
53.8306961,8.94443178e-09,53.8306961,8.95567208e-09
55.0845741,8.93956037e-09,55.0845741,8.95077767e-09
56.3676586,8.93480221e-09,56.3676586,8.94599743e-09
57.6806301,8.93015462e-09,57.6806301,8.94132865e-09
59.0241845,8.92561499e-09,59.0241845,8.93676866e-09
60.3990344,8.92118077e-09,60.3990344,8.93231488e-09
61.8059087,8.91684946e-09,61.8059087,8.9279648e-09
63.2455532,8.91261865e-09,63.2455532,8.92371595e-09
64.7187314,8.90848596e-09,64.7187314,8.91956592e-09
66.2262243,8.90444908e-09,66.2262243,8.91551239e-09
67.7688312,8.90050575e-09,67.7688312,8.91155305e-09
69.3473701,8.89665377e-09,69.3473701,8.90768569e-09
70.9626778,8.892891e-09,70.9626778,8.90390813e-09
72.615611,8.88921533e-09,72.615611,8.90021825e-09
74.3070458,8.88562473e-09,74.3070458,8.89661398e-09
76.0378793,8.88211719e-09,76.0378793,8.8930933e-09
77.809029,8.87869077e-09,77.809029,8.88965424e-09
79.6214341,8.87534357e-09,79.6214341,8.88629487e-09
