col0,col1,col2,col3,col4,col5,col6,col7
0.0,0.0,0.0,-0.0483770976,0.0,0.0,0.0,0.833595283
1e-08,3.14159265e-05,1e-08,-0.0483783917,1e-08,-1.29322752e-06,1e-08,0.83359337
2e-08,6.28318529e-05,2e-08,-0.0483812386,2e-08,-4.13817746e-06,2e-08,0.833589829
4e-08,0.000125663705,4e-08,-0.0483891571,4e-08,-1.20513081e-05,4e-08,0.833580856
8e-08,0.000251327402,8e-08,-0.0484082328,8e-08,-3.1113985e-05,8e-08,0.833562026
1.6e-07,0.00050265474,1.6e-07,-0.0484113133,1.6e-07,-3.41922977e-05,1.6e-07,0.833562825
3.2e-07,0.00100530897,3.2e-07,-0.048237979,3.2e-07,0.0001390235,3.2e-07,0.833742285
6.4e-07,0.00201061388,6.4e-07,-0.0474074751,6.4e-07,0.000968959502,6.4e-07,0.834585261
1.28e-06,0.00402119525,1.28e-06,-0.0444724301,1.28e-06,0.00390199456,1.28e-06,0.837552342
2.28e-06,0.00716258625,2.28e-06,-0.0376183018,2.28e-06,0.0107514177,2.28e-06,0.844463558
3.28e-06,0.0103036945,3.28e-06,-0.0291859226,3.28e-06,0.0191779898,3.28e-06,0.852960273
4.28e-06,0.013444396,4.28e-06,-0.0199919321,4.28e-06,0.0283656258,4.28e-06,0.862220455
5.28e-06,0.0165845667,5.28e-06,-0.0104359545,5.28e-06,0.0379149725,5.28e-06,0.871844959
6.28e-06,0.0197240826,6.28e-06,-0.000705591077,6.28e-06,0.0476385562,6.28e-06,0.881643673
7.28e-06,0.02286282,7.28e-06,0.00910637492,7.28e-06,0.0574436564,7.28e-06,0.891525017
8.28e-06,0.0260006547,8.28e-06,0.0189563543,8.28e-06,0.0672867137,8.28e-06,0.901443893
9.28e-06,0.0291374629,9.28e-06,0.0288232497,9.28e-06,0.077146645,9.28e-06,0.91138025
1.028e-05,0.0322731209,1.028e-05,0.0386958685,1.028e-05,0.0870122653,1.028e-05,0.921321922
1.128e-05,0.0354075048,1.128e-05,0.0485701422,1.128e-05,0.0968795089,1.128e-05,0.931265567
1.228e-05,0.0385404908,1.228e-05,0.0584419584,1.228e-05,0.106744266,1.228e-05,0.941206482
1.328e-05,0.0416719553,1.328e-05,0.0683114113,1.328e-05,0.116606631,1.328e-05,0.951145181
1.428e-05,0.0448017747,1.428e-05,0.0781758772,1.428e-05,0.126463982,1.428e-05,0.961078746
1.528e-05,0.0479298254,1.528e-05,0.088036466,1.528e-05,0.136317428,1.528e-05,0.971008451
1.628e-05,0.0510559839,1.628e-05,0.0978909047,1.628e-05,0.146164698,1.628e-05,0.980931957
1.728e-05,0.0541801268,1.728e-05,0.107740479,1.728e-05,0.156007076,1.728e-05,0.990850519
1.828e-05,0.0573021308,1.828e-05,0.117583093,1.828e-05,0.165842468,1.828e-05,1.00076214
1.928e-05,0.0604218726,1.928e-05,0.127419948,1.928e-05,0.175672075,1.928e-05,1.01066786
2.028e-05,0.063539229,2.028e-05,0.137249137,2.028e-05,0.18549399,2.028e-05,1.02056598
2.128e-05,0.066654077,2.128e-05,0.14707168,2.128e-05,0.195309234,2.128e-05,1.03045726
2.228e-05,0.0697662936,2.228e-05,0.156885883,2.228e-05,0.205116113,2.228e-05,1.04034029
2.328e-05,0.072875756,2.328e-05,0.166692554,2.328e-05,0.214915435,2.328e-05,1.05021557
2.428e-05,0.0759823414,2.428e-05,0.176490219,2.428e-05,0.224705726,2.428e-05,1.06008194
2.528e-05,0.0790859271,2.528e-05,0.186279468,2.528e-05,0.234487578,2.528e-05,1.06993967
2.628e-05,0.0821863906,2.628e-05,0.196059043,2.628e-05,0.244259732,2.628e-05,1.07978782
2.728e-05,0.0852836095,2.728e-05,0.20582933,2.728e-05,0.254022573,2.728e-05,1.08962644
2.828e-05,0.0883774616,2.828e-05,0.215589266,2.828e-05,0.26377504,2.828e-05,1.0994548
2.928e-05,0.0914678247,2.928e-05,0.225339053,2.928e-05,0.273517336,2.928e-05,1.10927278
3.028e-05,0.0945545769,3.028e-05,0.235077801,3.028e-05,0.28324857,3.028e-05,1.11907978
3.128e-05,0.0976375961,3.128e-05,0.244805556,3.128e-05,0.292968788,3.128e-05,1.12887558
3.228e-05,0.100716761,3.228e-05,0.254521572,3.228e-05,0.302677246,3.228e-05,1.13865967
3.328e-05,0.103791949,3.328e-05,0.264225766,3.328e-05,0.312373859,3.328e-05,1.14843174
3.428e-05,0.10686304,3.428e-05,0.273917509,3.428e-05,0.322057999,3.428e-05,1.15819138
3.528e-05,0.109929913,3.528e-05,0.283596616,3.528e-05,0.331729483,3.528e-05,1.16793818
3.628e-05,0.112992445,3.628e-05,0.293262548,3.628e-05,0.341387771,3.628e-05,1.17767181
3.728e-05,0.116050517,3.728e-05,0.302915046,3.728e-05,0.351032603,3.728e-05,1.18739182
3.828e-05,0.119104007,3.828e-05,0.312553636,3.828e-05,0.360663508,3.828e-05,1.1970979
3.928e-05,0.122152795,3.928e-05,0.322178005,3.928e-05,0.370280172,3.928e-05,1.20678958
4.028e-05,0.125196761,4.028e-05,0.331787726,4.028e-05,0.379882169,4.028e-05,1.21646657
4.128e-05,0.128235784,4.128e-05,0.341382451,4.128e-05,0.389469149,4.128e-05,1.2261284
4.228e-05,0.131269745,4.228e-05,0.350961783,4.228e-05,0.399040717,4.228e-05,1.23577478
4.328e-05,0.134298523,4.328e-05,0.360525352,4.328e-05,0.408596503,4.328e-05,1.24540523
4.428e-05,0.137322,4.428e-05,0.370072778,4.428e-05,0.418136129,4.428e-05,1.25501947
4.528e-05,0.140340055,4.528e-05,0.379603683,4.528e-05,0.427659215,4.528e-05,1.26461702
4.628e-05,0.14335257,4.628e-05,0.389117694,4.628e-05,0.437165389,4.628e-05,1.2741976
4.728e-05,0.146359426,4.728e-05,0.398614433,4.728e-05,0.446654273,4.728e-05,1.28376074
4.828e-05,0.149360503,4.828e-05,0.408093525,4.828e-05,0.456125493,4.828e-05,1.29330614
4.928e-05,0.152355684,4.928e-05,0.417554597,4.928e-05,0.465578677,4.928e-05,1.30283337
5.028e-05,0.155344851,5.028e-05,0.426997273,5.028e-05,0.475013447,5.028e-05,1.31234208
5.128e-05,0.158327884,5.128e-05,0.436421187,5.128e-05,0.484429439,5.128e-05,1.32183188
5.228e-05,0.161304667,5.228e-05,0.445825955,5.228e-05,0.493826269,5.228e-05,1.33130242
5.328e-05,0.164275082,5.328e-05,0.455211221,5.328e-05,0.503203582,5.328e-05,1.3407533
5.428e-05,0.167239012,5.428e-05,0.464576596,5.428e-05,0.512560988,5.428e-05,1.35018415
5.528e-05,0.17019634,5.528e-05,0.473921734,5.528e-05,0.521898142,5.528e-05,1.35959461
