col0,col1,col2,col3
20.0,9.31202832e-09,20.0,9.32608417e-09
20.942571,9.28523508e-09,20.942571,9.29900274e-09
21.9295639,9.25970289e-09,21.9295639,9.27320735e-09
22.9630724,9.23537075e-09,22.9630724,9.24863472e-09
24.0452887,9.21218067e-09,24.0452887,9.22522483e-09
25.1785082,9.19007758e-09,25.1785082,9.20292075e-09
26.3651348,9.16900914e-09,26.3651348,9.18166845e-09
27.6076853,9.14892565e-09,27.6076853,9.16141669e-09
28.9087954,9.12977984e-09,28.9087954,9.14211682e-09
30.271225,9.11152681e-09,30.271225,9.12372268e-09
31.6978638,9.09412388e-09,31.6978638,9.10619046e-09
33.1917381,9.07753048e-09,33.1917381,9.08947853e-09
34.7560166,9.06170805e-09,34.7560166,9.07354741e-09
36.3940172,9.04661993e-09,36.3940172,9.05835956e-09
38.1092144,9.03223125e-09,38.1092144,9.04387934e-09
39.9052463,9.01850886e-09,39.9052463,9.0300729e-09
41.7859226,9.00542125e-09,41.7859226,9.01690807e-09
43.7552325,8.99293843e-09,43.7552325,9.00435428e-09
45.8173531,8.98103187e-09,45.8173531,8.99238246e-09
47.9766584,8.96967444e-09,47.9766584,8.980965e-09
50.2377286,8.95884033e-09,50.2377286,8.97007564e-09
52.6053598,8.94850496e-09,52.6053598,8.9596894e-09
55.0845741,8.93864497e-09,55.0845741,8.94978255e-09
57.6806301,8.92923811e-09,57.6806301,8.94033249e-09
60.3990344,8.92026318e-09,60.3990344,8.93131774e-09
63.2455532,8.91170004e-09,63.2455532,8.92271786e-09
66.2262243,8.90352949e-09,66.2262243,8.91451339e-09
69.3473701,8.89573325e-09,69.3473701,8.90668584e-09
72.615611,8.88829392e-09,72.615611,8.89921757e-09
76.0378793,8.88119493e-09,76.0378793,8.89209183e-09
79.6214341,8.87442048e-09,79.6214341,8.88529265e-09
83.3738767,8.86795555e-09,83.3738767,8.87880483e-09
87.3031664,8.86178581e-09,87.3031664,8.8726139e-09
91.4176379,8.85589762e-09,91.4176379,8.86670607e-09
95.7260185,8.85027797e-09,95.7260185,8.86106822e-09
100.237447,8.84491447e-09,100.237447,8.85568785e-09
104.961492,8.83979533e-09,104.961492,8.85055305e-09
109.908175,8.83490928e-09,109.908175,8.84565246e-09
115.087987,8.83024561e-09,115.087987,8.84097529e-09
120.511917,8.82579409e-09,120.511917,8.83651122e-09
126.191469,8.82154498e-09,126.191469,8.83225044e-09
132.13869,8.817489e-09,132.13869,8.8281836e-09
138.366194,8.81361729e-09,138.366194,8.82430178e-09
144.887192,8.80992141e-09,144.887192,8.82059648e-09
151.715515,8.80639331e-09,151.715515,8.81705959e-09
158.865647,8.80302531e-09,158.865647,8.8136834e-09
166.352754,8.79981009e-09,166.352754,8.81046054e-09
174.192718,8.79674067e-09,174.192718,8.80738399e-09
182.402168,8.79381041e-09,182.402168,8.80444705e-09
190.998517,8.79101294e-09,190.998517,8.80164334e-09
200.0,8.7883422e-09,200.0,8.79896677e-09
209.42571,8.78579244e-09,209.42571,8.79641154e-09
219.295639,8.78335812e-09,219.295639,8.79397211e-09
229.630724,8.78103401e-09,229.630724,8.79164319e-09
240.452887,8.77881507e-09,240.452887,8.78941975e-09
251.785082,8.77669653e-09,251.785082,8.78729699e-09
263.651348,8.77467382e-09,263.651348,8.78527031e-09
276.076853,8.77274259e-09,276.076853,8.78333534e-09
289.087954,8.77089869e-09,289.087954,8.78148791e-09
302.71225,8.76913813e-09,302.71225,8.77972405e-09
316.978638,8.76745715e-09,316.978638,8.77803994e-09
331.917381,8.76585213e-09,331.917381,8.77643198e-09
347.560166,8.76431963e-09,347.560166,8.77489669e-09
363.940172,8.76285635e-09,363.940172,8.77343078e-09
381.092144,8.76145916e-09,381.092144,8.77203109e-09
399.052463,8.76012507e-09,399.052463,8.77069464e-09
417.859226,8.75885121e-09,417.859226,8.76941853e-09
437.552325,8.75763486e-09,437.552325,8.76820004e-09
458.173531,8.75647342e-09,458.173531,8.76703656e-09
479.766584,8.75536439e-09,479.766584,8.76592559e-09
502.377286,8.7543054e-09,502.377286,8.76486474e-09
526.053598,8.7532942e-09,526.053598,8.76385176e-09
550.845741,8.75232862e-09,550.845741,8.76288446e-09
576.806301,8.75140659e-09,576.806301,8.76196078e-09
603.990344,8.75052615e-09,603.990344,8.76107875e-09
632.455532,8.74968542e-09,632.455532,8.76023647e-09
662.262243,8.74888259e-09,662.262243,8.75943214e-09
693.473701,8.74811597e-09,693.473701,8.75866404e-09
726.15611,8.7473839e-09,726.15611,8.75793053e-09
760.378793,8.74668484e-09,760.378793,8.75723005e-09
796.214341,8.74601728e-09,796.214341,8.75656108e-09
833.738767,8.74537981e-09,833.738767,8.75592222e-09
873.031664,8.74477107e-09,873.031664,8.75531207e-09
914.176379,8.74418975e-09,914.176379,8.75472935e-09
957.260185,8.74363462e-09,957.260185,8.75417281e-09
1002.37447,8.7431045e-09,1002.37447,8.75364125e-09
1049.61492,8.74259825e-09,1049.61492,8.75313353e-09
1099.08175,8.7421148e-09,1099.08175,8.75264858e-09
1150.87987,8.74165312e-09,1150.87987,8.75218535e-09
1205.11917,8.74121222e-09,1205.11917,8.75174284e-09
1261.91469,8.74079116e-09,1261.91469,8.75132011e-09
1321.3869,8.74038905e-09,1321.3869,8.75091625e-09
1383.66194,8.74000504e-09,1383.66194,8.75053039e-09
1448.87192,8.73963829e-09,1448.87192,8.7501617e-09
1517.15515,8.73928804e-09,1517.15515,8.74980939e-09
1588.65647,8.73895353e-09,1588.65647,8.74947269e-09
1663.52754,8.73863405e-09,1663.52754,8.74915088e-09
1741.92718,8.73832892e-09,1741.92718,8.74884325e-09
1824.02168,8.73803749e-09,1824.02168,8.74854914e-09
1909.98517,8.73775914e-09,1909.98517,8.7482679e-09
2000.0,8.73749328e-09,2000.0,8.74799892e-09
2094.2571,8.73723933e-09,2094.2571,8.7477416e-09
2192.95639,8.73699675e-09,2192.95639,8.74749539e-09
2296.30724,8.73676503e-09,2296.30724,8.74725972e-09
2404.52887,8.73654366e-09,2404.52887,8.74703407e-09
2517.85082,8.73633219e-09,2517.85082,8.74681794e-09
2636.51348,8.73613014e-09,2636.51348,8.74661082e-09
2760.76853,8.73593709e-09,2760.76853,8.74641226e-09
2890.87954,8.73575262e-09,2890.87954,8.74622178e-09
3027.1225,8.73557634e-09,3027.1225,8.74603894e-09
3169.78638,8.73540787e-09,3169.78638,8.7458633e-09
3319.17381,8.73524683e-09,3319.17381,8.74569444e-09
