col0,col1
20.0,63.7620394
22.4403691,64.1319273
25.1785082,64.5565394
28.2507509,65.0375756
31.6978638,65.5752519
35.5655882,66.1682497
39.9052463,66.8138149
44.7744228,67.5079843
50.2377286,68.2458904
56.3676586,69.0220888
63.2455532,69.830858
70.9626778,70.6664362
79.6214341,71.5231797
89.3367184,72.3956435
100.237447,73.2785931
112.468265,74.166965
126.191469,75.0557908
141.589157,75.9401025
158.865647,76.8148357
178.250188,77.6747446
200.0,78.514347
224.403691,79.3279143
251.785082,80.1095246
282.507509,80.853189
316.978638,81.5530548
355.655882,82.2036758
399.052463,82.8003173
447.744228,83.339251
502.377286,83.8179823
563.676586,84.2353562
632.455532,84.5915122
709.626778,84.8876851
796.214341,85.125883
893.367184,85.3084959
1002.37447,85.4378912
1124.68265,85.5160503
1261.91469,85.5442828
1415.89157,85.5230397
1588.65647,85.4518369
1782.50188,85.3292915
2000.0,85.15327
2244.03691,84.9211361
2517.85082,84.6300829
2825.07509,84.2775114
3169.78638,83.8614077
3556.55882,83.3806598
3990.52463,82.8352569
4477.44228,82.2263346
5023.77286,81.5560568
5636.76586,80.8273613
6324.55532,80.0436161
7096.26778,79.2082457
7962.14341,78.3243802
8933.67184,77.3945661
10023.7447,76.4205616
11246.8265,75.4032262
12619.1469,74.3425098
14158.9157,73.2375414
15886.5647,72.0868175
17825.0188,70.8884879
20000.0,69.6407265
22440.3691,68.3421609
25178.5082,66.9923194
28250.7509,65.5920389
31697.8638,64.1437739
35565.5882,62.6517583
39905.2463,61.1219966
44774.4228,59.5620885
50237.7286,57.9809171
56367.6586,56.3882408
63245.5532,54.794228
70962.6778,53.208965
79621.4341,51.6419607
89336.7184,50.1016709
100237.447,48.595073
112468.265,47.1273298
126191.469,45.7015815
141589.157,44.3188943
158865.647,42.9783704
178250.188,41.6773926
200000.0,40.4119569
