col0,col1
20.0,78.8240319
22.4403691,78.4880294
25.1785082,78.0988068
28.2507509,77.6536318
31.6978638,77.1511094
35.5655882,76.591325
39.9052463,75.9758377
44.7744228,75.307525
50.2377286,74.5903117
56.3676586,73.8288339
63.2455532,73.0280939
70.9626778,72.193152
79.6214341,71.328882
89.3367184,70.4398013
100.237447,69.5299708
112.468265,68.6029529
126.191469,67.6618111
141.589157,66.7091387
158.865647,65.7471034
178.250188,64.7774982
200.0,63.8017942
224.403691,62.8211908
251.785082,61.8366603
282.507509,60.8489879
316.978638,59.8588056
355.655882,58.8666205
399.052463,57.8728389
447.744228,56.8777857
502.377286,55.8817204
563.676586,54.88485
632.455532,53.8873395
709.626778,52.8893205
796.214341,51.8908979
893.367184,50.8921552
1002.37447,49.8931593
1124.68265,48.8939633
1261.91469,47.8946101
1415.89157,46.8951339
1588.65647,45.8955627
1782.50188,44.8959192
2000.0,43.8962224
2244.03691,42.8964885
2517.85082,41.8967316
2825.07509,40.8969647
3169.78638,39.8972001
3556.55882,38.8974505
3990.52463,37.897729
4477.44228,36.8980507
5023.77286,35.8984324
5636.76586,34.8988946
6324.55532,33.8994619
7096.26778,32.9001643
7962.14341,31.9010391
8933.67184,30.9021328
10023.7447,29.9035033
11246.8265,28.9052231
12619.1469,27.9073832
14158.9157,26.9100973
15886.5647,25.9135083
17825.0188,24.9177949
20000.0,23.9231809
22440.3691,22.9299459
25178.5082,21.9384391
28250.7509,20.9490951
31697.8638,19.9624535
35565.5882,18.9791822
39905.2463,18.0001039
44774.4228,17.0262263
50237.7286,16.0587754
56367.6586,15.0992293
63245.5532,14.1493499
70962.6778,13.2112083
79621.4341,12.2871952
89336.7184,11.3800077
100237.447,10.4926
112468.265,9.62808502
126191.469,8.78957722
141589.157,7.97997303
158865.647,7.20167911
178250.188,6.45631805
200000.0,5.74446149
