col0,col1,col2,col3
20.0,1.26062395e-08,20.0,8.88075472e-09
20.942571,1.25686643e-08,20.942571,8.85404809e-09
21.9295639,1.25327609e-08,21.9295639,8.82854128e-09
22.9630724,1.2498456e-08,22.9630724,8.80418046e-09
24.0452887,1.24656792e-08,24.0452887,8.78091421e-09
25.1785082,1.24343631e-08,25.1785082,8.75869341e-09
26.3651348,1.24044434e-08,26.3651348,8.73747114e-09
27.6076853,1.23758583e-08,27.6076853,8.71720259e-09
28.9087954,1.2348549e-08,28.9087954,8.69784495e-09
30.271225,1.2322459e-08,30.271225,8.67935733e-09
31.6978638,1.22975342e-08,31.6978638,8.66170068e-09
33.1917381,1.22737232e-08,33.1917381,8.64483769e-09
34.7560166,1.22509764e-08,34.7560166,8.62873272e-09
36.3940172,1.22292467e-08,36.3940172,8.61335174e-09
38.1092144,1.2208489e-08,38.1092144,8.59866224e-09
39.9052463,1.21886599e-08,39.9052463,8.58463317e-09
41.7859226,1.21697183e-08,41.7859226,8.57123486e-09
43.7552325,1.21516246e-08,43.7552325,8.55843898e-09
45.8173531,1.21343411e-08,45.8173531,8.54621847e-09
47.9766584,1.21178317e-08,47.9766584,8.53454748e-09
50.2377286,1.21020619e-08,50.2377286,8.52340133e-09
52.6053598,1.20869988e-08,52.6053598,8.51275644e-09
55.0845741,1.20726108e-08,55.0845741,8.50259028e-09
57.6806301,1.20588678e-08,57.6806301,8.49288133e-09
60.3990344,1.20457409e-08,60.3990344,8.48360906e-09
63.2455532,1.20332028e-08,63.2455532,8.47475383e-09
66.2262243,1.2021227e-08,66.2262243,8.4662969e-09
69.3473701,1.20097885e-08,69.3473701,8.45822038e-09
72.615611,1.19988632e-08,72.615611,8.45050715e-09
76.0378793,1.19884281e-08,76.0378793,8.44314088e-09
79.6214341,1.19784614e-08,79.6214341,8.43610599e-09
83.3738767,1.1968942e-08,83.3738767,8.42938756e-09
87.3031664,1.195985e-08,87.3031664,8.42297137e-09
91.4176379,1.19511662e-08,91.4176379,8.41684383e-09
95.7260185,1.19428724e-08,95.7260185,8.41099197e-09
100.237447,1.1934951e-08,100.237447,8.40540337e-09
104.961492,1.19273853e-08,104.961492,8.40006621e-09
109.908175,1.19201595e-08,109.908175,8.39496918e-09
115.087987,1.19132583e-08,115.087987,8.39010147e-09
120.511917,1.19066671e-08,120.511917,8.38545277e-09
126.191469,1.1900372e-08,126.191469,8.38101323e-09
132.13869,1.18943598e-08,132.13869,8.37677345e-09
138.366194,1.18886178e-08,138.366194,8.37272444e-09
144.887192,1.18831338e-08,144.887192,8.36885761e-09
151.715515,1.18778963e-08,151.715515,8.36516478e-09
158.865647,1.18728941e-08,158.865647,8.3616381e-09
166.352754,1.18681168e-08,166.352754,8.35827012e-09
174.192718,1.18635542e-08,174.192718,8.35505369e-09
182.402168,1.18591968e-08,182.402168,8.351982e-09
190.998517,1.18550352e-08,190.998517,8.34904852e-09
200.0,1.18510607e-08,200.0,8.34624705e-09
209.42571,1.18472649e-08,209.42571,8.34357164e-09
219.295639,1.18436397e-08,219.295639,8.34101662e-09
229.630724,1.18401776e-08,229.630724,8.33857658e-09
240.452887,1.18368711e-08,240.452887,8.33624635e-09
251.785082,1.18337132e-08,251.785082,8.33402097e-09
263.651348,1.18306974e-08,263.651348,8.33189574e-09
276.076853,1.18278172e-08,276.076853,8.32986614e-09
289.087954,1.18250665e-08,289.087954,8.32792789e-09
302.71225,1.18224394e-08,302.71225,8.32607685e-09
316.978638,1.18199305e-08,316.978638,8.32430912e-09
331.917381,1.18175345e-08,331.917381,8.32262094e-09
347.560166,1.18152461e-08,347.560166,8.32100873e-09
363.940172,1.18130607e-08,363.940172,8.31946908e-09
381.092144,1.18109735e-08,381.092144,8.31799871e-09
399.052463,1.18089802e-08,399.052463,8.31659452e-09
417.859226,1.18070764e-08,417.859226,8.31525352e-09
437.552325,1.18052583e-08,437.552325,8.31397287e-09
458.173531,1.18035219e-08,458.173531,8.31274985e-09
479.766584,1.18018635e-08,479.766584,8.31158188e-09
502.377286,1.18002797e-08,502.377286,8.31046646e-09
526.053598,1.17987671e-08,526.053598,8.30940125e-09
550.845741,1.17973224e-08,550.845741,8.30838398e-09
576.806301,1.17959427e-08,576.806301,8.30741249e-09
603.990344,1.17946249e-08,603.990344,8.30648472e-09
632.455532,1.17933662e-08,632.455532,8.3055987e-09
662.262243,1.17921641e-08,662.262243,8.30475256e-09
693.473701,1.1791016e-08,693.473701,8.30394451e-09
726.15611,1.17899193e-08,726.15611,8.30317282e-09
760.378793,1.17888719e-08,760.378793,8.30243586e-09
796.214341,1.17878713e-08,796.214341,8.30173206e-09
833.738767,1.17869157e-08,833.738767,8.30105995e-09
873.031664,1.17860027e-08,873.031664,8.30041808e-09
914.176379,1.17851307e-08,914.176379,8.2998051e-09
957.260185,1.17842976e-08,957.260185,8.29921971e-09
1002.37447,1.17835017e-08,1002.37447,8.29866067e-09
1049.61492,1.17827413e-08,1049.61492,8.29812679e-09
1099.08175,1.17820148e-08,1099.08175,8.29761694e-09
1150.87987,1.17813207e-08,1150.87987,8.29713004e-09
1205.11917,1.17806573e-08,1205.11917,8.29666505e-09
1261.91469,1.17800233e-08,1261.91469,8.29622099e-09
1321.3869,1.17794174e-08,1321.3869,8.29579692e-09
1383.66194,1.17788382e-08,1383.66194,8.29539194e-09
1448.87192,1.17782845e-08,1448.87192,8.29500518e-09
1517.15515,1.1777755e-08,1517.15515,8.29463584e-09
1588.65647,1.17772487e-08,1588.65647,8.29428312e-09
1663.52754,1.17767644e-08,1663.52754,8.29394628e-09
1741.92718,1.1776301e-08,1741.92718,8.2936246e-09
1824.02168,1.17758575e-08,1824.02168,8.29331741e-09
1909.98517,1.17754329e-08,1909.98517,8.29302405e-09
2000.0,1.17750263e-08,2000.0,8.29274389e-09
2094.2571,1.17746368e-08,2094.2571,8.29247635e-09
2192.95639,1.17742634e-08,2192.95639,8.29222086e-09
2296.30724,1.17739054e-08,2296.30724,8.29197687e-09
2404.52887,1.17735618e-08,2404.52887,8.29174387e-09
2517.85082,1.17732319e-08,2517.85082,8.29152136e-09
2636.51348,1.17729149e-08,2636.51348,8.29130888e-09
2760.76853,1.177261e-08,2760.76853,8.29110597e-09
2890.87954,1.17723165e-08,2890.87954,8.29091221e-09
3027.1225,1.17720336e-08,3027.1225,8.29072717e-09
3169.78638,1.17717606e-08,3169.78638,8.29055048e-09
3319.17381,1.17714967e-08,3319.17381,8.29038175e-09
3475.60166,1.17712413e-08,3475.60166,8.29022064e-09
3639.40172,1.17709937e-08,3639.40172,8.29006679e-09
3810.92144,1.17707531e-08,3810.92144,8.28991988e-09
3990.52463,1.17705189e-08,3990.52463,8.28977961e-09
4178.59226,1.17702902e-08,4178.59226,8.28964567e-09
4375.52325,1.17700665e-08,4375.52325,8.28951779e-09
4581.73531,1.17698468e-08,4581.73531,8.28939568e-09
4797.66584,1.17696306e-08,4797.66584,8.28927911e-09
5023.77286,1.1769417e-08,5023.77286,8.28916781e-09
5260.53598,1.17692051e-08,5260.53598,8.28906156e-09
5508.45741,1.17689942e-08,5508.45741,8.28896012e-09
5768.06301,1.17687835e-08,5768.06301,8.2888633e-09
6039.90344,1.17685719e-08,6039.90344,8.28877088e-09
6324.55532,1.17683585e-08,6324.55532,8.28868267e-09
6622.62243,1.17681424e-08,6622.62243,8.28859849e-09
6934.73701,1.17679224e-08,6934.73701,8.28851816e-09
7261.5611,1.17676974e-08,7261.5611,8.28844151e-09
7603.78793,1.17674663e-08,7603.78793,8.28836839e-09
7962.14341,1.17672276e-08,7962.14341,8.28829864e-09
