col0,col1
20.0,73.0730912
22.4403691,72.972459
25.1785082,72.848813
28.2507509,72.6978532
31.6978638,72.514867
35.5655882,72.2948672
39.9052463,72.0328043
44.7744228,71.7238488
50.2377286,71.3637253
56.3676586,70.9490595
63.2455532,70.4776862
70.9626778,69.9488627
79.6214341,69.3633453
89.3367184,68.7233122
100.237447,68.0321499
112.468265,67.2941451
126.191469,66.5141382
141.589157,65.6971896
158.865647,64.8482984
178.250188,63.9721911
200.0,63.0731849
224.403691,62.1551154
251.785082,61.221315
282.507509,60.2746284
316.978638,59.3174488
355.655882,58.3517666
399.052463,57.3792218
447.744228,56.4011561
502.377286,55.4186601
563.676586,54.4326167
632.455532,53.4437377
709.626778,52.4525954
796.214341,51.4596487
893.367184,50.4652652
1002.37447,49.4697388
1124.68265,48.4733047
1261.91469,47.4761506
1415.89157,46.4784268
1588.65647,45.4802537
1782.50188,44.4817281
2000.0,43.4829281
2244.03691,42.4839176
2517.85082,41.4847489
2825.07509,40.4854664
3169.78638,39.4861082
3556.55882,38.4867083
3990.52463,37.4872988
4477.44228,36.4879111
5023.77286,35.4885777
5636.76586,34.4893341
6324.55532,33.4902205
7096.26778,32.4912839
7962.14341,31.492581
8933.67184,30.4941804
10023.7447,29.496167
11246.8265,28.4986459
12619.1469,27.5017481
14158.9157,26.5056372
15886.5647,25.5105178
17825.0188,24.5166457
20000.0,23.5243412
22440.3691,22.5340039
25178.5082,21.5461327
28250.7509,20.5613489
31697.8638,19.5804239
35565.5882,18.6043126
39905.2463,17.6341922
44774.4228,16.6715056
50237.7286,15.71801
56367.6586,14.7758272
63245.5532,13.8474923
70962.6778,12.9359949
79621.4341,12.0448023
89336.7184,11.1778546
100237.447,10.339515
112468.265,9.53446035
126191.469,8.7675006
141589.157,8.04332084
158865.647,7.36615684
178250.188,6.73943111
200000.0,6.16539481
