col0,col1,col2,col3
20.0,3.19371911e-08,20.0,1.01657218e-08
20.942571,3.18681974e-08,20.942571,1.01434905e-08
21.9295639,3.18021667e-08,21.9295639,1.01222271e-08
22.9630724,3.17389779e-08,22.9630724,1.01018908e-08
24.0452887,3.1678514e-08,24.0452887,1.00824424e-08
25.1785082,3.16206626e-08,25.1785082,1.00638441e-08
26.3651348,3.15653154e-08,26.3651348,1.00460597e-08
27.6076853,3.15123682e-08,27.6076853,1.00290546e-08
28.9087954,3.14617208e-08,28.9087954,1.00127954e-08
30.271225,3.14132768e-08,30.271225,9.99725026e-09
31.6978638,3.13669436e-08,31.6978638,9.98238842e-09
33.1917381,3.13226322e-08,33.1917381,9.96818054e-09
34.7560166,3.12802571e-08,34.7560166,9.95459844e-09
36.3940172,3.1239736e-08,36.3940172,9.94161512e-09
38.1092144,3.12009902e-08,38.1092144,9.92920467e-09
39.9052463,3.11639439e-08,39.9052463,9.9173423e-09
41.7859226,3.11285245e-08,41.7859226,9.90600422e-09
43.7552325,3.10946622e-08,43.7552325,9.89516766e-09
45.8173531,3.10622902e-08,45.8173531,9.88481079e-09
47.9766584,3.10313444e-08,47.9766584,9.87491271e-09
50.2377286,3.10017631e-08,50.2377286,9.8654534e-09
52.6053598,3.09734875e-08,52.6053598,9.85641368e-09
55.0845741,3.0946461e-08,55.0845741,9.84777521e-09
57.6806301,3.09206295e-08,57.6806301,9.8395204e-09
60.3990344,3.08959409e-08,60.3990344,9.83163243e-09
63.2455532,3.08723457e-08,63.2455532,9.8240952e-09
66.2262243,3.08497961e-08,66.2262243,9.81689328e-09
69.3473701,3.08282464e-08,69.3473701,9.81001192e-09
72.615611,3.08076531e-08,72.615611,9.803437e-09
76.0378793,3.07879742e-08,76.0378793,9.79715503e-09
79.6214341,3.07691696e-08,79.6214341,9.79115306e-09
83.3738767,3.0751201e-08,83.3738767,9.78541873e-09
87.3031664,3.07340317e-08,87.3031664,9.77994022e-09
91.4176379,3.07176265e-08,91.4176379,9.7747062e-09
95.7260185,3.07019517e-08,95.7260185,9.76970586e-09
100.237447,3.06869752e-08,100.237447,9.76492884e-09
104.961492,3.06726662e-08,104.961492,9.76036524e-09
109.908175,3.06589952e-08,109.908175,9.75600559e-09
115.087987,3.0645934e-08,115.087987,9.75184084e-09
120.511917,3.06334556e-08,120.511917,9.74786234e-09
126.191469,3.06215343e-08,126.191469,9.74406179e-09
132.13869,3.06101453e-08,132.13869,9.7404313e-09
138.366194,3.0599265e-08,138.366194,9.73696329e-09
144.887192,3.05888709e-08,144.887192,9.73365054e-09
151.715515,3.05789414e-08,151.715515,9.73048612e-09
158.865647,3.05694558e-08,158.865647,9.72746342e-09
166.352754,3.05603945e-08,166.352754,9.72457614e-09
174.192718,3.05517384e-08,174.192718,9.72181822e-09
182.402168,3.05434697e-08,182.402168,9.71918391e-09
190.998517,3.0535571e-08,190.998517,9.71666767e-09
200.0,3.05280258e-08,200.0,9.71426425e-09
209.42571,3.05208184e-08,209.42571,9.71196859e-09
219.295639,3.05139337e-08,219.295639,9.70977589e-09
229.630724,3.05073573e-08,229.630724,9.70768155e-09
240.452887,3.05010754e-08,240.452887,9.70568116e-09
251.785082,3.04950749e-08,251.785082,9.70377053e-09
263.651348,3.04893432e-08,263.651348,9.70194564e-09
276.076853,3.04838681e-08,276.076853,9.70020265e-09
289.087954,3.04786384e-08,289.087954,9.69853789e-09
302.71225,3.04736429e-08,302.71225,9.69694788e-09
316.978638,3.04688711e-08,316.978638,9.69542925e-09
331.917381,3.0464313e-08,331.917381,9.69397881e-09
347.560166,3.0459959e-08,347.560166,9.69259351e-09
363.940172,3.04558e-08,363.940172,9.69127042e-09
381.092144,3.04518271e-08,381.092144,9.69000677e-09
399.052463,3.0448032e-08,399.052463,9.68879988e-09
417.859226,3.04444067e-08,417.859226,9.68764722e-09
437.552325,3.04409434e-08,437.552325,9.68654634e-09
458.173531,3.04376349e-08,458.173531,9.68549494e-09
479.766584,3.04344742e-08,479.766584,9.68449078e-09
502.377286,3.04314545e-08,502.377286,9.68353175e-09
526.053598,3.04285694e-08,526.053598,9.68261583e-09
550.845741,3.04258129e-08,550.845741,9.68174108e-09
576.806301,3.04231789e-08,576.806301,9.68090565e-09
603.990344,3.0420662e-08,603.990344,9.68010779e-09
632.455532,3.04182568e-08,632.455532,9.6793458e-09
662.262243,3.0415958e-08,662.262243,9.67861807e-09
693.473701,3.04137608e-08,693.473701,9.67792307e-09
726.15611,3.04116605e-08,726.15611,9.67725933e-09
760.378793,3.04096524e-08,760.378793,9.67662545e-09
796.214341,3.04077323e-08,796.214341,9.67602009e-09
833.738767,3.0405896e-08,833.738767,9.67544196e-09
873.031664,3.04041394e-08,873.031664,9.67488984e-09
914.176379,3.04024588e-08,914.176379,9.67436258e-09
957.260185,3.04008504e-08,957.260185,9.67385905e-09
1002.37447,3.03993107e-08,1002.37447,9.67337818e-09
1049.61492,3.03978362e-08,1049.61492,9.67291897e-09
1099.08175,3.03964236e-08,1099.08175,9.67248045e-09
1150.87987,3.03950697e-08,1150.87987,9.67206167e-09
1205.11917,3.03937715e-08,1205.11917,9.67166177e-09
1261.91469,3.03925258e-08,1261.91469,9.6712799e-09
1321.3869,3.03913298e-08,1321.3869,9.67091524e-09
1383.66194,3.03901806e-08,1383.66194,9.67056703e-09
1448.87192,3.03890755e-08,1448.87192,9.67023454e-09
1517.15515,3.03880117e-08,1517.15515,9.66991706e-09
1588.65647,3.03869866e-08,1588.65647,9.66961392e-09
1663.52754,3.03859975e-08,1663.52754,9.66932449e-09
1741.92718,3.03850419e-08,1741.92718,9.66904815e-09
1824.02168,3.03841172e-08,1824.02168,9.66878432e-09
1909.98517,3.03832208e-08,1909.98517,9.66853245e-09
2000.0,3.03823502e-08,2000.0,9.66829201e-09
2094.2571,3.03815029e-08,2094.2571,9.66806249e-09
2192.95639,3.03806761e-08,2192.95639,9.66784341e-09
2296.30724,3.03798674e-08,2296.30724,9.66763432e-09
2404.52887,3.03790741e-08,2404.52887,9.66743477e-09
2517.85082,3.03782934e-08,2517.85082,9.66724436e-09
2636.51348,3.03775226e-08,2636.51348,9.66706268e-09
2760.76853,3.03767588e-08,2760.76853,9.66688936e-09
2890.87954,3.03759989e-08,2890.87954,9.66672404e-09
3027.1225,3.037524e-08,3027.1225,9.66656638e-09
3169.78638,3.03744786e-08,3169.78638,9.66641606e-09
3319.17381,3.03737115e-08,3319.17381,9.66627277e-09
3475.60166,3.03729351e-08,3475.60166,9.66613621e-09
3639.40172,3.03721454e-08,3639.40172,9.66600613e-09
3810.92144,3.03713385e-08,3810.92144,9.66588224e-09
3990.52463,3.03705101e-08,3990.52463,9.66576432e-09
