col0,col1,col2,col3
20.0,1693.37817,20.0,0.0325850546
22.4403691,1509.38463,22.4403691,0.0325855678
25.1785082,1345.41589,25.1785082,0.0325861816
28.2507509,1199.29727,28.2507509,0.0325869519
31.6978638,1069.09066,31.6978638,0.0325879438
35.5655882,953.068827,35.5655882,0.0325892337
39.9052463,849.692607,39.9052463,0.0325909125
44.7744228,757.590509,44.7744228,0.0325930897
50.2377286,675.540546,50.2377286,0.0325958977
56.3676586,602.454045,56.3676586,0.0325994999
63.2455532,537.361204,63.2455532,0.0326040985
70.9626778,479.398228,70.9626778,0.032609946
79.6214341,427.795861,79.6214341,0.0326173591
89.3367184,381.869164,89.3367184,0.0326267355
100.237447,341.008404,100.237447,0.0326385756
112.468265,304.670925,112.468265,0.032653509
126.191469,272.373903,126.191469,0.0326723272
141.589157,243.687858,141.589157,0.0326960258
158.865647,218.230871,158.865647,0.0327258551
178.250188,195.663374,178.250188,0.0327633849
200.0,175.683481,200.0,0.0328105835
224.403691,158.022747,224.403691,0.0328699167
251.785082,142.442328,251.785082,0.0329444689
282.507509,128.729447,282.507509,0.0330380919
316.978638,116.694146,316.978638,0.0331555855
355.655882,106.16628,355.655882,0.0333029158
399.052463,96.9927335,399.052463,0.0334874753
447.744228,89.0348798,447.744228,0.0337183881
502.377286,82.1663054,502.377286,0.0340068627
563.676586,76.2708645,563.676586,0.0343665891
632.455532,71.2411185,632.455532,0.0348141741
709.626778,66.9772121,709.626778,0.0353695982
796.214341,63.3861945,796.214341,0.0360566722
893.367184,60.3817447,893.367184,0.0369034623
1002.37447,57.8842005,1002.37447,0.0379426447
1124.68265,55.8207543,1124.68265,0.0392117559
1261.91469,54.1256716,1261.91469,0.0407533117
1415.89157,52.7404117,1415.89157,0.0426147925
1588.65647,51.6135757,1588.65647,0.0448485247
1782.50188,50.7006582,1782.50188,0.0475115244
2000.0,49.9636221,2000.0,0.050665393
2244.03691,49.3703404,2244.03691,0.0543763688
2517.85082,48.8939596,2517.85082,0.0587156188
2825.07509,48.5122354,2825.07509,0.0637598261
3169.78638,48.2068824,3169.78638,0.0695920872
3556.55882,47.962966,3556.55882,0.0763030994
3990.52463,47.7683532,3990.52463,0.0839925981
4477.44228,47.6132309,4477.44228,0.092771003
5023.77286,47.489691,5023.77286,0.102761237
5636.76586,47.3913796,5636.76586,0.114100702
6324.55532,47.3132047,6324.55532,0.126943407
7096.26778,47.2510945,7096.26778,0.14146227
7962.14341,47.2017993,7962.14341,0.157851602
8933.67184,47.1627305,8933.67184,0.176329827
10023.7447,47.1318308,10023.7447,0.197142452
11246.8265,47.1074693,11246.8265,0.220565342
12619.1469,47.0883578,12619.1469,0.246908334
14158.9157,47.0734844,14158.9157,0.27651922
15886.5647,47.0620603,15886.5647,0.309788152
17825.0188,47.053479,17825.0188,0.347152483
20000.0,47.0472842,20000.0,0.389102085
22440.3691,47.0431458,22440.3691,0.436185142
25178.5082,47.0408419,25178.5082,0.489014427
28250.7509,47.0402472,28250.7509,0.548274022
31697.8638,47.0413254,31697.8638,0.614726427
35565.5882,47.0441263,35565.5882,0.689219913
39905.2463,47.048787,39905.2463,0.772695945
44774.4228,47.0555367,44774.4228,0.866196369
50237.7286,47.064705,50237.7286,0.970869928
56367.6586,47.0767335,56367.6586,1.08797752
63245.5532,47.0921897,63245.5532,1.21889543
70962.6778,47.1117835,70962.6778,1.36511545
79621.4341,47.1363835,79621.4341,1.52824089
89336.7184,47.1670312,89336.7184,1.70997697
100237.447,47.2049498,100237.447,1.91211469
112468.265,47.2515421,112468.265,2.13650747
126191.469,47.3083709,126191.469,2.38504158
141589.157,47.3771143,141589.157,2.65960348
158865.647,47.4594888,158865.647,2.96205162
178250.188,47.5571378,178250.188,3.2942056
200000.0,47.6714889,200000.0,3.65787301
