col0,col1
20.0,80.4034493
22.4403691,80.2475918
25.1785082,80.0588104
28.2507509,79.8321011
31.6978638,79.5624389
35.5655882,79.2450719
39.9052463,78.8758609
44.7744228,78.451624
50.2377286,77.9704326
56.3676586,77.4318034
63.2455532,76.8367493
70.9626778,76.1876766
79.6214341,75.4881518
89.3367184,74.7425831
100.237447,73.9558723
112.468265,73.1330881
126.191469,72.2791962
141.589157,71.3988611
158.865647,70.4963208
178.250188,69.5753249
200.0,68.6391205
224.403691,67.6904714
251.785082,66.7316981
282.507509,65.7647269
316.978638,64.791143
355.655882,63.8122413
399.052463,62.8290738
447.744228,61.8424914
502.377286,60.8531794
563.676586,59.8616885
632.455532,58.86846
709.626778,57.8738473
796.214341,56.8781324
893.367184,55.8815405
1002.37447,54.8842512
1124.68265,53.8864078
1261.91469,52.8881243
1415.89157,51.8894917
1588.65647,50.8905824
1782.50188,49.8914543
2000.0,48.8921538
2244.03691,47.8927181
2517.85082,46.8931771
2825.07509,45.8935552
3169.78638,44.8938727
3556.55882,43.8941463
3990.52463,42.8943906
4477.44228,41.8946187
5023.77286,40.8948426
5636.76586,39.8950743
6324.55532,38.8953262
7096.26778,37.8956115
7962.14341,36.8959456
8933.67184,35.8963462
10023.7447,34.8968345
11246.8265,33.8974365
12619.1469,32.8981842
14158.9157,31.8991173
15886.5647,30.9002851
17825.0188,29.9017494
20000.0,28.9035878
22440.3691,27.905897
25178.5082,26.9087985
28250.7509,25.9124443
31697.8638,24.9170249
35565.5882,23.922778
39905.2463,22.9300005
44774.4228,21.9390619
50237.7286,20.950421
56367.6586,19.9646456
63245.5532,18.9824349
70962.6778,18.0046453
79621.4341,17.0323185
89336.7184,16.0667096
100237.447,15.1093142
112468.265,14.1618886
126191.469,13.2264574
141589.157,12.3053
158865.647,11.4009044
178250.188,10.5158784
200000.0,9.65280669
