col0,col1,col2,col3
20.0,1693.37808,20.0,0.0324410232
22.4403691,1509.38453,22.4403691,0.0324418213
25.1785082,1345.41578,25.1785082,0.0324427957
28.2507509,1199.29715,28.2507509,0.0324440218
31.6978638,1069.09052,31.6978638,0.0324455897
35.5655882,953.068671,35.5655882,0.032447607
39.9052463,849.692432,39.9052463,0.0324502039
44.7744228,757.590312,44.7744228,0.0324535388
50.2377286,675.540325,50.2377286,0.0324578064
56.3676586,602.453797,56.3676586,0.0324632476
63.2455532,537.360926,63.2455532,0.0324701626
70.9626778,479.397916,70.9626778,0.0324789269
79.6214341,427.795511,79.6214341,0.0324900115
89.3367184,381.868772,89.3367184,0.0325040085
100.237447,341.007965,100.237447,0.0325216619
112.468265,304.670435,112.468265,0.032543907
126.191469,272.373353,126.191469,0.0325719192
141.589157,243.687245,141.589157,0.032607174
158.865647,218.230185,158.865647,0.0326515224
178.250188,195.66261,178.250188,0.0327072841
200.0,175.682629,200.0,0.0327773618
224.403691,158.021801,224.403691,0.0328653823
251.785082,142.441278,251.785082,0.0329758676
282.507509,128.728285,282.507509,0.0331144429
316.978638,116.692864,316.978638,0.0332880838
355.655882,106.164871,355.655882,0.0335054094
399.052463,96.9911916,399.052463,0.0337770212
447.744228,89.0332002,447.744228,0.034115888
502.377286,82.1644857,502.377286,0.0345377707
563.676586,76.2689043,563.676586,0.0350616735
632.455532,71.2390204,632.455532,0.0357103017
709.626778,66.974981,709.626778,0.0365104953
796.214341,63.3838378,796.214341,0.0374936039
893.367184,60.3792718,893.367184,0.0386957647
1002.37447,57.8816223,1002.37447,0.0401580553
1124.68265,55.8180825,1124.68265,0.0419265109
1261.91469,54.1229184,1261.91469,0.0440520281
1415.89157,52.7375892,1415.89157,0.0465902102
1588.65647,51.6106954,1588.65647,0.0496012414
1782.50188,50.6977309,1782.50188,0.0531498905
2000.0,49.9606579,2000.0,0.0573057341
2244.03691,49.3673487,2244.03691,0.0621436659
2517.85082,48.8909489,2517.85082,0.0677447133
2825.07509,48.5092139,2825.07509,0.0741971503
3169.78638,48.2038581,3169.78638,0.0815978719
3556.55882,47.959947,3556.55882,0.0900539853
3990.52463,47.7653482,3990.52463,0.0996845818
4477.44228,47.6102492,4477.44228,0.110622668
5023.77286,47.4867432,5023.77286,0.12301725
5636.76586,47.3884784,5636.76586,0.137035583
6324.55532,47.3103651,6324.55532,0.152865608
7096.26778,47.2483349,7096.26778,0.170718603
7962.14341,47.1991421,7962.14341,0.190832092
8933.67184,47.1602039,8933.67184,0.213473046
10023.7447,47.1294698,10023.7447,0.238941425
11246.8265,47.1053177,11246.8265,0.267574086
12619.1469,47.0864705,12619.1469,0.299749122
14158.9157,47.0719301,14158.9157,0.335890656
15886.5647,47.0609254,15886.5647,0.376474127
17825.0188,47.052872,17825.0188,0.42203211
20000.0,47.0473413,20000.0,0.473160671
22440.3691,47.0440377,22440.3691,0.530526282
25178.5082,47.042783,25178.5082,0.594873245
28250.7509,47.0435059,28250.7509,0.667031595
31697.8638,47.0462376,31697.8638,0.747925344
35565.5882,47.0511121,35565.5882,0.838580882
39905.2463,47.0583703,39905.2463,0.940135242
44774.4228,47.0683696,44774.4228,1.0538438
50237.7286,47.0815968,50237.7286,1.18108677
56367.6586,47.0986849,56367.6586,1.32337372
63245.5532,47.1204327,63245.5532,1.48234495
70962.6778,47.1478261,70962.6778,1.65976847
79621.4341,47.1820584,79621.4341,1.857531
89336.7184,47.224547,89336.7184,2.07762143
100237.447,47.2769391,100237.447,2.32210562
112468.265,47.3411023,112468.265,2.59309226
126191.469,47.4190881,126191.469,2.89269186
141589.157,47.5130614,141589.157,3.2229745
158865.647,47.6251881,158865.647,3.58593774
178250.188,47.757481,178250.188,3.98350363
200000.0,47.9116171,200000.0,4.41757262
