col0,col1
20.0,63.7574262
22.4403691,64.1272336
25.1785082,64.5517447
28.2507509,65.0326538
31.6978638,65.5701705
35.5655882,66.1629678
39.9052463,66.8082815
44.7744228,67.5021356
50.2377286,68.2396467
56.3676586,69.0153512
63.2455532,69.8235037
70.9626778,70.6583135
79.6214341,71.5141022
89.3367184,72.3853834
100.237447,73.2668744
112.468265,74.1534567
126.191469,75.0401007
141.589157,75.921774
158.865647,76.7933485
178.250188,77.6495225
200.0,78.4847766
224.403691,79.2933781
251.785082,80.0694522
282.507509,80.8071294
316.978638,81.5007707
355.655882,82.1452547
399.052463,82.7362954
447.744228,83.2707378
502.377286,83.7467769
563.676586,84.1640485
632.455532,84.5235675
709.626778,84.8275173
796.214341,85.0789262
893.367184,85.2812829
1002.37447,85.4381462
1124.68265,85.5527909
1261.91469,85.6279182
1415.89157,85.6654401
1588.65647,85.6663362
1782.50188,85.6305795
2000.0,85.5571257
2244.03691,85.443965
2517.85082,85.2882408
2825.07509,85.086439
3169.78638,84.8346507
3556.55882,84.5288974
3990.52463,84.165496
4477.44228,83.741421
5023.77286,83.2546106
5636.76586,82.70416
6324.55532,82.0903647
7096.26778,81.4146014
7962.14341,80.6790683
8933.67184,79.8864326
10023.7447,79.0394445
11246.8265,78.1405739
12619.1469,77.1917147
14158.9157,76.1939834
15886.5647,75.1476276
17825.0188,74.052051
20000.0,72.9059546
22440.3691,71.7075884
25178.5082,70.4550983
28250.7509,69.1469383
31697.8638,67.7823041
35565.5882,66.3615314
39905.2463,64.8863992
44774.4228,63.3602956
50237.7286,61.7882266
56367.6586,60.1766819
63245.5532,58.5333935
70962.6778,56.8670356
79621.4341,55.186906
89336.7184,53.5026121
100237.447,51.8237674
112468.265,50.1596871
126191.469,48.5190711
141589.157,46.9096693
158865.647,45.3379409
178250.188,43.8087406
200000.0,42.3250735
