col0,col1,col2,col3
20.0,3.19371911e-08,20.0,1.01657218e-08
20.942571,3.18681974e-08,20.942571,1.01434905e-08
21.9295639,3.18021667e-08,21.9295639,1.01222271e-08
22.9630724,3.17389778e-08,22.9630724,1.01018908e-08
24.0452887,3.16785139e-08,24.0452887,1.00824424e-08
25.1785082,3.16206625e-08,25.1785082,1.00638441e-08
26.3651348,3.15653153e-08,26.3651348,1.00460597e-08
27.6076853,3.15123681e-08,27.6076853,1.00290546e-08
28.9087954,3.14617207e-08,28.9087954,1.00127954e-08
30.271225,3.14132767e-08,30.271225,9.99725026e-09
31.6978638,3.13669436e-08,31.6978638,9.98238842e-09
33.1917381,3.13226321e-08,33.1917381,9.96818054e-09
34.7560166,3.1280257e-08,34.7560166,9.95459844e-09
36.3940172,3.12397359e-08,36.3940172,9.94161512e-09
38.1092144,3.12009901e-08,38.1092144,9.92920467e-09
39.9052463,3.11639438e-08,39.9052463,9.9173423e-09
41.7859226,3.11285244e-08,41.7859226,9.90600422e-09
43.7552325,3.10946621e-08,43.7552325,9.89516766e-09
45.8173531,3.10622901e-08,45.8173531,9.88481079e-09
47.9766584,3.10313442e-08,47.9766584,9.87491271e-09
50.2377286,3.10017629e-08,50.2377286,9.8654534e-09
52.6053598,3.09734873e-08,52.6053598,9.85641369e-09
55.0845741,3.09464608e-08,55.0845741,9.84777521e-09
57.6806301,3.09206292e-08,57.6806301,9.83952041e-09
60.3990344,3.08959406e-08,60.3990344,9.83163244e-09
63.2455532,3.08723454e-08,63.2455532,9.8240952e-09
66.2262243,3.08497957e-08,66.2262243,9.81689328e-09
69.3473701,3.0828246e-08,69.3473701,9.81001192e-09
72.615611,3.08076527e-08,72.615611,9.80343701e-09
76.0378793,3.07879737e-08,76.0378793,9.79715503e-09
79.6214341,3.07691691e-08,79.6214341,9.79115306e-09
83.3738767,3.07512004e-08,83.3738767,9.78541874e-09
87.3031664,3.0734031e-08,87.3031664,9.77994023e-09
91.4176379,3.07176258e-08,91.4176379,9.77470621e-09
95.7260185,3.0701951e-08,95.7260185,9.76970587e-09
100.237447,3.06869744e-08,100.237447,9.76492885e-09
104.961492,3.06726653e-08,104.961492,9.76036525e-09
109.908175,3.06589942e-08,109.908175,9.7560056e-09
115.087987,3.06459329e-08,115.087987,9.75184086e-09
120.511917,3.06334544e-08,120.511917,9.74786235e-09
126.191469,3.0621533e-08,126.191469,9.74406181e-09
132.13869,3.06101438e-08,132.13869,9.74043132e-09
138.366194,3.05992634e-08,138.366194,9.73696331e-09
144.887192,3.05888692e-08,144.887192,9.73365056e-09
151.715515,3.05789395e-08,151.715515,9.73048614e-09
158.865647,3.05694538e-08,158.865647,9.72746345e-09
166.352754,3.05603922e-08,166.352754,9.72457616e-09
174.192718,3.0551736e-08,174.192718,9.72181825e-09
182.402168,3.0543467e-08,182.402168,9.71918394e-09
190.998517,3.0535568e-08,190.998517,9.71666771e-09
200.0,3.05280226e-08,200.0,9.71426428e-09
209.42571,3.05208149e-08,209.42571,9.71196863e-09
219.295639,3.05139298e-08,219.295639,9.70977594e-09
229.630724,3.0507353e-08,229.630724,9.7076816e-09
240.452887,3.05010708e-08,240.452887,9.70568122e-09
251.785082,3.04950698e-08,251.785082,9.70377059e-09
263.651348,3.04893375e-08,263.651348,9.7019457e-09
276.076853,3.0483862e-08,276.076853,9.70020272e-09
289.087954,3.04786316e-08,289.087954,9.69853797e-09
302.71225,3.04736354e-08,302.71225,9.69694796e-09
316.978638,3.0468863e-08,316.978638,9.69542934e-09
331.917381,3.04643041e-08,331.917381,9.69397891e-09
347.560166,3.04599493e-08,347.560166,9.69259362e-09
363.940172,3.04557893e-08,363.940172,9.69127055e-09
381.092144,3.04518154e-08,381.092144,9.69000691e-09
399.052463,3.04480192e-08,399.052463,9.68880003e-09
417.859226,3.04443926e-08,417.859226,9.68764738e-09
437.552325,3.0440928e-08,437.552325,9.68654652e-09
458.173531,3.0437618e-08,458.173531,9.68549513e-09
479.766584,3.04344556e-08,479.766584,9.68449099e-09
502.377286,3.04314341e-08,502.377286,9.68353198e-09
526.053598,3.04285471e-08,526.053598,9.68261608e-09
550.845741,3.04257884e-08,550.845741,9.68174136e-09
576.806301,3.04231521e-08,576.806301,9.68090596e-09
603.990344,3.04206326e-08,603.990344,9.68010813e-09
632.455532,3.04182245e-08,632.455532,9.67934617e-09
662.262243,3.04159227e-08,662.262243,9.67861848e-09
693.473701,3.04137221e-08,693.473701,9.67792352e-09
726.15611,3.0411618e-08,726.15611,9.67725983e-09
760.378793,3.04096058e-08,760.378793,9.67662599e-09
796.214341,3.04076812e-08,796.214341,9.67602068e-09
833.738767,3.04058399e-08,833.738767,9.67544261e-09
873.031664,3.0404078e-08,873.031664,9.67489055e-09
914.176379,3.04023915e-08,914.176379,9.67436336e-09
957.260185,3.04007766e-08,957.260185,9.6738599e-09
1002.37447,3.03992298e-08,1002.37447,9.67337912e-09
1049.61492,3.03977475e-08,1049.61492,9.67292e-09
1099.08175,3.03963263e-08,1099.08175,9.67248157e-09
1150.87987,3.03949631e-08,1150.87987,9.67206291e-09
1205.11917,3.03936545e-08,1205.11917,9.67166313e-09
1261.91469,3.03923975e-08,1261.91469,9.67128138e-09
1321.3869,3.03911892e-08,1321.3869,9.67091687e-09
1383.66194,3.03900264e-08,1383.66194,9.67056882e-09
1448.87192,3.03889064e-08,1448.87192,9.6702365e-09
1517.15515,3.03878263e-08,1517.15515,9.6699192e-09
1588.65647,3.03867834e-08,1588.65647,9.66961627e-09
1663.52754,3.03857747e-08,1663.52754,9.66932707e-09
1741.92718,3.03847976e-08,1741.92718,9.66905097e-09
1824.02168,3.03838493e-08,1824.02168,9.66878742e-09
1909.98517,3.03829271e-08,1909.98517,9.66853585e-09
2000.0,3.03820282e-08,2000.0,9.66829573e-09
2094.2571,3.03811498e-08,2094.2571,9.66806658e-09
2192.95639,3.0380289e-08,2192.95639,9.66784789e-09
2296.30724,3.0379443e-08,2296.30724,9.66763924e-09
2404.52887,3.03786087e-08,2404.52887,9.66744016e-09
2517.85082,3.03777832e-08,2517.85082,9.66725027e-09
2636.51348,3.03769631e-08,2636.51348,9.66706916e-09
2760.76853,3.03761454e-08,2760.76853,9.66689647e-09
2890.87954,3.03753264e-08,2890.87954,9.66673184e-09
3027.1225,3.03745026e-08,3027.1225,9.66657493e-09
3169.78638,3.03736701e-08,3169.78638,9.66642543e-09
3319.17381,3.03728251e-08,3319.17381,9.66628304e-09
3475.60166,3.03719632e-08,3475.60166,9.66614748e-09
3639.40172,3.03710798e-08,3639.40172,9.66601848e-09
3810.92144,3.03701702e-08,3810.92144,9.66589579e-09
3990.52463,3.03692291e-08,3990.52463,9.66577917e-09
