col0,col1,col2,col3
20.0,8.92398415e-09,20.0,8.93370022e-09
20.942571,8.8960015e-09,20.942571,8.90544983e-09
21.9295639,8.86932991e-09,21.9295639,8.87853416e-09
22.9630724,8.84390645e-09,22.9630724,8.8528881e-09
24.0452887,8.81967128e-09,24.0452887,8.82844983e-09
25.1785082,8.79656751e-09,25.1785082,8.8051607e-09
26.3651348,8.77454105e-09,26.3651348,8.782965e-09
27.6076853,8.75354048e-09,27.6076853,8.76180986e-09
28.9087954,8.73351691e-09,28.9087954,8.74164506e-09
30.271225,8.71442385e-09,30.271225,8.7224229e-09
31.6978638,8.69621707e-09,31.6978638,8.7040981e-09
33.1917381,8.67885455e-09,33.1917381,8.6866276e-09
34.7560166,8.66229627e-09,34.7560166,8.66997054e-09
36.3940172,8.64650422e-09,36.3940172,8.65408805e-09
38.1092144,8.63144219e-09,38.1092144,8.63894321e-09
39.9052463,8.61707578e-09,39.9052463,8.62450093e-09
41.7859226,8.60337222e-09,41.7859226,8.61072785e-09
43.7552325,8.59030035e-09,43.7552325,8.59759224e-09
45.8173531,8.57783052e-09,45.8173531,8.58506395e-09
47.9766584,8.56593449e-09,47.9766584,8.57311429e-09
50.2377286,8.55458541e-09,50.2377286,8.56171597e-09
52.6053598,8.5437577e-09,52.6053598,8.55084306e-09
55.0845741,8.53342702e-09,55.0845741,8.54047084e-09
57.6806301,8.52357018e-09,57.6806301,8.53057584e-09
60.3990344,8.51416513e-09,60.3990344,8.5211357e-09
63.2455532,8.50519084e-09,63.2455532,8.51212913e-09
66.2262243,8.49662729e-09,66.2262243,8.50353589e-09
69.3473701,8.48845544e-09,69.3473701,8.4953367e-09
72.615611,8.48065712e-09,72.615611,8.48751319e-09
76.0378793,8.47321503e-09,76.0378793,8.4800479e-09
79.6214341,8.46611271e-09,79.6214341,8.47292418e-09
83.3738767,8.45933443e-09,83.3738767,8.46612618e-09
87.3031664,8.45286526e-09,87.3031664,8.4596388e-09
91.4176379,8.44669094e-09,91.4176379,8.45344767e-09
95.7260185,8.44079788e-09,95.7260185,8.44753908e-09
100.237447,8.43517313e-09,100.237447,8.44189998e-09
104.961492,8.42980435e-09,104.961492,8.43651794e-09
109.908175,8.42467979e-09,109.908175,8.43138111e-09
115.087987,8.41978823e-09,115.087987,8.42647819e-09
120.511917,8.41511899e-09,120.511917,8.42179842e-09
126.191469,8.41066186e-09,126.191469,8.41733154e-09
132.13869,8.40640713e-09,132.13869,8.41306778e-09
138.366194,8.40234555e-09,138.366194,8.40899782e-09
144.887192,8.39846827e-09,144.887192,8.40511275e-09
151.715515,8.39476687e-09,151.715515,8.40140413e-09
158.865647,8.39123332e-09,158.865647,8.39786386e-09
166.352754,8.38785995e-09,166.352754,8.39448424e-09
174.192718,8.38463945e-09,174.192718,8.39125793e-09
182.402168,8.38156485e-09,182.402168,8.38817792e-09
190.998517,8.37862951e-09,190.998517,8.38523753e-09
200.0,8.37582708e-09,200.0,8.38243039e-09
209.42571,8.3731515e-09,209.42571,8.37975043e-09
219.295639,8.37059701e-09,219.295639,8.37719183e-09
229.630724,8.36815809e-09,229.630724,8.37474909e-09
240.452887,8.3658295e-09,240.452887,8.37241691e-09
251.785082,8.36360621e-09,251.785082,8.37019026e-09
263.651348,8.36148345e-09,263.651348,8.36806436e-09
276.076853,8.35945665e-09,276.076853,8.3660346e-09
289.087954,8.35752145e-09,289.087954,8.36409663e-09
302.71225,8.3556737e-09,302.71225,8.36224627e-09
316.978638,8.35390942e-09,316.978638,8.36047954e-09
331.917381,8.35222484e-09,331.917381,8.35879264e-09
347.560166,8.35061634e-09,347.560166,8.35718195e-09
363.940172,8.34908047e-09,363.940172,8.35564401e-09
381.092144,8.34761394e-09,381.092144,8.35417553e-09
399.052463,8.34621362e-09,399.052463,8.35277334e-09
417.859226,8.34487649e-09,417.859226,8.35143444e-09
437.552325,8.34359971e-09,437.552325,8.35015597e-09
458.173531,8.34238053e-09,458.173531,8.34893517e-09
479.766584,8.34121636e-09,479.766584,8.34776945e-09
502.377286,8.3401047e-09,502.377286,8.3466563e-09
526.053598,8.33904318e-09,526.053598,8.34559333e-09
550.845741,8.33802952e-09,550.845741,8.34457828e-09
576.806301,8.33706157e-09,576.806301,8.34360897e-09
603.990344,8.33613726e-09,603.990344,8.34268332e-09
632.455532,8.3352546e-09,632.455532,8.34179937e-09
662.262243,8.33441173e-09,662.262243,8.3409552e-09
693.473701,8.33360684e-09,693.473701,8.34014903e-09
726.15611,8.3328382e-09,726.15611,8.33937913e-09
760.378793,8.33210419e-09,760.378793,8.33864384e-09
796.214341,8.33140324e-09,796.214341,8.3379416e-09
833.738767,8.33073384e-09,833.738767,8.3372709e-09
873.031664,8.33009458e-09,873.031664,8.33663031e-09
914.176379,8.32948409e-09,914.176379,8.33601845e-09
957.260185,8.32890106e-09,957.260185,8.33543402e-09
1002.37447,8.32834426e-09,1002.37447,8.33487576e-09
1049.61492,8.32781249e-09,1049.61492,8.33434247e-09
1099.08175,8.32730462e-09,1099.08175,8.33383302e-09
1150.87987,8.32681957e-09,1150.87987,8.3333463e-09
1205.11917,8.3263563e-09,1205.11917,8.33288126e-09
1261.91469,8.32591382e-09,1261.91469,8.33243691e-09
1321.3869,8.32549119e-09,1321.3869,8.33201229e-09
1383.66194,8.3250875e-09,1383.66194,8.33160648e-09
1448.87192,8.32470189e-09,1448.87192,8.33121859e-09
1517.15515,8.32433354e-09,1517.15515,8.3308478e-09
1588.65647,8.32398165e-09,1588.65647,8.33049328e-09
1663.52754,8.32364547e-09,1663.52754,8.33015426e-09
1741.92718,8.32332428e-09,1741.92718,8.32983001e-09
1824.02168,8.32301739e-09,1824.02168,8.3295198e-09
1909.98517,8.32272415e-09,1909.98517,8.32922294e-09
2000.0,8.3224439e-09,2000.0,8.32893879e-09
2094.2571,8.32217606e-09,2094.2571,8.32866669e-09
2192.95639,8.32192004e-09,2192.95639,8.32840604e-09
2296.30724,8.32167529e-09,2296.30724,8.32815624e-09
2404.52887,8.32144127e-09,2404.52887,8.32791672e-09
2517.85082,8.32121747e-09,2517.85082,8.32768691e-09
2636.51348,8.3210034e-09,2636.51348,8.32746629e-09
2760.76853,8.32079859e-09,2760.76853,8.32725431e-09
2890.87954,8.32060258e-09,2890.87954,8.32705048e-09
3027.1225,8.32041494e-09,3027.1225,8.32685428e-09
3169.78638,8.32023525e-09,3169.78638,8.32666522e-09
3319.17381,8.3200631e-09,3319.17381,8.32648282e-09
3475.60166,8.31989809e-09,3475.60166,8.32630661e-09
3639.40172,8.31973985e-09,3639.40172,8.32613609e-09
3810.92144,8.31958801e-09,3810.92144,8.32597082e-09
3990.52463,8.31944222e-09,3990.52463,8.3258103e-09
4178.59226,8.31930211e-09,4178.59226,8.32565407e-09
4375.52325,8.31916735e-09,4375.52325,8.32550166e-09
4581.73531,8.31903762e-09,4581.73531,8.32535257e-09
4797.66584,8.31891257e-09,4797.66584,8.32520633e-09
5023.77286,8.31879189e-09,5023.77286,8.32506242e-09
5260.53598,8.31867527e-09,5260.53598,8.32492034e-09
5508.45741,8.31856237e-09,5508.45741,8.32477955e-09
5768.06301,8.3184529e-09,5768.06301,8.32463951e-09
6039.90344,8.31834654e-09,6039.90344,8.32449963e-09
6324.55532,8.31824297e-09,6324.55532,8.32435933e-09
6622.62243,8.31814187e-09,6622.62243,8.32421798e-09
6934.73701,8.31804292e-09,6934.73701,8.3240749e-09
7261.5611,8.31794579e-09,7261.5611,8.32392941e-09
7603.78793,8.31785016e-09,7603.78793,8.32378075e-09
7962.14341,8.31775566e-09,7962.14341,8.32362814e-09
8337.38767,8.31766195e-09,8337.38767,8.32347072e-09
8730.31664,8.31756866e-09,8730.31664,8.3233076e-09
9141.76379,8.31747541e-09,9141.76379,8.32313779e-09
9572.60185,8.31738178e-09,9572.60185,8.32296026e-09
10023.7447,8.31728737e-09,10023.7447,8.32277387e-09
10496.1492,8.31719172e-09,10496.1492,8.32257739e-09
10990.8175,8.31709436e-09,10990.8175,8.32236952e-09
11508.7987,8.31699479e-09,11508.7987,8.32214882e-09
12051.1917,8.31689249e-09,12051.1917,8.32191374e-09
12619.1469,8.31678687e-09,12619.1469,8.3216626e-09
13213.869,8.31667733e-09,13213.869,8.32139356e-09
13836.6194,8.31656322e-09,13836.6194,8.32110464e-09
14488.7192,8.31644383e-09,14488.7192,8.32079367e-09
15171.5515,8.31631841e-09,15171.5515,8.32045828e-09
15886.5647,8.31618613e-09,15886.5647,8.32009592e-09
16635.2754,8.31604611e-09,16635.2754,8.31970378e-09
17419.2718,8.31589739e-09,17419.2718,8.3192788e-09
18240.2168,8.31573894e-09,18240.2168,8.31881766e-09
19099.8517,8.31556963e-09,19099.8517,8.31831672e-09
20000.0,8.31538823e-09,20000.0,8.31777202e-09
