col0,col1
20.0,73.7321419
22.4403691,74.1019461
25.1785082,74.5264533
28.2507509,75.0073577
31.6978638,75.5448687
35.5655882,76.1376591
39.9052463,76.7829646
44.7744228,77.4768085
50.2377286,78.2143073
56.3676586,78.9899966
63.2455532,79.7981306
70.9626778,80.6329177
79.6214341,81.4886787
89.3367184,82.3599262
100.237447,83.2413766
112.468265,84.1279103
126.191469,85.0144971
141.589157,85.8961044
158.865647,86.7676046
178.250188,87.6236981
200.0,88.4588698
224.403691,89.2673948
251.785082,90.0434108
282.507509,90.7810672
316.978638,91.4747516
355.655882,92.1193796
399.052463,92.7107129
447.744228,93.245657
502.377286,93.7224805
563.676586,94.1409078
632.455532,94.5020577
709.626778,94.8082354
796.214341,95.0626122
893.367184,95.2688442
1002.37447,95.4306869
1124.68265,95.5516456
1261.91469,95.6346891
1415.89157,95.6820346
1588.65647,95.695002
1782.50188,95.6739302
2000.0,95.6181482
2244.03691,95.5259994
2517.85082,95.3949207
2825.07509,95.221584
3169.78638,95.0021052
3556.55882,94.7323219
3990.52463,94.4081294
4477.44228,94.0258445
5023.77286,93.5825528
5636.76586,93.0763842
6324.55532,92.5066634
7096.26778,91.8739036
7962.14341,91.17964
8933.67184,90.4261349
10023.7447,89.6160036
11246.8265,88.751823
12619.1469,87.8357761
14158.9157,86.8693696
15886.5647,85.8532506
17825.0188,84.7871325
20000.0,83.6698345
22440.3691,82.4994334
25178.5082,81.2735177
28250.7509,79.9895274
31697.8638,78.6451433
35565.5882,77.2386795
39905.2463,75.7694189
44774.4228,74.2378362
50237.7286,72.6456721
56367.6586,70.9958481
63245.5532,69.2922505
70962.6778,67.5394289
79621.4341,65.7422703
89336.7184,63.9057007
100237.447,62.0344506
112468.265,60.132905
126191.469,58.2050413
141589.157,56.2544478
158865.647,54.2844108
178250.188,52.2980496
200000.0,50.2984773
