col0,col1
20.0,83.0420682
22.4403691,82.9415571
25.1785082,82.8180561
28.2507509,82.6672676
31.6978638,82.4844811
35.5655882,82.2647103
39.9052463,82.0029054
44.7744228,81.6942347
50.2377286,81.3344184
56.3676586,80.9200762
63.2455532,80.4490351
70.9626778,79.9205437
79.6214341,79.3353498
89.3367184,78.6956237
100.237447,78.0047459
112.468265,77.2669987
126.191469,76.4872203
141.589157,75.6704708
158.865647,74.8217502
178.250188,73.9457871
200.0,73.0469013
224.403691,72.128931
251.785082,71.1952118
282.507509,70.2485909
316.978638,69.2914638
355.655882,68.3258231
399.052463,67.3533105
447.744228,66.375269
502.377286,65.3927906
563.676586,64.4067587
632.455532,63.4178858
709.626778,62.4267443
796.214341,61.4337932
893.367184,60.4393999
1002.37447,59.4438578
1124.68265,58.447401
1261.91469,57.4502163
1415.89157,56.4524522
1588.65647,55.454227
1782.50188,54.4556347
2000.0,53.4567499
2244.03691,52.4576319
2517.85082,51.4583273
2825.07509,50.4588733
3169.78638,49.4592988
3556.55882,48.4596265
3990.52463,47.4598737
4477.44228,46.4600537
5023.77286,45.460176
5636.76586,44.4602472
6324.55532,43.4602709
7096.26778,42.4602486
7962.14341,41.460179
8933.67184,40.4600585
10023.7447,39.4598807
11246.8265,38.4596361
12619.1469,37.459312
14158.9157,36.4588912
15886.5647,35.4583516
17825.0188,34.457665
20000.0,33.4567957
22440.3691,32.4556985
25178.5082,31.4543171
28250.7509,30.4525808
31697.8638,29.4504023
35565.5882,28.447673
39905.2463,27.4442597
44774.4228,26.4399994
50237.7286,25.4346946
56367.6586,24.4281085
63245.5532,23.419961
70962.6778,22.4099267
79621.4341,21.397637
89336.7184,20.382688
100237.447,19.364658
112468.265,18.3431391
126191.469,17.3177857
141589.157,16.2883847
158865.647,15.2549475
178250.188,14.2178201
200000.0,13.1778005
