variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
seg_jfet,1m,1f,929810,65.3273,81.7745
seg_jfet,1m,470p,946309,62.4784,81.7745
seg_jfet,1m,1n,948914,59.4979,81.7745
seg_jfet,1m,1.5n,937472,57.4213,81.7745
seg_jfet,1m,2.2n,910854,55.7901,81.7745
seg_jfet,1m,2.7n,890672,55.2784,81.7745
seg_jfet,1m,3.3n,868403,55.0938,81.7745
seg_jfet,1m,4.7n,827808,55.522,81.7745
seg_jfet,2.611k,1f,929637,64.6569,81.7745
seg_jfet,2.611k,470p,946118,61.7971,81.7745
seg_jfet,2.611k,1n,948724,58.8154,81.7745
seg_jfet,2.611k,1.5n,937293,56.7473,81.7745
seg_jfet,2.611k,2.2n,910702,55.1346,81.7745
seg_jfet,2.611k,2.7n,890534,54.6371,81.7745
seg_jfet,2.611k,3.3n,868278,54.468,81.7745
seg_jfet,2.611k,4.7n,827702,54.9248,81.7745
