variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
seg_mje,1m,1f,895776,70.3768,83.8487
seg_mje,1m,470p,901159,68.1664,83.8487
seg_mje,1m,1n,895554,65.9924,83.8487
seg_mje,1m,1.5n,882071,64.4905,83.8487
seg_mje,1m,2.2n,857832,63.2649,83.8486
seg_mje,1m,2.7n,840489,62.854,83.8486
seg_mje,1m,3.3n,821531,62.6884,83.8486
seg_mje,1m,4.7n,786958,63.0121,83.8486
seg_mje,2.611k,1f,895454,69.6486,83.8487
seg_mje,2.611k,470p,900830,67.4348,83.8487
seg_mje,2.611k,1n,895234,65.266,83.8487
seg_mje,2.611k,1.5n,881778,63.7748,83.8487
seg_mje,2.611k,2.2n,857572,62.5683,83.8486
seg_mje,2.611k,2.7n,840250,62.171,83.8486
seg_mje,2.611k,3.3n,821311,62.0202,83.8486
seg_mje,2.611k,4.7n,786768,62.371,83.8486
