variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
tutti_costruttore,1m,1f,889301,66.2427,81.4173
tutti_costruttore,1m,470p,903643,63.585,81.4173
tutti_costruttore,1m,1n,906199,60.7763,81.4173
tutti_costruttore,1m,1.5n,896588,58.7536,81.4173
tutti_costruttore,1m,2.2n,873176,57.0717,81.4173
tutti_costruttore,1m,2.7n,854926,56.4907,81.4173
tutti_costruttore,1m,3.3n,834369,56.2233,81.4173
tutti_costruttore,1m,4.7n,796118,56.5021,81.4173
tutti_costruttore,2.611k,1f,888996,65.5209,81.4173
tutti_costruttore,2.611k,470p,903311,62.8532,81.4173
tutti_costruttore,2.611k,1n,905868,60.0437,81.4173
tutti_costruttore,2.611k,1.5n,896274,58.0291,81.4173
tutti_costruttore,2.611k,2.2n,872900,56.3655,81.4173
tutti_costruttore,2.611k,2.7n,854676,55.7985,81.4173
tutti_costruttore,2.611k,3.3n,834141,55.547,81.4173
tutti_costruttore,2.611k,4.7n,795924,55.8555,81.4173
