mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,429795,69.2568,81.187,100k
0db,1m,1,47p,429998,69.154,81.187,100k
0db,1m,1,100p,430215,69.0379,81.187,100k
0db,1m,1,220p,430661,68.7749,81.187,100k
0db,1m,1,470p,431382,68.2282,81.187,100k
0db,1m,1,1n,431949,67.0971,81.187,100k
0db,1m,1,1.5n,431300,66.1007,81.187,100k
0db,1m,1,2.2n,428688,64.8809,81.187,100k
0db,1m,1,2.7n,425879,64.1564,81.187,100k
0db,1m,1,3.3n,421866,63.4495,81.187,100k
0db,1m,1,4.7n,411255,62.412,81.187,100k
0db,1m,2,1f,429795,69.2568,81.187,100k
0db,1m,2,47p,430002,69.1538,81.187,100k
0db,1m,2,100p,430235,69.0375,81.187,100k
0db,1m,2,220p,430759,68.7734,81.187,100k
0db,1m,2,470p,431836,68.22,81.187,100k
0db,1m,2,1n,434043,67.0329,81.187,100k
0db,1m,2,1.5n,436023,65.8968,81.187,100k
0db,1m,2,2.2n,438669,64.2801,81.187,100k
0db,1m,2,2.7n,440418,63.1102,81.187,100k
0db,1m,2,3.3n,442335,61.6935,81.1869,100k
0db,1m,2,4.7n,445933,58.3554,81.1869,100k
0db,1k,1,1f,429788,69.1219,81.187,100k
0db,1k,1,47p,429990,69.019,81.187,100k
0db,1k,1,100p,430208,68.9029,81.187,100k
0db,1k,1,220p,430654,68.6397,81.187,100k
0db,1k,1,470p,431375,68.0928,81.187,100k
0db,1k,1,1n,431941,66.9615,81.187,100k
0db,1k,1,1.5n,431293,65.9653,81.187,100k
0db,1k,1,2.2n,428680,64.7464,81.187,100k
0db,1k,1,2.7n,425872,64.0227,81.187,100k
0db,1k,1,3.3n,421860,63.3171,81.187,100k
0db,1k,1,4.7n,411249,62.2829,81.187,100k
0db,1k,2,1f,429788,69.1219,81.187,100k
0db,1k,2,47p,429995,69.0188,81.187,100k
0db,1k,2,100p,430228,68.9025,81.187,100k
0db,1k,2,220p,430752,68.6382,81.187,100k
0db,1k,2,470p,431828,68.0844,81.187,100k
0db,1k,2,1n,434035,66.8966,81.187,100k
0db,1k,2,1.5n,436015,65.76,81.187,100k
0db,1k,2,2.2n,438661,64.1424,81.187,100k
0db,1k,2,2.7n,440410,62.972,81.187,100k
0db,1k,2,3.3n,442326,61.5547,81.1869,100k
0db,1k,2,4.7n,445924,58.2156,81.1869,100k
0db,2.5k,1,1f,429762,68.9206,81.187,100k
0db,2.5k,1,47p,429965,68.8176,81.187,100k
0db,2.5k,1,100p,430182,68.7014,81.187,100k
0db,2.5k,1,220p,430628,68.438,81.187,100k
0db,2.5k,1,470p,431349,67.8908,81.187,100k
0db,2.5k,1,1n,431916,66.7594,81.187,100k
0db,2.5k,1,1.5n,431267,65.7635,81.187,100k
0db,2.5k,1,2.2n,428656,64.5458,81.187,100k
0db,2.5k,1,2.7n,425849,63.8234,81.187,100k
0db,2.5k,1,3.3n,421837,63.1197,81.187,100k
0db,2.5k,1,4.7n,411229,62.0904,81.187,100k
0db,2.5k,2,1f,429762,68.9206,81.187,100k
0db,2.5k,2,47p,429970,68.8174,81.187,100k
0db,2.5k,2,100p,430203,68.7009,81.187,100k
0db,2.5k,2,220p,430727,68.4364,81.187,100k
0db,2.5k,2,470p,431802,67.8822,81.187,100k
0db,2.5k,2,1n,434009,66.6935,81.187,100k
0db,2.5k,2,1.5n,435989,65.556,81.187,100k
0db,2.5k,2,2.2n,438633,63.9374,81.187,100k
0db,2.5k,2,2.7n,440382,62.7662,81.187,100k
0db,2.5k,2,3.3n,442298,61.3481,81.1869,100k
0db,2.5k,2,4.7n,445895,58.0075,81.1869,100k
0db,2.571k,1,1f,429761,68.9111,81.187,100k
0db,2.571k,1,47p,429964,68.8081,81.187,100k
0db,2.571k,1,100p,430181,68.6919,81.187,100k
0db,2.571k,1,220p,430627,68.4285,81.187,100k
0db,2.571k,1,470p,431348,67.8813,81.187,100k
0db,2.571k,1,1n,431914,66.7498,81.187,100k
0db,2.571k,1,1.5n,431266,65.754,81.187,100k
0db,2.571k,1,2.2n,428654,64.5363,81.187,100k
0db,2.571k,1,2.7n,425848,63.814,81.187,100k
0db,2.571k,1,3.3n,421836,63.1104,81.187,100k
0db,2.571k,1,4.7n,411227,62.0813,81.187,100k
0db,2.571k,2,1f,429761,68.9111,81.187,100k
