carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,457722,70.1767,80.9958
1,1m,47p,457987,70.0645,80.9958
1,1m,100p,458285,69.9376,80.9958
1,1m,220p,458956,69.6494,80.9958
1,1m,470p,460336,69.0449,80.9958
1,1m,1n,463176,67.7458,80.9957
1,1m,2.2n,469130,64.7233,80.9957
1,1m,4.7n,478597,58.1842,80.9956
1,430,1f,457719,70.1149,80.9958
1,430,47p,457984,70.0026,80.9958
1,430,100p,458282,69.8757,80.9958
1,430,220p,458953,69.5874,80.9958
1,430,470p,460333,68.9827,80.9958
1,430,1n,463173,67.6833,80.9957
1,430,2.2n,469127,64.6599,80.9957
1,430,4.7n,478594,58.1196,80.9956
2,1m,1f,457410,70.1851,80.9035
2,1m,47p,457675,70.073,80.9035
2,1m,100p,457972,69.9463,80.9035
2,1m,220p,458641,69.6585,80.9035
2,1m,470p,460018,69.0549,80.9035
2,1m,1n,462852,67.7577,80.9035
2,1m,2.2n,468781,64.7403,80.9034
2,1m,4.7n,478226,58.212,80.9033
2,430,1f,457407,70.1233,80.9035
2,430,47p,457672,70.0111,80.9035
2,430,100p,457969,69.8844,80.9035
2,430,220p,458638,69.5965,80.9035
2,430,470p,460015,68.9928,80.9035
2,430,1n,462848,67.6952,80.9035
2,430,2.2n,468777,64.677,80.9034
2,430,4.7n,478222,58.1474,80.9033
