variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
base,1m,1f,889301,66.2427,81.4173
base,1m,470p,903643,63.585,81.4173
base,1m,1n,906199,60.7763,81.4173
base,1m,1.5n,896588,58.7536,81.4173
base,1m,2.2n,873176,57.0717,81.4173
base,1m,2.7n,854926,56.4907,81.4173
base,1m,3.3n,834369,56.2233,81.4173
base,1m,4.7n,796118,56.5021,81.4173
base,2.611k,1f,888996,65.5209,81.4173
base,2.611k,470p,903311,62.8532,81.4173
base,2.611k,1n,905868,60.0437,81.4173
base,2.611k,1.5n,896274,58.0291,81.4173
base,2.611k,2.2n,872900,56.3655,81.4173
base,2.611k,2.7n,854676,55.7985,81.4173
base,2.611k,3.3n,834141,55.547,81.4173
base,2.611k,4.7n,795924,55.8555,81.4173
cap,1m,1f,895259,70.2918,81.4176
cap,1m,470p,899316,68.2081,81.4176
cap,1m,1n,893002,66.1828,81.4176
cap,1m,1.5n,879658,64.7921,81.4176
cap,1m,2.2n,856196,63.6652,81.4176
cap,1m,2.7n,839528,63.2938,81.4176
cap,1m,3.3n,821327,63.1548,81.4176
cap,1m,4.7n,788150,63.4965,81.4176
cap,2.611k,1f,894937,69.5641,81.4176
cap,2.611k,470p,898989,67.4779,81.4176
cap,2.611k,1n,892685,65.4583,81.4176
cap,2.611k,1.5n,879367,64.0782,81.4176
cap,2.611k,2.2n,855936,62.9698,81.4176
cap,2.611k,2.7n,839289,62.6114,81.4176
cap,2.611k,3.3n,821107,62.4867,81.4176
cap,2.611k,4.7n,787958,62.8544,81.4176
tf,1m,1f,889097,66.2441,81.4173
tf,1m,470p,904947,63.5018,81.4173
tf,1m,1n,908817,60.5647,81.4173
tf,1m,1.5n,899739,58.4314,81.4173
tf,1m,2.2n,876185,56.6518,81.4173
tf,1m,2.7n,857592,56.0334,81.4173
tf,1m,3.3n,836602,55.7412,81.4173
tf,1m,4.7n,797505,56.0013,81.4173
tf,2.611k,1f,888792,65.5225,81.4173
tf,2.611k,470p,904614,62.769,81.4173
tf,2.611k,1n,908482,59.8301,81.4173
tf,2.611k,1.5n,899422,57.7046,81.4173
tf,2.611k,2.2n,875907,55.9434,81.4173
tf,2.611k,2.7n,857340,55.3393,81.4173
tf,2.611k,3.3n,836374,55.0632,81.4173
tf,2.611k,4.7n,797312,55.3537,81.4173
