ldr,rs_ohm,pos,mode,att,rsrc,onoise_uv
nessuna,1m,0,0db,max,1.5,1.65838
nessuna,1m,0,0db,max,430,1.70055
nessuna,1m,0,0db,mid,1.5,1.59619
nessuna,1m,0,0db,mid,430,1.60719
nessuna,1m,0,3db,max,1.5,2.28656
nessuna,1m,0,3db,max,430,2.34811
nessuna,1m,0,3db,mid,1.5,2.19561
nessuna,1m,0,3db,mid,430,2.21171
nessuna,1m,0,10db,max,1.5,4.86934
nessuna,1m,0,10db,max,430,5.01108
nessuna,1m,0,10db,mid,1.5,4.65935
nessuna,1m,0,10db,mid,430,4.69658
nessuna,1m,6,0db,max,1.5,1.36605
nessuna,1m,6,0db,max,430,1.37901
nessuna,1m,6,0db,mid,1.5,1.52576
nessuna,1m,6,0db,mid,430,1.52866
nessuna,1m,6,3db,max,1.5,1.85683
nessuna,1m,6,3db,max,430,1.87601
nessuna,1m,6,3db,mid,1.5,2.09236
nessuna,1m,6,3db,mid,430,2.09661
nessuna,1m,6,10db,max,1.5,3.86903
nessuna,1m,6,10db,max,430,3.9142
nessuna,1m,6,10db,mid,1.5,4.41993
nessuna,1m,6,10db,mid,430,4.42982
nessuna,1m,12,0db,max,1.5,1.25692
nessuna,1m,12,0db,max,430,1.26051
nessuna,1m,12,0db,mid,1.5,1.50223
nessuna,1m,12,0db,mid,430,1.50298
nessuna,1m,12,3db,max,1.5,1.69449
nessuna,1m,12,3db,max,430,1.69986
nessuna,1m,12,3db,mid,1.5,2.05778
nessuna,1m,12,3db,mid,430,2.05888
nessuna,1m,12,10db,max,1.5,3.48412
nessuna,1m,12,10db,max,430,3.49696
nessuna,1m,12,10db,mid,1.5,4.3395
nessuna,1m,12,10db,mid,430,4.34207
curvab,88.3,0,0db,max,1.5,1.66716
curvab,88.3,0,0db,max,430,1.7091
curvab,88.3,0,0db,mid,1.5,1.59846
curvab,88.3,0,0db,mid,430,1.60944
curvab,88.3,0,3db,max,1.5,2.29938
curvab,88.3,0,3db,max,430,2.36058
curvab,88.3,0,3db,mid,1.5,2.19894
curvab,88.3,0,3db,mid,430,2.21502
curvab,88.3,0,10db,max,1.5,4.89889
curvab,88.3,0,10db,max,430,5.03977
curvab,88.3,0,10db,mid,1.5,4.66705
curvab,88.3,0,10db,mid,430,4.70421
curvab,88.3,6,0db,max,1.5,1.36873
curvab,88.3,6,0db,max,430,1.38166
curvab,88.3,6,0db,mid,1.5,1.52636
curvab,88.3,6,0db,mid,430,1.52926
curvab,88.3,6,3db,max,1.5,1.86095
curvab,88.3,6,3db,max,430,1.87994
curvab,88.3,6,3db,mid,1.5,2.09323
curvab,88.3,6,3db,mid,430,2.09748
curvab,88.3,6,10db,max,1.5,3.87839
curvab,88.3,6,10db,max,430,3.92343
curvab,88.3,6,10db,mid,1.5,4.42197
curvab,88.3,6,10db,mid,430,4.43185
curvab,88.3,12,0db,max,1.5,1.25766
curvab,88.3,12,0db,max,430,1.26125
curvab,88.3,12,0db,mid,1.5,1.50238
curvab,88.3,12,0db,mid,430,1.50314
curvab,88.3,12,3db,max,1.5,1.6956
curvab,88.3,12,3db,max,430,1.70097
curvab,88.3,12,3db,mid,1.5,2.058
curvab,88.3,12,3db,mid,430,2.05911
curvab,88.3,12,10db,max,1.5,3.48677
curvab,88.3,12,10db,max,430,3.4996
curvab,88.3,12,10db,mid,1.5,4.34003
curvab,88.3,12,10db,mid,430,4.3426
curvad,118,0,0db,max,1.5,1.6701
curvad,118,0,0db,max,430,1.71197
curvad,118,0,0db,mid,1.5,1.59922
curvad,118,0,0db,mid,430,1.6102
curvad,118,0,3db,max,1.5,2.30368
curvad,118,0,3db,max,430,2.36476
curvad,118,0,3db,mid,1.5,2.20006
curvad,118,0,3db,mid,430,2.21613
curvad,118,0,10db,max,1.5,4.90879
curvad,118,0,10db,max,430,5.04939
curvad,118,0,10db,mid,1.5,4.66963
curvad,118,0,10db,mid,430,4.70678
curvad,118,6,0db,max,1.5,1.36963
curvad,118,6,0db,max,430,1.38255
curvad,118,6,0db,mid,1.5,1.52656
curvad,118,6,0db,mid,430,1.52946
curvad,118,6,3db,max,1.5,1.86213
curvad,118,6,3db,max,430,1.88125
curvad,118,6,3db,mid,1.5,2.09353
curvad,118,6,3db,mid,430,2.09778
curvad,118,6,10db,max,1.5,3.88153
curvad,118,6,10db,max,430,3.92654
curvad,118,6,10db,mid,1.5,4.42266
curvad,118,6,10db,mid,430,4.43254
curvad,118,12,0db,max,1.5,1.25791
curvad,118,12,0db,max,430,1.2615
curvad,118,12,0db,mid,1.5,1.50244
curvad,118,12,0db,mid,430,1.50319
curvad,118,12,3db,max,1.5,1.69597
curvad,118,12,3db,max,430,1.70134
curvad,118,12,3db,mid,1.5,2.05808
curvad,118,12,3db,mid,430,2.05918
curvad,118,12,10db,max,1.5,3.48766
curvad,118,12,10db,max,430,3.50048
curvad,118,12,10db,mid,1.5,4.34021
curvad,118,12,10db,mid,430,4.34278
