var,carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
a_come_e,1,1m,1f,964783,65.1686,81.2162
a_come_e,1,1m,47p,967244,64.8704,81.2162
a_come_e,1,1m,100p,970037,64.5305,81.2162
a_come_e,1,1m,220p,976419,63.7467,81.2162
a_come_e,1,1m,470p,990338,62.0384,81.2162
a_come_e,1,1m,1n,1.02166E+06,58.0692,81.2162
a_come_e,1,430,1f,964758,65.0387,81.2162
a_come_e,1,430,47p,967220,64.7401,81.2162
a_come_e,1,430,100p,970011,64.3998,81.2162
a_come_e,1,430,220p,976394,63.6152,81.2162
a_come_e,1,430,470p,990310,61.9051,81.2162
a_come_e,1,430,1n,1.02163E+06,57.9319,81.2162
a_come_e,2,1m,1f,963895,65.1801,81.1204
a_come_e,2,1m,47p,966349,64.8824,81.1204
a_come_e,2,1m,100p,969130,64.5433,81.1204
a_come_e,2,1m,220p,975489,63.7613,81.1204
a_come_e,2,1m,470p,989326,62.0579,81.1204
a_come_e,2,1m,1n,1.02049E+06,58.1011,81.1203
a_come_e,2,430,1f,963870,65.0502,81.1204
a_come_e,2,430,47p,966323,64.7523,81.1204
a_come_e,2,430,100p,969104,64.4128,81.1204
a_come_e,2,430,220p,975462,63.63,81.1204
a_come_e,2,430,470p,989297,61.9248,81.1204
a_come_e,2,430,1n,1.02045E+06,57.9639,81.1203
b_min,1,1m,1f,964028,65.1902,81.2039
b_min,1,1m,47p,966488,64.8924,81.2039
b_min,1,1m,100p,969278,64.553,81.2039
b_min,1,1m,220p,975657,63.7706,81.2039
b_min,1,1m,470p,989545,62.0657,81.2039
b_min,1,1m,1n,1.02083E+06,58.1043,81.2039
b_min,1,430,1f,964011,65.0975,81.2039
b_min,1,430,47p,966471,64.7995,81.2039
b_min,1,430,100p,969262,64.4599,81.2039
b_min,1,430,220p,975640,63.6768,81.2039
b_min,1,430,470p,989527,61.9706,81.2039
b_min,1,430,1n,1.02081E+06,58.0065,81.2039
b_min,2,1m,1f,963189,65.2002,81.108
b_min,2,1m,47p,965641,64.903,81.108
b_min,2,1m,100p,968421,64.5644,81.108
b_min,2,1m,220p,974777,63.7836,81.108
b_min,2,1m,470p,988590,62.0833,81.108
b_min,2,1m,1n,1.01972E+06,58.1335,81.108
b_min,2,430,1f,963173,65.1076,81.108
b_min,2,430,47p,965625,64.8102,81.108
b_min,2,430,100p,968405,64.4713,81.108
b_min,2,430,220p,974761,63.6899,81.108
b_min,2,430,470p,988571,61.9884,81.108
b_min,2,430,1n,1.0197E+06,58.0357,81.108
b_tip,1,1m,1f,963538,65.2031,81.1978
b_tip,1,1m,47p,965996,64.9055,81.1978
b_tip,1,1m,100p,968784,64.5665,81.1978
b_tip,1,1m,220p,975158,63.7846,81.1978
b_tip,1,1m,470p,989021,62.0816,81.1978
b_tip,1,1m,1n,1.02026E+06,58.1246,81.1978
b_tip,1,430,1f,963524,65.1197,81.1978
b_tip,1,430,47p,965982,64.8219,81.1978
b_tip,1,430,100p,968770,64.4826,81.1978
b_tip,1,430,220p,975144,63.7003,81.1978
b_tip,1,430,470p,989006,61.9961,81.1978
b_tip,1,430,1n,1.02025E+06,58.0365,81.1978
b_tip,2,1m,1f,962712,65.2127,81.1019
b_tip,2,1m,47p,965162,64.9158,81.1019
b_tip,2,1m,100p,967940,64.5774,81.1019
b_tip,2,1m,220p,974291,63.7973,81.1019
b_tip,2,1m,470p,988080,62.0988,81.1019
b_tip,2,1m,1n,1.01917E+06,58.153,81.1019
b_tip,2,430,1f,962697,65.1295,81.1019
b_tip,2,430,47p,965147,64.8323,81.1019
b_tip,2,430,100p,967926,64.4937,81.1019
b_tip,2,430,220p,974277,63.713,81.1019
b_tip,2,430,470p,988064,62.0134,81.1019
b_tip,2,430,1n,1.01915E+06,58.0651,81.1019
b_max,1,1m,1f,963074,65.2151,81.1924
b_max,1,1m,47p,965530,64.9177,81.1924
b_max,1,1m,100p,968316,64.5789,81.1924
b_max,1,1m,220p,974684,63.7977,81.1923
b_max,1,1m,470p,988523,62.0964,81.1923
b_max,1,1m,1n,1.01972E+06,58.1434,81.1923
b_max,1,430,1f,963061,65.1379,81.1924
b_max,1,430,47p,965517,64.8404,81.1924
b_max,1,430,100p,968303,64.5014,81.1924
b_max,1,430,220p,974671,63.7197,81.1923
b_max,1,430,470p,988508,62.0173,81.1923
b_max,1,430,1n,1.01971E+06,58.0619,81.1923
b_max,2,1m,1f,962256,65.2245,81.0965
b_max,2,1m,47p,964704,64.9278,81.0965
b_max,2,1m,100p,967481,64.5897,81.0965
b_max,2,1m,220p,973827,63.8101,81.0965
b_max,2,1m,470p,987592,62.1133,81.0965
b_max,2,1m,1n,1.01864E+06,58.1713,81.0965
b_max,2,430,1f,962243,65.1474,81.0965
b_max,2,430,47p,964691,64.8505,81.0965
b_max,2,430,100p,967467,64.5122,81.0965
b_max,2,430,220p,973814,63.7321,81.0965
b_max,2,430,470p,987577,62.0342,81.0965
b_max,2,430,1n,1.01862E+06,58.0899,81.0965
