cm,r128,amp_in,vo_max,vo_min,vo_mean_dc,slope_pos_vus,slope_neg_vus,ideal_slope_vus,gain
470p,1.69k,3.818,11.9294,-12.0261,0.0553065,1.50448,-1.4685,1.50517,3.13719
470p,1.69k,1.909,5.94066,-6.03823,-0.0441704,0.752468,-0.750676,0.752656,3.13748
560p,1.69k,3.818,11.9162,-12.0083,0.12436,1.50268,-1.45022,1.50323,3.13313
560p,1.69k,1.909,5.93409,-6.03162,-0.0392468,0.751615,-0.747262,0.751828,3.13403
680p,1.69k,3.818,11.8961,-11.9675,0.233308,1.49995,-1.42382,1.4994,3.12515
680p,1.69k,1.909,5.92411,-6.02137,-0.0268429,0.750319,-0.739845,0.750556,3.12873
820p,1.69k,3.818,11.8691,-11.8762,0.376399,1.49624,-1.38976,1.49196,3.10966
820p,1.69k,1.909,5.91071,-6.00658,-0.00195152,0.748579,-0.727713,0.748785,3.12135
1n,1.69k,3.818,11.8288,-11.6706,0.577306,1.4906,-1.34001,1.47651,3.07745
1n,1.69k,1.909,5.89076,-5.97891,0.0452407,0.745985,-0.709296,0.745793,3.10888
1.2n,1.69k,3.818,11.7768,-11.3254,0.819786,1.48304,-1.2739,1.45156,3.02544
1.2n,1.69k,1.909,5.8651,-5.92553,0.11175,0.742631,-0.687484,0.740827,3.08817
470p,1.33k,3.818,11.9302,-12.0264,0.0603253,1.50451,-1.46993,1.50524,3.13733
470p,1.33k,1.909,5.94114,-6.03808,-0.0432775,0.752487,-0.750658,0.752677,3.13757
560p,1.33k,3.818,11.917,-12.0088,0.130699,1.50272,-1.45189,1.5033,3.13329
560p,1.33k,1.909,5.93458,-6.03146,-0.0378778,0.751634,-0.747186,0.751848,3.13412
680p,1.33k,3.818,11.8969,-11.968,0.241112,1.49998,-1.42556,1.49948,3.12532
680p,1.33k,1.909,5.92459,-6.02118,-0.0245578,0.750337,-0.739704,0.750575,3.12881
820p,1.33k,3.818,11.8699,-11.8766,0.385672,1.49626,-1.39137,1.49204,3.10981
820p,1.33k,1.909,5.91119,-6.00628,0.00157393,0.748597,-0.727572,0.748797,3.1214
1n,1.33k,3.818,11.8296,-11.6699,0.588355,1.49063,-1.34121,1.47651,3.07746
1n,1.33k,1.909,5.89125,-5.97811,0.0502309,0.746002,-0.709199,0.745773,3.10879
1.2n,1.33k,3.818,11.7776,-11.3218,0.833076,1.48306,-1.27423,1.45138,3.02507
1.2n,1.33k,1.909,5.86559,-5.92346,0.11804,0.742648,-0.687397,0.740728,3.08776
