mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,361347,69.6663,81.9016,100k
0db,1m,1,47p,361492,69.5781,81.9016,100k
0db,1m,1,100p,361649,69.4786,81.9016,100k
0db,1m,1,220p,361976,69.253,81.9016,100k
0db,1m,1,470p,362533,68.7834,81.9016,100k
0db,1m,1,1n,363143,67.8026,81.9016,100k
0db,1m,1,1.5n,362995,66.9188,81.9015,100k
0db,1m,1,2.2n,361696,65.7913,81.9015,100k
0db,1m,1,2.7n,360094,65.0847,81.9015,100k
0db,1m,1,3.3n,357594,64.3567,81.9015,100k
0db,1m,1,4.7n,350384,63.1454,81.9014,100k
0db,1m,2,1f,361347,69.6663,81.9016,100k
0db,1m,2,47p,361495,69.578,81.9016,100k
0db,1m,2,100p,361661,69.4783,81.9016,100k
0db,1m,2,220p,362034,69.252,81.9016,100k
0db,1m,2,470p,362803,68.7782,81.9016,100k
0db,1m,2,1n,364424,67.762,81.9015,100k
0db,1m,2,1.5n,365898,66.7907,81.9015,100k
0db,1m,2,2.2n,367851,65.4126,81.9015,100k
0db,1m,2,2.7n,369158,64.4166,81.9014,100k
0db,1m,2,3.3n,370621,63.2103,81.9014,100k
0db,1m,2,4.7n,373597,60.3577,81.9013,100k
0db,1k,1,1f,361343,69.5528,81.9016,100k
0db,1k,1,47p,361488,69.4646,81.9016,100k
0db,1k,1,100p,361644,69.365,81.9016,100k
0db,1k,1,220p,361971,69.1394,81.9016,100k
0db,1k,1,470p,362529,68.6696,81.9016,100k
0db,1k,1,1n,363138,67.6886,81.9016,100k
0db,1k,1,1.5n,362991,66.8048,81.9015,100k
0db,1k,1,2.2n,361691,65.6777,81.9015,100k
0db,1k,1,2.7n,360090,64.9716,81.9015,100k
0db,1k,1,3.3n,357590,64.2444,81.9015,100k
0db,1k,1,4.7n,350380,63.0354,81.9014,100k
0db,1k,2,1f,361343,69.5528,81.9016,100k
0db,1k,2,47p,361491,69.4645,81.9016,100k
0db,1k,2,100p,361657,69.3647,81.9016,100k
0db,1k,2,220p,362030,69.1383,81.9016,100k
0db,1k,2,470p,362799,68.6643,81.9016,100k
0db,1k,2,1n,364419,67.6476,81.9015,100k
0db,1k,2,1.5n,365894,66.6758,81.9015,100k
0db,1k,2,2.2n,367846,65.2971,81.9015,100k
0db,1k,2,2.7n,369153,64.3007,81.9014,100k
0db,1k,2,3.3n,370616,63.094,81.9014,100k
0db,1k,2,4.7n,373592,60.2405,81.9013,100k
0db,2.5k,1,1f,361328,69.3834,81.9016,100k
0db,2.5k,1,47p,361473,69.2951,81.9016,100k
0db,2.5k,1,100p,361630,69.1955,81.9016,100k
0db,2.5k,1,220p,361957,68.9697,81.9016,100k
0db,2.5k,1,470p,362514,68.4996,81.9016,100k
0db,2.5k,1,1n,363123,67.5184,81.9016,100k
0db,2.5k,1,1.5n,362976,66.6347,81.9015,100k
0db,2.5k,1,2.2n,361677,65.5083,81.9015,100k
0db,2.5k,1,2.7n,360075,64.803,81.9015,100k
0db,2.5k,1,3.3n,357576,64.0769,81.9015,100k
0db,2.5k,1,4.7n,350368,62.8712,81.9014,100k
0db,2.5k,2,1f,361328,69.3834,81.9016,100k
0db,2.5k,2,47p,361476,69.295,81.9016,100k
0db,2.5k,2,100p,361642,69.1952,81.9016,100k
0db,2.5k,2,220p,362015,68.9686,81.9016,100k
0db,2.5k,2,470p,362784,68.4942,81.9016,100k
0db,2.5k,2,1n,364404,67.4768,81.9015,100k
0db,2.5k,2,1.5n,365878,66.5045,81.9015,100k
0db,2.5k,2,2.2n,367830,65.1249,81.9015,100k
0db,2.5k,2,2.7n,369137,64.1279,81.9014,100k
0db,2.5k,2,3.3n,370600,62.9206,81.9014,100k
0db,2.5k,2,4.7n,373574,60.0658,81.9013,100k
0db,2.571k,1,1f,361327,69.3754,81.9015,100k
0db,2.571k,1,47p,361472,69.2871,81.9015,100k
0db,2.571k,1,100p,361629,69.1875,81.9015,100k
0db,2.571k,1,220p,361956,68.9617,81.9015,100k
0db,2.571k,1,470p,362513,68.4916,81.9015,100k
0db,2.571k,1,1n,363122,67.5104,81.9015,100k
0db,2.571k,1,1.5n,362975,66.6267,81.9015,100k
0db,2.571k,1,2.2n,361676,65.5003,81.9014,100k
0db,2.571k,1,2.7n,360074,64.795,81.9014,100k
0db,2.571k,1,3.3n,357575,64.069,81.9014,100k
0db,2.571k,1,4.7n,350367,62.8635,81.9014,100k
0db,2.571k,2,1f,361327,69.3754,81.9015,100k
0db,2.571k,2,47p,361475,69.287,81.9015,100k
0db,2.571k,2,100p,361641,69.1872,81.9015,100k
0db,2.571k,2,220p,362014,68.9606,81.9015,100k
0db,2.571k,2,470p,362783,68.4862,81.9015,100k
0db,2.571k,2,1n,364403,67.4688,81.9015,100k
0db,2.571k,2,1.5n,365877,66.4964,81.9014,100k
0db,2.571k,2,2.2n,367829,65.1168,81.9014,100k
0db,2.571k,2,2.7n,369136,64.1197,81.9014,100k
0db,2.571k,2,3.3n,370599,62.9124,81.9014,100k
0db,2.571k,2,4.7n,373573,60.0576,81.9013,100k
0db,2.611k,1,1f,361327,69.3709,81.9016,100k
0db,2.611k,1,47p,361472,69.2826,81.9016,100k
0db,2.611k,1,100p,361628,69.183,81.9016,100k
0db,2.611k,1,220p,361955,68.9571,81.9016,100k
0db,2.611k,1,470p,362512,68.4871,81.9016,100k
0db,2.611k,1,1n,363122,67.5058,81.9016,100k
0db,2.611k,1,1.5n,362975,66.6222,81.9015,100k
0db,2.611k,1,2.2n,361675,65.4958,81.9015,100k
0db,2.611k,1,2.7n,360074,64.7905,81.9015,100k
0db,2.611k,1,3.3n,357575,64.0645,81.9015,100k
0db,2.611k,1,4.7n,350366,62.8591,81.9014,100k
0db,2.611k,2,1f,361327,69.3709,81.9016,100k
0db,2.611k,2,47p,361474,69.2825,81.9016,100k
0db,2.611k,2,100p,361640,69.1827,81.9016,100k
0db,2.611k,2,220p,362014,68.9561,81.9016,100k
0db,2.611k,2,470p,362782,68.4817,81.9016,100k
0db,2.611k,2,1n,364402,67.4642,81.9015,100k
