mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,622015,68.1356,81.3446,100k
0db,1m,1,47p,622639,67.9756,81.3446,100k
0db,1m,1,100p,623308,67.7944,81.3446,100k
0db,1m,1,220p,624682,67.382,81.3446,100k
0db,1m,1,470p,626877,66.5207,81.3446,100k
0db,1m,1,1n,628344,64.7616,81.3446,100k
0db,1m,1,1.5n,625912,63.3019,81.3446,100k
0db,1m,1,2.2n,617787,61.7266,81.3446,100k
0db,1m,1,2.7n,610136,60.9367,81.3446,100k
0db,1m,1,3.3n,600175,60.3039,81.3446,100k
0db,1m,1,4.7n,578085,59.7322,81.3446,100k
0db,1m,2,1f,622015,68.1356,81.3446,100k
0db,1m,2,47p,622654,67.9755,81.3446,100k
0db,1m,2,100p,623373,67.7942,81.3446,100k
0db,1m,2,220p,624999,67.381,81.3446,100k
0db,1m,2,470p,628369,66.508,81.3446,100k
0db,1m,2,1n,635529,64.5987,81.3446,100k
0db,1m,2,1.5n,642161,62.728,81.3446,100k
0db,1m,2,2.2n,651151,59.9985,81.3446,100k
0db,1m,2,2.7n,657195,57.9787,81.3446,100k
0db,1m,2,3.3n,663895,55.489,81.3445,100k
0db,1m,2,4.7n,675966,49.5295,81.3445,100k
0db,1k,1,1f,621992,67.9406,81.3446,100k
0db,1k,1,47p,622616,67.7804,81.3446,100k
0db,1k,1,100p,623286,67.599,81.3446,100k
0db,1k,1,220p,624660,67.1861,81.3446,100k
0db,1k,1,470p,626854,66.3242,81.3446,100k
0db,1k,1,1n,628321,64.5647,81.3446,100k
0db,1k,1,1.5n,625890,63.1057,81.3446,100k
0db,1k,1,2.2n,617766,61.533,81.3446,100k
0db,1k,1,2.7n,610116,60.7455,81.3446,100k
0db,1k,1,3.3n,600157,60.1158,81.3446,100k
0db,1k,1,4.7n,578069,59.5509,81.3446,100k
0db,1k,2,1f,621992,67.9406,81.3446,100k
0db,1k,2,47p,622631,67.7802,81.3446,100k
0db,1k,2,100p,623351,67.5987,81.3446,100k
0db,1k,2,220p,624977,67.1851,81.3446,100k
0db,1k,2,470p,628346,66.311,81.3446,100k
0db,1k,2,1n,635504,64.3996,81.3446,100k
0db,1k,2,1.5n,642135,62.5269,81.3446,100k
0db,1k,2,2.2n,651124,59.7948,81.3446,100k
0db,1k,2,2.7n,657167,57.7732,81.3446,100k
0db,1k,2,3.3n,663865,55.2816,81.3445,100k
0db,1k,2,4.7n,675934,49.3187,81.3445,100k
0db,2.5k,1,1f,621916,67.6501,81.3446,100k
0db,2.5k,1,47p,622540,67.4896,81.3446,100k
0db,2.5k,1,100p,623209,67.3079,81.3446,100k
0db,2.5k,1,220p,624582,66.8945,81.3446,100k
0db,2.5k,1,470p,626775,66.0317,81.3446,100k
0db,2.5k,1,1n,628242,64.2718,81.3446,100k
0db,2.5k,1,1.5n,625812,62.8141,81.3446,100k
0db,2.5k,1,2.2n,617692,61.2453,81.3446,100k
0db,2.5k,1,2.7n,610048,60.4612,81.3446,100k
0db,2.5k,1,3.3n,600094,59.8359,81.3446,100k
0db,2.5k,1,4.7n,578014,59.281,81.3446,100k
0db,2.5k,2,1f,621916,67.6501,81.3446,100k
0db,2.5k,2,47p,622554,67.4895,81.3446,100k
0db,2.5k,2,100p,623274,67.3077,81.3446,100k
0db,2.5k,2,220p,624899,66.8933,81.3446,100k
0db,2.5k,2,470p,628266,66.0178,81.3446,100k
0db,2.5k,2,1n,635419,64.1035,81.3446,100k
0db,2.5k,2,1.5n,642047,62.228,81.3446,100k
0db,2.5k,2,2.2n,651027,59.4924,81.3446,100k
0db,2.5k,2,2.7n,657067,57.4684,81.3446,100k
0db,2.5k,2,3.3n,663759,54.9745,81.3445,100k
0db,2.5k,2,4.7n,675822,49.0074,81.3445,100k
0db,2.571k,1,1f,621911,67.6364,81.3446,100k
0db,2.571k,1,47p,622535,67.4759,81.3446,100k
0db,2.571k,1,100p,623204,67.2942,81.3446,100k
0db,2.571k,1,220p,624577,66.8808,81.3446,100k
0db,2.571k,1,470p,626770,66.0179,81.3446,100k
0db,2.571k,1,1n,628237,64.258,81.3446,100k
0db,2.571k,1,1.5n,625807,62.8004,81.3446,100k
0db,2.571k,1,2.2n,617688,61.2317,81.3446,100k
0db,2.571k,1,2.7n,610043,60.4478,81.3446,100k
0db,2.571k,1,3.3n,600090,59.8227,81.3446,100k
0db,2.571k,1,4.7n,578011,59.2683,81.3446,100k
0db,2.571k,2,1f,621911,67.6364,81.3446,100k
0db,2.571k,2,47p,622550,67.4758,81.3446,100k
0db,2.571k,2,100p,623269,67.294,81.3446,100k
0db,2.571k,2,220p,624894,66.8796,81.3446,100k
0db,2.571k,2,470p,628261,66.004,81.3446,100k
0db,2.571k,2,1n,635413,64.0895,81.3446,100k
0db,2.571k,2,1.5n,642041,62.214,81.3446,100k
0db,2.571k,2,2.2n,651021,59.4782,81.3446,100k
0db,2.571k,2,2.7n,657061,57.4541,81.3446,100k
0db,2.571k,2,3.3n,663752,54.9601,81.3445,100k
0db,2.571k,2,4.7n,675815,48.9929,81.3445,100k
0db,2.611k,1,1f,621908,67.6287,81.3446,100k
0db,2.611k,1,47p,622532,67.4682,81.3446,100k
0db,2.611k,1,100p,623201,67.2865,81.3446,100k
0db,2.611k,1,220p,624574,66.873,81.3446,100k
0db,2.611k,1,470p,626767,66.0101,81.3446,100k
0db,2.611k,1,1n,628234,64.2502,81.3446,100k
0db,2.611k,1,1.5n,625804,62.7926,81.3446,100k
0db,2.611k,1,2.2n,617685,61.2241,81.3446,100k
0db,2.611k,1,2.7n,610041,60.4403,81.3446,100k
0db,2.611k,1,3.3n,600088,59.8153,81.3446,100k
0db,2.611k,1,4.7n,578009,59.2611,81.3446,100k
0db,2.611k,2,1f,621908,67.6287,81.3446,100k
0db,2.611k,2,47p,622547,67.4681,81.3446,100k
0db,2.611k,2,100p,623266,67.2862,81.3446,100k
0db,2.611k,2,220p,624891,66.8718,81.3446,100k
0db,2.611k,2,470p,628258,65.9963,81.3446,100k
0db,2.611k,2,1n,635410,64.0817,81.3446,100k
0db,2.611k,2,1.5n,642038,62.206,81.3446,100k
0db,2.611k,2,2.2n,651018,59.4702,81.3446,100k
0db,2.611k,2,2.7n,657057,57.446,81.3446,100k
0db,2.611k,2,3.3n,663748,54.952,81.3445,100k
0db,2.611k,2,4.7n,675811,48.9847,81.3445,100k
0db,1m,1,1f,621241,68.1302,81.1552,10k
0db,1m,1,47p,621857,67.972,81.1552,10k
0db,1m,1,100p,622518,67.7928,81.1552,10k
0db,1m,1,220p,623874,67.3849,81.1552,10k
0db,1m,1,470p,626044,66.5332,81.1552,10k
0db,1m,1,1n,627514,64.7931,81.1552,10k
0db,1m,1,1.5n,625148,63.3468,81.1553,10k
0db,1m,1,2.2n,617171,61.7814,81.1553,10k
0db,1m,1,2.7n,609646,60.9926,81.1553,10k
0db,1m,1,3.3n,599815,60.3579,81.1554,10k
0db,1m,1,4.7n,577927,59.7765,81.1555,10k
0db,1m,2,1f,621241,68.1302,81.1552,10k
0db,1m,2,47p,621877,67.9705,81.1552,10k
0db,1m,2,100p,622593,67.7897,81.1552,10k
0db,1m,2,220p,624211,67.3775,81.1552,10k
0db,1m,2,470p,627563,66.5068,81.1552,10k
0db,1m,2,1n,634661,64.6036,81.1552,10k
0db,1m,2,1.5n,641256,62.7385,81.1551,10k
0db,1m,2,2.2n,650165,60.0192,81.1551,10k
0db,1m,2,2.7n,656173,58.0065,81.1551,10k
0db,1m,2,3.3n,662797,55.528,81.1551,10k
0db,1m,2,4.7n,674797,49.5919,81.1551,10k
0db,1k,1,1f,621219,67.9354,81.1552,10k
0db,1k,1,47p,621835,67.777,81.1552,10k
0db,1k,1,100p,622495,67.5976,81.1552,10k
0db,1k,1,220p,623852,67.1893,81.1552,10k
0db,1k,1,470p,626021,66.3369,81.1552,10k
0db,1k,1,1n,627491,64.5964,81.1552,10k
0db,1k,1,1.5n,625125,63.1509,81.1553,10k
0db,1k,1,2.2n,617150,61.588,81.1553,10k
0db,1k,1,2.7n,609626,60.8016,81.1553,10k
0db,1k,1,3.3n,599797,60.1699,81.1554,10k
0db,1k,1,4.7n,577911,59.5953,81.1555,10k
0db,1k,2,1f,621219,67.9354,81.1552,10k
0db,1k,2,47p,621854,67.7755,81.1552,10k
0db,1k,2,100p,622570,67.5944,81.1552,10k
0db,1k,2,220p,624188,67.1818,81.1552,10k
0db,1k,2,470p,627540,66.3101,81.1552,10k
0db,1k,2,1n,634636,64.4047,81.1552,10k
0db,1k,2,1.5n,641231,62.5377,81.1551,10k
0db,1k,2,2.2n,650138,59.8158,81.1551,10k
0db,1k,2,2.7n,656145,57.8013,81.1551,10k
0db,1k,2,3.3n,662767,55.3209,81.1551,10k
0db,1k,2,4.7n,674766,49.3814,81.1551,10k
0db,2.5k,1,1f,621142,67.6453,81.1552,10k
0db,2.5k,1,47p,621758,67.4866,81.1552,10k
0db,2.5k,1,100p,622418,67.3069,81.1552,10k
0db,2.5k,1,220p,623774,66.898,81.1552,10k
0db,2.5k,1,470p,625942,66.0448,81.1552,10k
0db,2.5k,1,1n,627412,64.3039,81.1552,10k
0db,2.5k,1,1.5n,625048,62.8596,81.1553,10k
0db,2.5k,1,2.2n,617076,61.3005,81.1553,10k
0db,2.5k,1,2.7n,609558,60.5175,81.1553,10k
0db,2.5k,1,3.3n,599734,59.8902,81.1554,10k
0db,2.5k,1,4.7n,577856,59.3254,81.1555,10k
0db,2.5k,2,1f,621142,67.6453,81.1552,10k
0db,2.5k,2,47p,621778,67.4851,81.1552,10k
0db,2.5k,2,100p,622494,67.3037,81.1552,10k
0db,2.5k,2,220p,624110,66.8904,81.1552,10k
0db,2.5k,2,470p,627460,66.0173,81.1552,10k
0db,2.5k,2,1n,634552,64.109,81.1552,10k
0db,2.5k,2,1.5n,641143,62.2392,81.1551,10k
0db,2.5k,2,2.2n,650042,59.5139,81.1551,10k
0db,2.5k,2,2.7n,656046,57.497,81.1551,10k
0db,2.5k,2,3.3n,662661,55.0144,81.1551,10k
0db,2.5k,2,4.7n,674654,49.0707,81.1551,10k
0db,2.571k,1,1f,621138,67.6316,81.1552,10k
0db,2.571k,1,47p,621753,67.4729,81.1552,10k
0db,2.571k,1,100p,622413,67.2932,81.1552,10k
0db,2.571k,1,220p,623769,66.8843,81.1552,10k
0db,2.571k,1,470p,625937,66.0311,81.1552,10k
0db,2.571k,1,1n,627407,64.2901,81.1552,10k
0db,2.571k,1,1.5n,625043,62.8459,81.1553,10k
0db,2.571k,1,2.2n,617072,61.287,81.1553,10k
0db,2.571k,1,2.7n,609554,60.5041,81.1553,10k
0db,2.571k,1,3.3n,599730,59.877,81.1554,10k
0db,2.571k,1,4.7n,577852,59.3127,81.1555,10k
0db,2.571k,2,1f,621138,67.6316,81.1552,10k
0db,2.571k,2,47p,621773,67.4714,81.1552,10k
0db,2.571k,2,100p,622489,67.29,81.1552,10k
0db,2.571k,2,220p,624105,66.8767,81.1552,10k
0db,2.571k,2,470p,627455,66.0035,81.1552,10k
0db,2.571k,2,1n,634546,64.0951,81.1552,10k
0db,2.571k,2,1.5n,641137,62.2252,81.1551,10k
0db,2.571k,2,2.2n,650036,59.4997,81.1551,10k
0db,2.571k,2,2.7n,656039,57.4827,81.1551,10k
0db,2.571k,2,3.3n,662654,55,81.1551,10k
0db,2.571k,2,4.7n,674647,49.0561,81.1551,10k
0db,2.611k,1,1f,621135,67.6239,81.1552,10k
