carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,670722,68.1715,82.029
1,1m,47p,671724,67.9793,82.029
1,1m,100p,672857,67.7613,82.029
1,1m,220p,675428,67.2628,82.029
1,1m,470p,680948,66.1972,82.0289
1,1m,1n,692836,63.8288,82.0289
1,1m,2.2n,720910,57.8509,82.0289
1,1m,4.7n,771829,43.0021,82.0288
1,430,1f,670714,68.081,82.029
1,430,47p,671716,67.8886,82.029
1,430,100p,672848,67.6705,82.029
1,430,220p,675420,67.1716,82.029
1,430,470p,680939,66.1053,82.0289
1,430,1n,692826,63.7354,82.0289
1,430,2.2n,720899,57.7538,82.0289
1,430,4.7n,771814,42.8986,82.0288
2,1m,1f,670203,68.1766,81.9248
2,1m,47p,671202,67.9847,81.9248
2,1m,100p,672331,67.7671,81.9248
2,1m,220p,674894,67.2694,81.9248
2,1m,470p,680381,66.2062,81.9248
2,1m,1n,692212,63.8432,81.9248
2,1m,2.2n,720161,57.8805,81.9247
2,1m,4.7n,770806,43.0823,81.9246
2,430,1f,670194,68.0861,81.9248
2,430,47p,671193,67.8941,81.9248
2,430,100p,672322,67.6764,81.9248
2,430,220p,674886,67.1783,81.9248
2,430,470p,680372,66.1144,81.9248
2,430,1n,692202,63.7499,81.9248
2,430,2.2n,720149,57.7835,81.9247
2,430,4.7n,770791,42.9791,81.9246
