cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,662353,68.0792,79.3662
1,0,1m,47p,663137,67.9039,79.3662
1,0,1m,100p,664020,67.7054,79.3662
1,0,1m,220p,666018,67.2524,79.3662
1,0,1m,470p,670166,66.2937,79.3661
1,0,1m,1n,678937,64.1914,79.3661
1,0,1m,2.2n,698338,59.0808,79.3661
1,0,1m,4.7n,728706,47.3822,79.3661
1,0,430,1f,662345,67.9898,79.3662
1,0,430,47p,663128,67.8144,79.3662
1,0,430,100p,664012,67.6157,79.3662
1,0,430,220p,666010,67.1625,79.3662
1,0,430,470p,670158,66.2033,79.3661
1,0,430,1n,678928,64.0998,79.3661
1,0,430,2.2n,698328,58.9867,79.3661
1,0,430,4.7n,728694,47.2843,79.3661
1,6,1m,1f,663059,68.0806,79.5029
1,6,1m,47p,663232,68.0363,79.5029
1,6,1m,100p,663362,67.9872,79.5029
1,6,1m,220p,663405,67.8844,79.5029
1,6,1m,470p,662609,67.7346,79.5029
1,6,1m,1n,659919,67.6682,79.5029
1,6,1m,2.2n,656888,67.7878,79.5029
1,6,1m,4.7n,655452,67.9186,79.5029
1,6,430,1f,663050,67.9911,79.5029
1,6,430,47p,663223,67.9468,79.5029
1,6,430,100p,663354,67.8977,79.5029
1,6,430,220p,663396,67.7949,79.5029
1,6,430,470p,662600,67.6451,79.5029
1,6,430,1n,659911,67.5791,79.5029
1,6,430,2.2n,656880,67.6991,79.5029
1,6,430,4.7n,655444,67.8302,79.5029
1,12,1m,1f,663244,68.081,79.5393
1,12,1m,47p,663290,68.0697,79.5393
1,12,1m,100p,663328,68.0572,79.5393
1,12,1m,220p,663366,68.0301,79.5393
1,12,1m,470p,663247,67.9845,79.5393
1,12,1m,1n,662578,67.9453,79.5393
1,12,1m,2.2n,661466,67.9681,79.5393
1,12,1m,4.7n,660814,68.0153,79.5392
1,12,430,1f,663236,67.9914,79.5393
1,12,430,47p,663281,67.9802,79.5393
1,12,430,100p,663320,67.9677,79.5393
1,12,430,220p,663358,67.9406,79.5393
1,12,430,470p,663238,67.895,79.5393
1,12,430,1n,662569,67.8559,79.5393
1,12,430,2.2n,661457,67.8788,79.5393
1,12,430,4.7n,660806,67.9261,79.5393
2,0,1m,1f,665366,68.0856,79.9646
2,0,1m,47p,666164,67.9086,79.9646
2,0,1m,100p,667064,67.7082,79.9646
2,0,1m,220p,669099,67.251,79.9646
2,0,1m,470p,673325,66.283,79.9646
2,0,1m,1n,682359,64.1554,79.9646
2,0,1m,2.2n,702285,58.9783,79.9646
2,0,1m,4.7n,733617,47.0894,79.9646
2,0,430,1f,665358,67.9958,79.9646
2,0,430,47p,666156,67.8187,79.9646
2,0,430,100p,667055,67.6182,79.9646
2,0,430,220p,669090,67.1607,79.9646
2,0,430,470p,673316,66.1921,79.9646
2,0,430,1n,682349,64.0634,79.9646
2,0,430,2.2n,702274,58.8837,79.9646
2,0,430,4.7n,733604,46.9909,79.9646
2,6,1m,1f,666073,68.0873,80.1106
2,6,1m,47p,666234,68.043,80.1106
2,6,1m,100p,666314,67.9951,80.1106
2,6,1m,220p,666137,67.9049,80.1106
2,6,1m,470p,664926,67.8204,80.1106
2,6,1m,1n,662801,67.8507,80.1106
2,6,1m,2.2n,661338,67.9483,80.1106
2,6,1m,4.7n,660778,68.0129,80.1106
2,6,430,1f,666064,67.9973,80.1106
2,6,430,47p,666225,67.9531,80.1106
2,6,430,100p,666306,67.9052,80.1106
2,6,430,220p,666128,67.815,80.1106
2,6,430,470p,664918,67.7306,80.1106
2,6,430,1n,662793,67.7612,80.1106
2,6,430,2.2n,661330,67.859,80.1106
2,6,430,4.7n,660769,67.9237,80.1106
2,12,1m,1f,666261,68.0877,80.1498
2,12,1m,47p,666304,68.0764,80.1498
2,12,1m,100p,666333,68.064,80.1498
2,12,1m,220p,666323,68.0388,80.1498
2,12,1m,470p,666068,68.0069,80.1498
2,12,1m,1n,665416,68.0025,80.1498
2,12,1m,2.2n,664823,68.0324,80.1498
2,12,1m,4.7n,664572,68.0575,80.1498
2,12,430,1f,666252,67.9978,80.1498
2,12,430,47p,666296,67.9865,80.1498
2,12,430,100p,666324,67.974,80.1498
2,12,430,220p,666314,67.9488,80.1498
2,12,430,470p,666060,67.917,80.1498
2,12,430,1n,665408,67.9126,80.1498
2,12,430,2.2n,664815,67.9427,80.1498
2,12,430,4.7n,664563,67.9678,80.1498
