pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,670705,68.1088,81.1594
1,10k,47p,671504,67.9306,81.1594
1,10k,100p,672360,67.7289,81.1595
1,10k,220p,674121,67.27,81.1595
1,10k,470p,676952,66.3137,81.1595
1,10k,1n,678820,64.3864,81.1595
1,10k,1.5n,675550,62.843,81.1595
1,10k,2.2n,665269,61.2702,81.1596
1,10k,2.7n,655786,60.5466,81.1596
1,10k,3.3n,643802,60.0243,81.1596
1,10k,4.7n,618135,59.7275,81.1597
2,10k,1f,670705,68.1088,81.1594
2,10k,47p,671529,67.929,81.1594
2,10k,100p,672458,67.7253,81.1594
2,10k,220p,674561,67.2605,81.1594
2,10k,470p,679010,66.2733,81.1594
2,10k,1n,688459,64.1034,81.1594
2,10k,1.5n,697358,61.958,81.1594
2,10k,2.2n,709493,58.8018,81.1594
2,10k,2.7n,717828,56.4419,81.1594
2,10k,3.3n,727008,53.5218,81.1594
2,10k,4.7n,743271,46.5213,81.1593
1,50k,1f,671473,68.1112,81.3271
1,50k,47p,672281,67.9313,81.3271
1,50k,100p,673148,67.7276,81.3271
1,50k,220p,674928,67.2641,81.3271
1,50k,470p,677811,66.2974,81.3271
1,50k,1n,679674,64.3514,81.3271
1,50k,1.5n,676310,62.7963,81.3271
1,50k,2.2n,665857,61.2166,81.3271
1,50k,2.7n,656242,60.4936,81.3271
1,50k,3.3n,644126,59.9748,81.3271
1,50k,4.7n,618265,59.6891,81.3271
2,50k,1f,671473,68.1112,81.3271
2,50k,47p,672301,67.931,81.3271
2,50k,100p,673234,67.7268,81.3271
2,50k,220p,675346,67.2609,81.3271
2,50k,470p,679838,66.2707,81.3271
2,50k,1n,689334,64.0949,81.3271
2,50k,1.5n,698306,61.9423,81.3271
2,50k,2.2n,710541,58.7744,81.3271
2,50k,2.7n,718924,56.4062,81.3271
2,50k,3.3n,728197,53.4729,81.327
2,50k,4.7n,744592,46.4413,81.327
