variante,B0_pm_min,B0_fc_khz,B0_t10_db,B3_pm_min,B3_fc_khz,B3_t10_db,B10_pm_min,B10_fc_khz,B10_t10_db,A_pm_min,A_fc_khz,A_t10_db,Atrim_pm_min,Atrim_fc_khz,Atrim_t10_db,buf_pm_min,buf_fc_khz,buf_t10_db
g05_cm470p_r1.33k,55.5979,883.525,81.7451,62.6767,871.771,78.7776,99.6147,486.373,71.2579,58.2909,957.727,81.5255,58.4205,945.314,80.2263,54.8124,957.433,81.7258
g05_cm470p_r1.69k,56.8701,883.471,80.8351,63.9621,871.926,77.9044,100.223,486.331,70.4373,59.1212,957.967,80.6358,59.2471,946.242,79.4486,56.2041,957.71,80.8176
g05_cm560p_r1.33k,58.008,743.642,81.7111,66.6506,720.437,78.7465,100.866,348.167,71.2306,62.1617,804.645,81.4931,62.2355,794.506,80.2019,57.7867,804.478,81.6919
g05_cm560p_r1.69k,59.089,743.596,80.8075,67.6565,720.523,77.8789,101.203,348.168,70.4147,62.635,804.788,80.6095,62.7229,795.136,79.4282,58.9183,804.641,80.7901
g05_cm680p_r1.33k,60.0983,614.452,81.6572,70.2284,579.225,78.697,100.077,254.685,71.1872,65.3425,662.193,81.4418,65.3978,654.159,80.1632,60.4464,662.102,81.6381
g05_cm680p_r1.69k,60.9525,614.417,80.7636,71.0384,579.269,77.8384,100.272,254.7,70.3787,65.609,662.272,80.5675,65.6828,654.565,79.3958,61.3881,662.192,80.7464
g10_cm470p_r1.33k,57.0368,877.234,81.1613,62.6466,871.971,78.7867,99.5981,486.721,71.2617,59.5666,950.158,80.9439,59.7059,937.683,79.6565,56.1849,949.873,81.1422
g10_cm470p_r1.69k,58.3036,877.21,80.2575,63.9323,872.126,77.9135,100.207,486.678,70.4411,60.3947,950.423,80.0621,60.5293,938.645,78.8847,57.5681,950.173,80.2423
g10_cm560p_r1.33k,59.6436,736.241,81.128,66.6167,720.657,78.7556,100.856,348.407,71.2345,63.6385,796.129,80.9122,63.7226,786.053,79.6326,59.3571,795.964,81.109
g10_cm560p_r1.69k,60.7144,736.216,80.2305,67.6229,720.742,77.888,101.194,348.408,70.4185,64.1107,796.293,80.0362,64.208,786.691,78.8647,60.4779,796.147,80.2153
g10_cm680p_r1.33k,61.9228,606.01,81.0751,70.1908,579.47,78.7062,100.072,254.837,71.1911,67.0556,652.729,80.8618,67.1191,644.604,79.5944,62.2579,652.641,81.0562
g10_cm680p_r1.69k,62.7661,605.987,80.1874,71.0014,579.514,77.8475,100.267,254.851,70.3826,67.3194,652.819,79.995,67.4036,645.016,78.8327,63.187,652.742,80.1723
g15_cm470p_r1.33k,58.6884,870.432,80.5507,62.6502,871.948,78.7857,99.6001,486.68,71.2613,61.0116,941.19,80.3354,61.1664,928.672,79.0595,57.734,940.906,80.5318
g15_cm470p_r1.69k,59.9492,870.442,79.6571,63.9358,872.102,77.9124,100.209,486.637,70.4407,61.8388,941.486,79.4613,61.9838,929.644,78.2936,59.1094,941.237,79.6399
g15_cm560p_r1.33k,61.5206,727.774,80.5181,66.6207,720.632,78.7546,100.857,348.379,71.234,65.3104,786.104,80.3043,65.4086,775.909,79.036,61.1266,785.943,80.4992
g15_cm560p_r1.69k,62.5801,727.77,79.6304,67.6268,720.717,77.8869,101.195,348.38,70.4181,65.7812,786.284,79.4359,65.8909,776.561,78.2738,62.2375,786.141,79.6134
g15_cm680p_r1.33k,64.0044,596.114,80.4661,70.1952,579.441,78.7051,100.073,254.819,71.1906,68.9879,641.457,80.2548,69.0628,633.323,78.9984,64.2881,641.372,80.4474
g15_cm680p_r1.69k,64.8317,596.105,79.5881,71.0057,579.485,77.8464,100.268,254.833,70.3821,69.2496,641.558,79.3953,69.3432,633.75,78.2423,65.2015,641.482,79.5711
