mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,883471,67.4519,80.8351,100k
0db,1m,1,47p,885295,67.1943,80.8351,100k
0db,1m,1,100p,887252,66.9008,80.8351,100k
0db,1m,1,220p,891261,66.2275,80.8351,100k
0db,1m,1,470p,897646,64.8077,80.8351,100k
0db,1m,1,1n,900241,62.0213,80.8351,100k
0db,1m,1,1.5n,890698,60.0221,80.8351,100k
0db,1m,1,2.2n,867510,58.3625,80.8351,100k
0db,1m,1,2.7n,849306,57.7961,80.8351,100k
0db,1m,1,3.3n,828800,57.5419,80.8351,100k
0db,1m,1,4.7n,790505,57.8452,80.8351,100k
0db,1m,2,1f,883471,67.4519,80.8351,100k
0db,1m,2,47p,885340,67.1943,80.8351,100k
0db,1m,2,100p,887456,66.9013,80.8351,100k
0db,1m,2,220p,892304,66.2272,80.8351,100k
0db,1m,2,470p,902754,64.7706,80.8351,100k
0db,1m,2,1n,925801,61.4482,80.8351,100k
0db,1m,2,1.5n,948636,57.9888,80.8351,100k
0db,1m,2,2.2n,981435,52.5736,80.8351,100k
0db,1m,2,2.7n,1.00412E+06,48.3144,80.835,100k
0db,1m,2,3.3n,1.02785E+06,42.9085,80.835,100k
0db,1m,2,4.7n,1.05152E+06,30.8494,80.835,100k
0db,1k,1,1f,883408,67.1755,80.8351,100k
0db,1k,1,47p,885232,66.9173,80.8351,100k
0db,1k,1,100p,887188,66.6233,80.8351,100k
0db,1k,1,220p,891196,65.9487,80.8351,100k
0db,1k,1,470p,897578,64.5271,80.8351,100k
0db,1k,1,1n,900173,61.7402,80.8351,100k
0db,1k,1,1.5n,890635,59.744,80.8351,100k
0db,1k,1,2.2n,867454,58.0915,80.8351,100k
0db,1k,1,2.7n,849256,57.5306,80.8351,100k
0db,1k,1,3.3n,828754,57.2827,80.8351,100k
0db,1k,1,4.7n,790466,57.5977,80.8351,100k
0db,1k,2,1f,883408,67.1755,80.8351,100k
0db,1k,2,47p,885277,66.9173,80.8351,100k
0db,1k,2,100p,887392,66.6237,80.8351,100k
0db,1k,2,220p,892237,65.9482,80.8351,100k
0db,1k,2,470p,902684,64.4884,80.8351,100k
0db,1k,2,1n,925722,61.1594,80.8351,100k
0db,1k,2,1.5n,948547,57.6934,80.8351,100k
0db,1k,2,2.2n,981328,52.2692,80.8351,100k
0db,1k,2,2.7n,1.004E+06,48.0041,80.835,100k
0db,1k,2,3.3n,1.02772E+06,42.5922,80.835,100k
0db,1k,2,4.7n,1.05139E+06,30.5277,80.835,100k
0db,2.5k,1,1f,883189,66.7653,80.8351,100k
0db,2.5k,1,47p,885010,66.5064,80.8351,100k
0db,2.5k,1,100p,886965,66.2115,80.8351,100k
0db,2.5k,1,220p,890969,65.5354,80.8351,100k
0db,2.5k,1,470p,897339,64.1115,80.8351,100k
0db,2.5k,1,1n,899934,61.3243,80.8351,100k
0db,2.5k,1,1.5n,890414,59.3326,80.8351,100k
0db,2.5k,1,2.2n,867260,57.6904,80.8351,100k
0db,2.5k,1,2.7n,849079,57.1374,80.8351,100k
0db,2.5k,1,3.3n,828594,56.8984,80.8351,100k
0db,2.5k,1,4.7n,790330,57.2302,80.8351,100k
0db,2.5k,2,1f,883189,66.7653,80.8351,100k
0db,2.5k,2,47p,885056,66.5063,80.8351,100k
0db,2.5k,2,100p,887169,66.2118,80.8351,100k
0db,2.5k,2,220p,892002,65.5345,80.8351,100k
0db,2.5k,2,470p,902439,64.0705,80.8351,100k
0db,2.5k,2,1n,925445,60.7326,80.8351,100k
0db,2.5k,2,1.5n,948233,57.2583,80.8351,100k
0db,2.5k,2,2.2n,980946,51.8239,80.8351,100k
0db,2.5k,2,2.7n,1.00357E+06,47.5525,80.835,100k
0db,2.5k,2,3.3n,1.02725E+06,42.1354,80.835,100k
0db,2.5k,2,4.7n,1.05093E+06,30.0677,80.835,100k
0db,2.571k,1,1f,883175,66.746,80.8351,100k
0db,2.571k,1,47p,884996,66.4871,80.8351,100k
0db,2.571k,1,100p,886951,66.1922,80.8351,100k
0db,2.571k,1,220p,890954,65.5159,80.8351,100k
0db,2.571k,1,470p,897324,64.092,80.8351,100k
0db,2.571k,1,1n,899918,61.3048,80.8351,100k
0db,2.571k,1,1.5n,890399,59.3133,80.8351,100k
0db,2.571k,1,2.2n,867247,57.6715,80.8351,100k
0db,2.571k,1,2.7n,849068,57.1189,80.8351,100k
0db,2.571k,1,3.3n,828583,56.8803,80.8351,100k
0db,2.571k,1,4.7n,790321,57.2129,80.8351,100k
0db,2.571k,2,1f,883175,66.746,80.8351,100k
0db,2.571k,2,47p,885042,66.487,80.8351,100k
0db,2.571k,2,100p,887154,66.1925,80.8351,100k
0db,2.571k,2,220p,891987,65.5151,80.8351,100k
0db,2.571k,2,470p,902423,64.0509,80.8351,100k
0db,2.571k,2,1n,925427,60.7126,80.8351,100k
0db,2.571k,2,1.5n,948213,57.238,80.8351,100k
0db,2.571k,2,2.2n,980922,51.8032,80.8351,100k
0db,2.571k,2,2.7n,1.00354E+06,47.5316,80.835,100k
0db,2.571k,2,3.3n,1.02722E+06,42.1142,80.835,100k
0db,2.571k,2,4.7n,1.0509E+06,30.0466,80.835,100k
0db,2.611k,1,1f,883167,66.7352,80.8351,100k
0db,2.611k,1,47p,884988,66.4762,80.8351,100k
0db,2.611k,1,100p,886943,66.1813,80.8351,100k
0db,2.611k,1,220p,890946,65.505,80.8351,100k
0db,2.611k,1,470p,897315,64.081,80.8351,100k
0db,2.611k,1,1n,899910,61.2938,80.8351,100k
0db,2.611k,1,1.5n,890391,59.3024,80.8351,100k
0db,2.611k,1,2.2n,867240,57.6609,80.8351,100k
0db,2.611k,1,2.7n,849062,57.1085,80.8351,100k
0db,2.611k,1,3.3n,828577,56.8701,80.8351,100k
0db,2.611k,1,4.7n,790316,57.2032,80.8351,100k
0db,2.611k,2,1f,883167,66.7352,80.8351,100k
0db,2.611k,2,47p,885033,66.4762,80.8351,100k
0db,2.611k,2,100p,887146,66.1816,80.8351,100k
0db,2.611k,2,220p,891979,65.5041,80.8351,100k
0db,2.611k,2,470p,902414,64.0399,80.8351,100k
0db,2.611k,2,1n,925417,60.7013,80.8351,100k
0db,2.611k,2,1.5n,948201,57.2265,80.8351,100k
0db,2.611k,2,2.2n,980908,51.7915,80.8351,100k
0db,2.611k,2,2.7n,1.00352E+06,47.5198,80.835,100k
0db,2.611k,2,3.3n,1.0272E+06,42.1024,80.835,100k
0db,2.611k,2,4.7n,1.05088E+06,30.0348,80.835,100k
0db,1m,1,1f,882292,67.4406,80.6483,10k
0db,1m,1,47p,884091,67.1859,80.6483,10k
0db,1m,1,100p,886021,66.8957,80.6483,10k
0db,1m,1,220p,889976,66.23,80.6484,10k
0db,1m,1,470p,896253,64.8278,80.6484,10k
0db,1m,1,1n,898893,62.0713,80.6484,10k
0db,1m,1,1.5n,889606,60.0856,80.6484,10k
0db,1m,1,2.2n,866801,58.4271,80.6485,10k
0db,1m,1,2.7n,848818,57.8552,80.6485,10k
0db,1m,1,3.3n,828500,57.593,80.6486,10k
0db,1m,1,4.7n,790437,57.8796,80.6486,10k
0db,1m,2,1f,882292,67.4406,80.6483,10k
0db,1m,2,47p,884151,67.1837,80.6483,10k
0db,1m,2,100p,886255,66.8914,80.6483,10k
0db,1m,2,220p,891048,66.2199,80.6483,10k
0db,1m,2,470p,901432,64.7679,80.6483,10k
0db,1m,2,1n,924294,61.4583,80.6483,10k
0db,1m,2,1.5n,946920,58.0149,80.6483,10k
0db,1m,2,2.2n,979333,52.633,80.6483,10k
0db,1m,2,2.7n,1.00175E+06,48.4035,80.6483,10k
0db,1m,2,3.3n,1.02522E+06,43.0377,80.6483,10k
0db,1m,2,4.7n,1.04888E+06,31.0463,80.6483,10k
0db,1k,1,1f,882229,67.1645,80.6483,10k
0db,1k,1,47p,884027,66.9093,80.6483,10k
0db,1k,1,100p,885958,66.6185,80.6483,10k
0db,1k,1,220p,889912,65.9517,80.6484,10k
0db,1k,1,470p,896185,64.5477,80.6484,10k
0db,1k,1,1n,898825,61.7906,80.6484,10k
0db,1k,1,1.5n,889543,59.8078,80.6484,10k
0db,1k,1,2.2n,866746,58.1563,80.6485,10k
0db,1k,1,2.7n,848768,57.5899,80.6485,10k
0db,1k,1,3.3n,828455,57.3339,80.6486,10k
0db,1k,1,4.7n,790398,57.6321,80.6486,10k
0db,1k,2,1f,882229,67.1645,80.6483,10k
0db,1k,2,47p,884088,66.907,80.6483,10k
0db,1k,2,100p,886191,66.6142,80.6483,10k
0db,1k,2,220p,890983,65.9412,80.6483,10k
0db,1k,2,470p,901362,64.4861,80.6483,10k
0db,1k,2,1n,924215,61.1699,80.6483,10k
0db,1k,2,1.5n,946832,57.72,80.6483,10k
0db,1k,2,2.2n,979227,52.3293,80.6483,10k
0db,1k,2,2.7n,1.00163E+06,48.0939,80.6483,10k
0db,1k,2,3.3n,1.02509E+06,42.7222,80.6483,10k
0db,1k,2,4.7n,1.04876E+06,30.7254,80.6483,10k
0db,2.5k,1,1f,882010,66.7549,80.6483,10k
0db,2.5k,1,47p,883807,66.4989,80.6483,10k
0db,2.5k,1,100p,885735,66.2073,80.6483,10k
0db,2.5k,1,220p,889685,65.5389,80.6484,10k
0db,2.5k,1,470p,895946,64.1327,80.6484,10k
0db,2.5k,1,1n,898587,61.3753,80.6484,10k
0db,2.5k,1,1.5n,889323,59.3969,80.6484,10k
0db,2.5k,1,2.2n,866551,57.7555,80.6485,10k
0db,2.5k,1,2.7n,848591,57.1969,80.6485,10k
0db,2.5k,1,3.3n,828294,56.9497,80.6486,10k
0db,2.5k,1,4.7n,790262,57.2647,80.6486,10k
0db,2.5k,2,1f,882010,66.7549,80.6483,10k
0db,2.5k,2,47p,883867,66.4966,80.6483,10k
0db,2.5k,2,100p,885969,66.2029,80.6483,10k
0db,2.5k,2,220p,890756,65.528,80.6483,10k
0db,2.5k,2,470p,901118,64.0688,80.6483,10k
0db,2.5k,2,1n,923938,60.7438,80.6483,10k
0db,2.5k,2,1.5n,946519,57.2857,80.6483,10k
0db,2.5k,2,2.2n,978848,51.8849,80.6483,10k
