carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,957727,66.4372,81.5255
1,1m,47p,960699,66.1117,81.5255
1,1m,100p,964080,65.7397,81.5255
1,1m,220p,971856,64.8777,81.5255
1,1m,470p,988910,62.9798,81.5255
1,1m,1n,1.02898E+06,58.4291,81.5255
1,1m,2.2n,1.14135E+06,44.3677,81.5254
1,1m,4.7n,1.21537E+06,12.5126,81.5254
1,430,1f,957703,66.3082,81.5255
1,430,47p,960674,65.9823,81.5255
1,430,100p,964055,65.6098,81.5255
1,430,220p,971830,64.7468,81.5255
1,430,470p,988882,62.8468,81.5255
1,430,1n,1.02894E+06,58.2909,81.5255
1,430,2.2n,1.14129E+06,44.2159,81.5254
1,430,4.7n,1.21533E+06,12.3517,81.5254
2,1m,1f,956762,66.4471,81.4209
2,1m,47p,959721,66.1223,81.4209
2,1m,100p,963088,65.7513,81.4209
2,1m,220p,970830,64.8916,81.4209
2,1m,470p,987777,62.9999,81.4209
2,1m,1n,1.02756E+06,58.4674,81.4209
2,1m,2.2n,1.13893E+06,44.4938,81.4209
2,1m,4.7n,1.21368E+06,12.7214,81.4208
2,430,1f,956738,66.3181,81.4209
2,430,47p,959697,65.993,81.4209
2,430,100p,963064,65.6215,81.4209
2,430,220p,970805,64.7608,81.4209
2,430,470p,987750,62.8669,81.4209
2,430,1n,1.02753E+06,58.3294,81.4209
2,430,2.2n,1.13888E+06,44.3423,81.4208
2,430,4.7n,1.21364E+06,12.5608,81.4208
