cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,653429,69.6752,79.5206
1,0,1m,47p,654349,69.4902,79.5206
1,0,1m,100p,655388,69.2804,79.5206
1,0,1m,220p,657745,68.8011,79.5206
1,0,1m,470p,662726,67.7806,79.5206
1,0,1m,1n,673512,65.5182,79.5206
1,0,1m,2.2n,698502,59.8754,79.5205
1,0,1m,4.7n,742676,46.1906,79.5205
1,0,430,1f,653421,69.587,79.5206
1,0,430,47p,654341,69.4019,79.5206
1,0,430,100p,655380,69.192,79.5206
1,0,430,220p,657737,68.7123,79.5206
1,0,430,470p,662717,67.6912,79.5206
1,0,430,1n,673503,65.4274,79.5206
1,0,430,2.2n,698490,59.7813,79.5205
1,0,430,4.7n,742661,46.0911,79.5205
1,6,1m,1f,654159,69.6796,79.6672
1,6,1m,47p,654366,69.6327,79.6672
1,6,1m,100p,654534,69.5805,79.6672
1,6,1m,220p,654654,69.4701,79.6672
1,6,1m,470p,653959,69.3042,79.6672
1,6,1m,1n,651230,69.2185,79.6672
1,6,1m,2.2n,647906,69.3364,79.6672
1,6,1m,4.7n,646267,69.475,79.6672
1,6,430,1f,654151,69.5913,79.6672
1,6,430,47p,654358,69.5444,79.6672
1,6,430,100p,654526,69.4922,79.6672
1,6,430,220p,654646,69.3817,79.6672
1,6,430,470p,653950,69.2159,79.6672
1,6,430,1n,651221,69.1306,79.6672
1,6,430,2.2n,647898,69.249,79.6672
1,6,430,4.7n,646259,69.3877,79.6672
1,12,1m,1f,654351,69.6807,79.7061
1,12,1m,47p,654405,69.6689,79.7061
1,12,1m,100p,654454,69.6556,79.7061
1,12,1m,220p,654512,69.6266,79.7061
1,12,1m,470p,654425,69.5768,79.7061
1,12,1m,1n,653772,69.5308,79.7061
1,12,1m,2.2n,652604,69.5499,79.7061
1,12,1m,4.7n,651888,69.5987,79.7061
1,12,430,1f,654343,69.5924,79.7061
1,12,430,47p,654397,69.5805,79.7061
1,12,430,100p,654445,69.5672,79.7061
1,12,430,220p,654504,69.5382,79.7061
1,12,430,470p,654417,69.4885,79.7061
1,12,430,1n,653764,69.4426,79.7061
1,12,430,2.2n,652596,69.4618,79.7061
1,12,430,4.7n,651879,69.5107,79.7061
2,0,1m,1f,656546,69.6945,80.1632
2,0,1m,47p,657484,69.5077,80.1632
2,0,1m,100p,658543,69.296,80.1632
2,0,1m,220p,660952,68.8117,80.1632
2,0,1m,470p,666113,67.7781,80.1632
2,0,1m,1n,677155,65.4891,80.1632
2,0,1m,2.2n,702936,59.7603,80.1631
2,0,1m,4.7n,748778,45.7903,80.1631
2,0,430,1f,656538,69.6059,80.1632
2,0,430,47p,657476,69.419,80.1632
2,0,430,100p,658534,69.2071,80.1632
2,0,430,220p,660943,68.7225,80.1632
2,0,430,470p,666104,67.6882,80.1632
2,0,430,1n,677145,65.3978,80.1632
2,0,430,2.2n,702925,59.6656,80.1631
2,0,430,4.7n,748763,45.6899,80.1631
2,6,1m,1f,657277,69.6993,80.3204
2,6,1m,47p,657473,69.6524,80.3204
2,6,1m,100p,657590,69.6012,80.3204
2,6,1m,220p,657479,69.5031,80.3204
2,6,1m,470p,656307,69.405,80.3204
2,6,1m,1n,654087,69.4269,80.3204
2,6,1m,2.2n,652485,69.5271,80.3204
2,6,1m,4.7n,651850,69.5958,80.3204
2,6,430,1f,657269,69.6106,80.3204
2,6,430,47p,657464,69.5637,80.3204
2,6,430,100p,657582,69.5125,80.3204
2,6,430,220p,657470,69.4143,80.3204
2,6,430,470p,656299,69.3164,80.3204
2,6,430,1n,654079,69.3386,80.3204
2,6,430,2.2n,652477,69.439,80.3204
2,6,430,4.7n,651841,69.5078,80.3204
2,12,1m,1f,657472,69.7006,80.3627
2,12,1m,47p,657524,69.6886,80.3627
2,12,1m,100p,657563,69.6753,80.3627
2,12,1m,220p,657572,69.6482,80.3627
2,12,1m,470p,657337,69.6123,80.3627
2,12,1m,1n,656669,69.604,80.3627
2,12,1m,2.2n,656028,69.6338,80.3627
2,12,1m,4.7n,655746,69.6603,80.3627
2,12,430,1f,657464,69.6118,80.3627
2,12,430,47p,657516,69.5998,80.3627
2,12,430,100p,657555,69.5866,80.3627
2,12,430,220p,657563,69.5594,80.3627
2,12,430,470p,657329,69.5236,80.3627
2,12,430,1n,656661,69.5153,80.3627
2,12,430,2.2n,656020,69.5453,80.3627
2,12,430,4.7n,655738,69.5718,80.3627
