pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,795964,69.5677,80.9274
1,10k,47p,797657,69.321,80.9274
1,10k,100p,799493,69.0401,80.9274
1,10k,220p,803333,68.3959,80.9274
1,10k,470p,809712,67.0391,80.9274
1,10k,1n,814845,64.3164,80.9275
1,10k,1.5n,809442,62.2647,80.9275
1,10k,2.2n,791466,60.4485,80.9275
1,10k,2.7n,775881,59.7707,80.9276
1,10k,3.3n,757407,59.4105,80.9276
1,10k,4.7n,720980,59.5821,80.9277
2,10k,1f,795964,69.5677,80.9274
2,10k,47p,797707,69.3188,80.9274
2,10k,100p,799683,69.0356,80.9274
2,10k,220p,804196,68.3845,80.9274
2,10k,470p,813787,66.9819,80.9274
2,10k,1n,835451,63.7677,80.9274
2,10k,1.5n,857380,60.4019,80.9274
2,10k,2.2n,890069,55.0693,80.9273
2,10k,2.7n,914126,50.7833,80.9273
2,10k,3.3n,941614,45.1811,80.9273
2,10k,4.7n,978983,32.0457,80.9273
1,50k,1f,796986,69.5757,81.109
1,50k,47p,798700,69.3264,81.109
1,50k,100p,800559,69.0426,81.109
1,50k,220p,804447,68.3917,81.109
1,50k,470p,810899,67.0203,81.109
1,50k,1n,816070,64.2689,81.109
1,50k,1.5n,810484,62.203,81.109
1,50k,2.2n,792194,60.3835,81.109
1,50k,2.7n,776413,59.7098,81.109
1,50k,3.3n,757756,59.3571,81.109
1,50k,4.7n,721092,59.5449,81.109
2,50k,1f,796986,69.5757,81.109
2,50k,47p,798738,69.3261,81.109
2,50k,100p,800724,69.0422,81.109
2,50k,220p,805260,68.3894,81.109
2,50k,470p,814934,66.9818,81.109
2,50k,1n,836763,63.7557,81.109
2,50k,1.5n,858882,60.3747,81.109
2,50k,2.2n,891891,55.0124,81.1089
2,50k,2.7n,916268,50.6937,81.1089
2,50k,3.3n,944064,45.0486,81.1089
2,50k,4.7n,981640,31.8235,81.1089
