variante,B0_pm_min,B0_fc_khz,B0_t10_db,B3_pm_min,B3_fc_khz,B3_t10_db,B10_pm_min,B10_fc_khz,B10_t10_db,A_pm_min,A_fc_khz,A_t10_db,Atrim_pm_min,Atrim_fc_khz,Atrim_t10_db,buf_pm_min,buf_fc_khz,buf_t10_db
g15_cf100p_cm470p_r1.33k,58.2708,759.137,80.5507,66.4816,701.161,78.7857,86.2701,307.24,71.2613,66.367,848.671,80.3354,66.4339,837.374,79.0595,61.8829,848.463,80.5318
g15_cf100p_cm470p_r1.69k,59.3848,759.155,79.6571,67.487,701.24,77.9124,86.549,307.271,70.4407,66.9241,848.886,79.4613,66.9975,838.162,78.2936,63.0911,848.703,79.6399
g15_cf100p_cm560p_r1.33k,60.0299,644.167,80.5181,68.2916,582.565,78.7545,86.1263,255.613,71.234,69.3616,704.932,80.3043,69.3861,695.98,79.036,64.1276,704.819,80.4992
g15_cf100p_cm560p_r1.69k,60.942,644.174,79.6304,69.0805,582.611,77.8869,86.3333,255.638,70.4181,69.6657,705.059,79.4359,69.7082,696.495,78.2738,65.1369,704.958,79.6134
g15_cf150p_cm470p_r1.33k,59.7008,787.943,80.5507,67.2908,750.266,78.7857,90.8689,322.45,71.2613,65.0148,885.12,80.3354,65.1357,872.981,79.0595,61.1214,884.878,80.5318
g15_cf150p_cm470p_r1.69k,60.8555,787.955,79.6571,68.381,750.359,77.9124,91.1626,322.477,70.4407,65.6935,885.368,79.4613,65.8101,873.867,78.2936,62.4002,885.155,79.6399
g15_cf150p_cm560p_r1.33k,61.5368,663.068,80.5181,69.5461,616.192,78.7545,90.1797,264.266,71.234,68.7858,732.822,80.3043,68.846,723.142,79.036,64.0401,732.69,80.4992
g15_cf150p_cm560p_r1.69k,62.4787,663.07,79.6304,70.3996,616.242,77.8869,90.3925,264.289,70.4181,69.1531,732.968,79.4359,69.2265,723.708,78.2738,65.099,732.851,79.6134
g15_cf220p_cm470p_r1.33k,59.8613,827.659,80.5507,65.8194,812.917,78.7857,96.3106,360.409,71.2613,63.0045,917.747,80.3354,63.1522,905.302,79.0595,59.5534,917.478,80.5318
g15_cf220p_cm470p_r1.69k,61.0368,827.668,79.6571,66.9921,813.036,77.9124,96.6575,360.426,70.4407,63.7767,918.025,79.4613,63.9209,906.24,78.2936,60.8928,917.788,79.6399
g15_cf220p_cm560p_r1.33k,62.1151,692.431,80.5181,69.1381,666.034,78.7545,95.3265,284.687,71.234,67.2472,762.156,80.3043,67.3357,752.123,79.036,62.9368,762.005,80.4992
g15_cf220p_cm560p_r1.69k,63.1105,692.429,79.6304,70.0927,666.098,77.8869,95.5606,284.707,70.4181,67.676,762.322,79.4359,67.7777,752.743,78.2738,63.9991,762.188,79.6134
g15_cf330p_cm470p_r1.33k,58.6884,870.432,80.5507,62.6502,871.948,78.7857,99.6001,486.68,71.2613,61.0116,941.19,80.3354,61.1664,928.672,79.0595,57.734,940.906,80.5318
g15_cf330p_cm470p_r1.69k,59.9492,870.442,79.6571,63.9358,872.102,77.9124,100.209,486.637,70.4407,61.8388,941.486,79.4613,61.9838,929.644,78.2936,59.1094,941.237,79.6399
g15_cf330p_cm560p_r1.33k,61.5206,727.774,80.5181,66.6207,720.632,78.7546,100.857,348.379,71.234,65.3104,786.104,80.3043,65.4086,775.909,79.036,61.1266,785.943,80.4992
g15_cf330p_cm560p_r1.69k,62.5801,727.77,79.6304,67.6268,720.717,77.8869,101.195,348.38,70.4181,65.7812,786.284,79.4359,65.8909,776.561,78.2738,62.2375,786.141,79.6134
g15_cf470p_cm470p_r1.33k,57.3195,900.231,80.5507,59.9391,906.962,78.7857,90.624,691.747,71.2613,59.7112,952.742,80.3354,59.8555,940.301,79.0595,56.4336,952.455,80.5318
g15_cf470p_cm470p_r1.69k,58.6333,900.246,79.6571,61.2788,907.142,77.9124,91.7005,691.769,70.4407,60.5521,953.045,79.4613,60.6945,941.3,78.2936,57.8229,952.794,79.6399
g15_cf470p_cm560p_r1.33k,60.4127,753.989,80.5181,63.7837,755.534,78.7546,98.4814,498.442,71.234,63.896,798.741,80.3043,63.9899,788.624,79.036,59.7066,798.574,80.4992
g15_cf470p_cm560p_r1.69k,61.4683,753.987,79.6304,64.8581,755.639,77.8869,99.185,498.393,70.4181,64.3829,798.931,79.4359,64.4864,789.287,78.2738,60.8376,798.784,79.6134
