mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,663070,71.7961,79.6305,100k
0db,1m,1,47p,663836,71.6238,79.6305,100k
0db,1m,1,100p,664659,71.4284,79.6305,100k
0db,1m,1,220p,666347,70.9826,79.6305,100k
0db,1m,1,470p,669035,70.0485,79.6305,100k
0db,1m,1,1n,670746,68.1384,79.6305,100k
0db,1m,1,1.5n,667627,66.5688,79.6304,100k
0db,1m,1,2.2n,657731,64.9126,79.6304,100k
0db,1m,1,2.7n,648632,64.1093,79.6304,100k
0db,1m,1,3.3n,637135,63.4856,79.6304,100k
0db,1m,1,4.7n,612344,62.9784,79.6304,100k
0db,1m,2,1f,663070,71.7961,79.6305,100k
0db,1m,2,47p,663855,71.6237,79.6305,100k
0db,1m,2,100p,664740,71.4285,79.6305,100k
0db,1m,2,220p,666741,70.9829,79.6305,100k
0db,1m,2,470p,670900,70.039,79.6304,100k
0db,1m,2,1n,679726,67.9646,79.6304,100k
0db,1m,2,1.5n,688003,65.9154,79.6304,100k
0db,1m,2,2.2n,699300,62.8994,79.6304,100k
0db,1m,2,2.7n,706902,60.651,79.6304,100k
0db,1m,2,3.3n,715421,57.8576,79.6304,100k
0db,1m,2,4.7n,730364,51.1428,79.6304,100k
0db,1k,1,1f,663043,71.5878,79.6305,100k
0db,1k,1,47p,663810,71.4153,79.6305,100k
0db,1k,1,100p,664632,71.2197,79.6305,100k
0db,1k,1,220p,666320,70.7734,79.6305,100k
0db,1k,1,470p,669007,69.8384,79.6305,100k
0db,1k,1,1n,670718,67.9279,79.6305,100k
0db,1k,1,1.5n,667601,66.3593,79.6304,100k
0db,1k,1,2.2n,657707,64.7062,79.6304,100k
0db,1k,1,2.7n,648609,63.9058,79.6304,100k
0db,1k,1,3.3n,637114,63.2856,79.6304,100k
0db,1k,1,4.7n,612326,62.7861,79.6304,100k
0db,1k,2,1f,663043,71.5878,79.6305,100k
0db,1k,2,47p,663828,71.4153,79.6305,100k
0db,1k,2,100p,664713,71.2197,79.6305,100k
0db,1k,2,220p,666714,70.7736,79.6305,100k
0db,1k,2,470p,670872,69.8283,79.6304,100k
0db,1k,2,1n,679696,67.7513,79.6304,100k
0db,1k,2,1.5n,687972,65.6996,79.6304,100k
0db,1k,2,2.2n,699267,62.6803,79.6304,100k
0db,1k,2,2.7n,706867,60.4297,79.6304,100k
