cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,905179,70.5882,77.7024
1,0,1m,47p,907268,70.3125,77.7024
1,0,1m,100p,909633,69.9988,77.7024
1,0,1m,220p,915104,69.2752,77.7024
1,0,1m,470p,926803,67.7114,77.7024
1,0,1m,1n,952794,64.1281,77.7024
1,0,1m,2.2n,1.01619E+06,54.4611,77.7023
1,0,1m,4.7n,1.08855E+06,31.5422,77.7023
1,0,430,1f,905156,70.4661,77.7024
1,0,430,47p,907245,70.1902,77.7024
1,0,430,100p,909610,69.8762,77.7024
1,0,430,220p,915080,69.1519,77.7024
1,0,430,470p,926778,67.5866,77.7024
1,0,430,1n,952766,63.9999,77.7024
1,0,430,2.2n,1.01615E+06,54.3251,77.7023
1,0,430,4.7n,1.08851E+06,31.3977,77.7023
1,6,1m,1f,906240,70.5912,77.8375
1,6,1m,47p,906696,70.5217,77.8375
1,6,1m,100p,907022,70.4456,77.8375
1,6,1m,220p,907038,70.296,77.8375
1,6,1m,470p,904985,70.13,77.8375
1,6,1m,1n,900119,70.1441,77.8375
1,6,1m,2.2n,896067,70.3124,77.8375
1,6,1m,4.7n,894357,70.4365,77.8375
1,6,430,1f,906219,70.469,77.8375
1,6,430,47p,906673,70.3995,77.8375
1,6,430,100p,906999,70.3233,77.8375
1,6,430,220p,907016,70.1737,77.8375
1,6,430,470p,904963,70.008,77.8375
1,6,430,1n,900097,70.0228,77.8375
1,6,430,2.2n,896045,70.1916,77.8375
1,6,430,4.7n,894335,70.3159,77.8375
1,12,1m,1f,906520,70.592,77.8734
1,12,1m,47p,906640,70.5744,77.8734
1,12,1m,100p,906739,70.5549,77.8734
1,12,1m,220p,906818,70.5141,77.8734
1,12,1m,470p,906468,70.4561,77.8734
1,12,1m,1n,905100,70.4337,77.8734
1,12,1m,2.2n,903514,70.4806,77.8734
1,12,1m,4.7n,902746,70.5282,77.8734
1,12,430,1f,906498,70.4698,77.8734
1,12,430,47p,906617,70.4522,77.8734
1,12,430,100p,906716,70.4326,77.8734
1,12,430,220p,906796,70.3919,77.8734
1,12,430,470p,906446,70.3339,77.8734
1,12,430,1n,905078,70.3117,77.8734
1,12,430,2.2n,903492,70.3588,77.8734
1,12,430,4.7n,902724,70.4065,77.8734
2,0,1m,1f,909715,70.6019,78.2936
2,0,1m,47p,911846,70.3234,78.2936
2,0,1m,100p,914314,70.0049,78.2936
2,0,1m,220p,919958,69.2717,78.2936
2,0,1m,470p,931909,67.6897,78.2936
2,0,1m,1n,958755,64.0499,78.2936
2,0,1m,2.2n,1.02448E+06,54.1808,78.2936
2,0,1m,4.7n,1.09852E+06,30.7465,78.2936
2,0,430,1f,909693,70.4792,78.2936
2,0,430,47p,911823,70.2004,78.2936
2,0,430,100p,914291,69.8817,78.2936
2,0,430,220p,919934,69.1478,78.2936
2,0,430,470p,931884,67.5642,78.2936
2,0,430,1n,958726,63.9209,78.2936
2,0,430,2.2n,1.02444E+06,54.0438,78.2936
2,0,430,4.7n,1.09848E+06,30.6007,78.2936
2,6,1m,1f,910779,70.6054,78.4378
2,6,1m,47p,911199,70.536,78.4378
2,6,1m,100p,911380,70.4633,78.4378
2,6,1m,220p,910828,70.3449,78.4378
2,6,1m,470p,908267,70.2876,78.4378
2,6,1m,1n,905136,70.3681,78.4378
2,6,1m,2.2n,903391,70.4703,78.4378
2,6,1m,4.7n,902731,70.5272,78.4378
2,6,430,1f,910756,70.4826,78.4378
2,6,430,47p,911176,70.4132,78.4378
2,6,430,100p,911358,70.3405,78.4378
2,6,430,220p,910806,70.2221,78.4378
2,6,430,470p,908245,70.1651,78.4378
2,6,430,1n,905114,70.2461,78.4378
2,6,430,2.2n,903369,70.3485,78.4378
2,6,430,4.7n,902709,70.4055,78.4378
2,12,1m,1f,911062,70.6063,78.4765
2,12,1m,47p,911176,70.5886,78.4765
2,12,1m,100p,911246,70.5694,78.4765
2,12,1m,220p,911194,70.534,78.4765
2,12,1m,470p,910588,70.5031,78.4765
2,12,1m,1n,909513,70.5169,78.4765
2,12,1m,2.2n,908775,70.5526,78.4765
2,12,1m,4.7n,908481,70.5753,78.4765
2,12,430,1f,911040,70.4835,78.4765
2,12,430,47p,911153,70.4657,78.4765
2,12,430,100p,911224,70.4466,78.4765
2,12,430,220p,911171,70.4111,78.4765
2,12,430,470p,910565,70.3804,78.4765
2,12,430,1n,909491,70.3943,78.4765
2,12,430,2.2n,908752,70.4301,78.4765
2,12,430,4.7n,908459,70.4529,78.4765
