carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,786104,71.1636,80.3043
1,1m,47p,787794,70.9172,80.3043
1,1m,100p,789711,70.6368,80.3043
1,1m,220p,794084,69.9927,80.3043
1,1m,470p,803585,68.5998,80.3043
1,1m,1n,824751,65.4214,80.3043
1,1m,2.2n,878078,56.8533,80.3042
1,1m,4.7n,966357,34.2315,80.3042
1,430,1f,786089,71.0576,80.3043
1,430,47p,787780,70.811,80.3043
1,430,100p,789696,70.5304,80.3043
1,430,220p,794069,69.8857,80.3043
1,430,470p,803568,68.4916,80.3043
1,430,1n,824733,65.3104,80.3043
1,430,2.2n,878052,56.7356,80.3042
1,430,4.7n,966326,34.1033,80.3042
2,1m,1f,785402,71.1725,80.2022
2,1m,47p,787087,70.9266,80.2022
2,1m,100p,788996,70.6468,80.2022
2,1m,220p,793354,70.004,80.2022
2,1m,470p,802799,68.6148,80.2022
2,1m,1n,823857,65.4452,80.2022
2,1m,2.2n,876828,56.9105,80.2022
2,1m,4.7n,964669,34.3919,80.2021
2,430,1f,785387,71.0666,80.2022
2,430,47p,787072,70.8204,80.2022
2,430,100p,788982,70.5405,80.2022
2,430,220p,793339,69.8971,80.2022
2,430,470p,802783,68.5067,80.2022
2,430,1n,823840,65.3343,80.2022
2,430,2.2n,876804,56.7929,80.2022
2,430,4.7n,964637,34.2639,80.2021
