pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,704819,74.0994,80.3195
1,10k,47p,706005,73.8992,80.3195
1,10k,100p,707290,73.6713,80.3195
1,10k,220p,710036,73.147,80.3195
1,10k,470p,714677,72.038,80.3195
1,10k,1n,718819,69.7547,80.3195
1,10k,1.5n,715702,67.9026,80.3196
1,10k,2.2n,703240,66.0309,80.3196
1,10k,2.7n,691538,65.1798,80.3196
1,10k,3.3n,676960,64.5625,80.3197
1,10k,4.7n,646386,64.1675,80.3198
2,10k,1f,704819,74.0994,80.3195
2,10k,47p,706039,73.8975,80.3195
2,10k,100p,707420,73.6682,80.3195
2,10k,220p,710633,73.1406,80.3195
2,10k,470p,717431,72.0113,80.3195
2,10k,1n,732353,69.4725,80.3195
2,10k,1.5n,747074,66.8796,80.3194
2,10k,2.2n,768526,62.8947,80.3194
2,10k,2.7n,784082,59.7841,80.3194
2,10k,3.3n,802276,55.7749,80.3194
2,10k,4.7n,835367,45.7707,80.3194
1,50k,1f,705708,74.1114,80.4992
1,50k,47p,706909,73.9091,80.4992
1,50k,100p,708218,73.6787,80.4992
1,50k,220p,711016,73.1485,80.4992
1,50k,470p,715709,72.0278,80.4992
1,50k,1n,719865,69.7211,80.4992
1,50k,1.5n,716650,67.8535,80.4992
1,50k,2.2n,703948,65.9739,80.4992
1,50k,2.7n,692084,65.1233,80.4992
1,50k,3.3n,677346,64.5099,80.4992
1,50k,4.7n,646535,64.1276,80.4992
2,50k,1f,705708,74.1114,80.4992
2,50k,47p,706935,73.909,80.4992
2,50k,100p,708333,73.6788,80.4992
2,50k,220p,711577,73.1494,80.4992
2,50k,470p,718411,72.0171,80.4992
2,50k,1n,733447,69.4697,80.4992
2,50k,1.5n,748296,66.8663,80.4992
2,50k,2.2n,769937,62.863,80.4992
2,50k,2.7n,785661,59.7345,80.4992
2,50k,3.3n,804058,55.6998,80.4992
2,50k,4.7n,837502,45.6255,80.4991
