cella,grandezza,N_uV,iA_uV,iB_uV,ii_uV,iii_uV
gm0x10_lz_c,A_ins,111.4 MAINJACK FUORI,0.007555 MAINJACK,0.007555 MAINJACK,3445 MAINJACK FUORI,6.797 MAINJACK
gm0x10_lz_c,A_rel,0.03193 MAINJACK,1.025e+04 MAINJACK FUORI,303.7 MAINJACK FUORI,1.021e+04 MAINJACK FUORI,0.03194 MAINJACK
gm0x10_lz_c,B2,0.3675 MAINJACK,4.735e-06 MAINJACK,4.735e-06 MAINJACK,1.109 MAINJACK,0.001805 MAINJACK
gm0x10_lz_i,A_ins,0.004145 FIXJACK1,0.004143 FIXJACK2,0.004143 FIXJACK2,0.004144 FIXJACK2,0.004143 FIXJACK2
gm0x10_lz_i,B2,0.007578 FIXJACK1,0.003474 FIXJACK1,0.003474 FIXJACK1,0.003474 FIXJACK1,0.003474 FIXJACK1
mev_lz,A_ins,0.01306 MAINJACK,0.01303 MAINJACK,0.01303 MAINJACK,0.01303 MAINJACK,0.01303 MAINJACK
mev_lz,A_rel,0.03188 MAINJACK,0.03189 MAINJACK,0.03189 MAINJACK,0.03189 MAINJACK,0.03188 MAINJACK
mev_lz,B2,0.009827 MAINJACK,0.003474 FIXJACK1,0.003474 FIXJACK1,0.003474 FIXJACK1,0.003474 FIXJACK1
on_r10m,A_ins,6450 FIXJACK1 FUORI,0.132 FIXJACK1,0.132 FIXJACK1,1.151e+05 FIXJACK1 FUORI,44.45 FIXJACK1
on_r10m,A_rel,0.03193 MAINJACK,1.897e+05 FIXJACK1 FUORI,5582 FIXJACK1 FUORI,1.896e+05 FIXJACK1 FUORI,0.03195 MAINJACK
on_r300p,A_ins,1.128e+04 FIXJACK1 FUORI,0.2175 FIXJACK1,0.2175 FIXJACK1,1.927e+05 FIXJACK1 FUORI,204.8 FIXJACK1 FUORI
on_r300p,A_rel,0.03193 MAINJACK,6.351e+04 FIXJACK1 FUORI,1890 FIXJACK1 FUORI,6.373e+04 FIXJACK1 FUORI,0.03194 MAINJACK
