cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.003855,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,8.506e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,0.001224,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,2.701e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,0.001224,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,2.701e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.0001568,1.000594,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,3.14e-07,1.027042,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,4.98e-05,1.000594,2.000,sotto,riferimento g10sempre_lz_iii
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,9.977e-08,1.027042,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,4.98e-05,1.000594,2.000,sotto,riferimento g10sempre_lz_iii
off_r10p_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,9.977e-08,1.027042,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.003807,1.005427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,0.0001057,1.030448,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,0.00121,1.005427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,3.36e-05,1.030448,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,0.00121,1.005427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d5_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,3.36e-05,1.030448,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,2.315,1.009792,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,0.2336,1.053427,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,1.136,1.009875,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,0.1055,1.053427,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,1.136,1.009875,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10p_d100_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,0.1055,1.053427,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.003963,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,8.813e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,0.001258,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,2.799e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,0.001258,1.000427,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r10m_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,2.799e-06,1.027021,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.0001269,1.000438,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,2.837e-07,1.026948,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK1,4.026e-05,1.000438,2.000,sotto,riferimento g10sempre_lz_iii
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK1,9.013e-08,1.026948,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,A_ins,FIXJACK2,4.026e-05,1.000438,2.000,sotto,riferimento g10sempre_lz_iii
off_r300s_d0_iii,spegnimento_iii,1000,0,10,100k,B2,FIXJACK2,9.013e-08,1.026948,,sotto,mute da t_ins+t_grad+20 ms a t_rel
off_r300s_d5_iii,spegnimento_iii,1000,0,10,100k,A_ins,MAINJACK,0.0001205,1.000042,2.000,SOPRA,riferimento g10sempre_lz_iii
off_r300s_d5_iii,spegnimento_iii,1000,0,10,100k,B2,MAINJACK,6.707e-06,1.029156,,sotto,mute da t_ins+t_grad+20 ms a t_rel
