cella,grandezza,uscita,sorgente,banco_L29d2,scarto_rel,esito_sorgente,esito_banco,confronto
gm0x10_lz_iii_c,A_ins,MAINJACK,1.704e-07,1.704e-07,0,regge,regge,ok
gm0x10_lz_iii_c,A_rel,MAINJACK,3.194e-08,3.194e-08,0,regge,regge,ok
gm0x10_lz_iii_c,B2,MAINJACK,7.697e-11,7.697e-11,0,regge,regge,ok
gm0x10_lz_iii_i,A_ins,FIXJACK1,4.142e-09,4.142e-09,0,regge,regge,ok
gm0x10_lz_iii_i,B2,FIXJACK1,3.474e-09,3.474e-09,0,regge,regge,ok
mh01_1k_iii,B2,MAINJACK,2.054e-07,2.054e-07,0,regge,regge,ok
mh01_1k_iii,S_ins,MAINJACK,7.163,7.163,0,regge,regge,ok
mh01_1k_iii,S_rel,MAINJACK,5.445,5.445,0,regge,regge,ok
mh01_20_iii,B2,MAINJACK,8.715e-06,8.715e-06,0,regge,regge,ok
mh01_20_iii,S_ins,MAINJACK,7.158,7.158,0,regge,regge,ok
mh01_20_iii,S_rel,MAINJACK,4.938,4.938,0,regge,regge,ok
on_r300p_iii,A_ins,FIXJACK1,4.416e-06,4.416e-06,0,regge,regge,ok
on_r300p_iii,A_rel,MAINJACK,3.195e-08,3.195e-08,0,regge,regge,ok
x01000_dpmaxmax_iii_c,A_ins,MAINJACK,4.911e-07,4.911e-07,0,regge,regge,ok
x01000_dpmaxmax_iii_c,A_rel,MAINJACK,6.969e-05,6.969e-05,0,regge,regge,ok
x01000_dpmaxmax_iii_c,B2,MAINJACK,2.869e-10,2.869e-10,0,regge,regge,ok
x01000_dpmaxmax_iii_i,A_ins,FIXJACK1,8.914e-06,8.914e-06,0,regge,regge,ok
x01000_dpmaxmax_iii_i,B2,FIXJACK1,7.365e-06,7.365e-06,0,regge,regge,ok
