cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,MAINJACK,1.483e-06,1.003115,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,MAINJACK,6.896e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK1,1.778e-06,1.003115,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK1,7.621e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK2,1.778e-06,1.003115,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK2,7.621e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,MAINJACK,1.607e-06,1.003083,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,MAINJACK,3.586e-11,1.026687,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK1,1.779e-06,1.003115,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK1,7.581e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK2,1.779e-06,1.003115,2.000,sotto,riferimento g10sempre_lz_l30
n_r10s_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK2,7.581e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,MAINJACK,1.691e-07,1.000312,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,MAINJACK,3.491e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK1,2.01e-07,1.009906,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK1,3.401e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK2,2.01e-07,1.009906,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gi_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK2,3.401e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,MAINJACK,6.619e-07,1.009896,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,MAINJACK,6.374e-08,1.053448,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK1,2.011e-07,1.009906,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK1,3.408e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,A_ins,FIXJACK2,2.011e-07,1.009906,2.000,sotto,riferimento g10sempre_lz_l30
n_r10p_gm_l30,spegnimento_morbido,1000,0,10a0,100k,B2,FIXJACK2,3.408e-11,1.020000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
