corsa,scostamento_V,t_s,vplus_V,vminus_V,main_a_V
f_c2200s_l30,0.001,1.005906,12.789,-12.789,-0.09640
f_c2200s_l30,0.01,1.026606,10.296,-10.296,-0.10742
f_c2200s_l30,0.1,1.027806,10.151,-10.151,-0.19766
f_c2200p_l30,0.001,1.001471,13.323,-15.000,-0.09840
f_c2200p_l30,0.01,1.024647,10.531,-15.000,-0.10742
f_c2200p_l30,0.1,1.027367,10.204,-15.000,-0.19869
f_c2200m_l30,0.001,0.997797,15.000,-13.765,-0.09640
f_c2200m_l30,0.01,1.049794,15.000,-7.503,-0.08740
f_c2200m_l30,0.1,1.101164,15.000,-1.315,0.00331
f_c1000s_l30,0.001,1.007789,11.436,-11.436,-0.09640
f_c1000s_l30,0.01,1.011279,10.511,-10.511,-0.10743
f_c1000s_l30,0.1,1.011839,10.363,-10.363,-0.19781
f_c470s_l30,0.001,0.997342,14.999,-14.999,-0.09845
f_c470s_l30,0.01,1.005144,10.600,-10.600,-0.10764
f_c470s_l30,0.1,1.005426,10.441,-10.441,-0.20269
