corsa,classe,uscita,picco_V,dB_SPL_picco_1m,soglia_V,esito
cf_nodelta_l30,cf,MAINJACK,0.06935,90.3,-,controfattuale
f_c1000m_l30,f,MAINJACK,0.001184,54.9,0.002,sotto
f_c1000p_l30,f,MAINJACK,0.001283,55.6,0.002,sotto
f_c1000s_l30,f,MAINJACK,0.0006379,49.5,0.002,sotto
f_c2200m_l30,f,MAINJACK,0.00142,56.5,0.002,sotto
f_c2200p_l30,f,MAINJACK,0.001035,53.7,0.002,sotto
f_c2200s_l30,f,MAINJACK,0.0005084,47.6,0.002,sotto
f_c470m_l30,f,MAINJACK,0.00162,57.6,0.002,sotto
f_c470p_l30,f,MAINJACK,0.001773,58.4,0.002,sotto
f_c470s_l30,f,MAINJACK,0.001357,56.1,0.002,sotto
g_c1000s_l30,g,MAINJACK,0.0006379,49.5,0.002,sotto
g_c2200s_l30,g,MAINJACK,0.0005084,47.6,0.002,sotto
g_c470s_l30,g,MAINJACK,0.001357,56.1,0.002,sotto
n_r10m_gi_l30,n,FIXJACK1,2.734e-06,2.2,0.0001,sotto
n_r10m_gm_l30,n,FIXJACK1,2.607e-06,1.8,0.0001,sotto
n_r10p_gi_l30,n,FIXJACK1,2.01e-07,-20.5,0.0001,sotto
n_r10p_gm_l30,n,MAINJACK,6.619e-07,-10.1,0.0001,sotto
n_r10s_gi_l30,n,FIXJACK1,1.778e-06,-1.6,0.0001,sotto
n_r10s_gm_l30,n,FIXJACK1,1.779e-06,-1.5,0.0001,sotto
n_r300m_gi_l30,n,MAINJACK,7.458e-08,-29.1,0.0001,sotto
n_r300m_gm_l30,n,MAINJACK,9.651e-07,-6.9,0.0001,sotto
n_r300p_gi_l30,n,MAINJACK,7.161e-08,-29.5,0.0001,sotto
n_r300p_gm_l30,n,MAINJACK,1.481e-07,-23.1,0.0001,sotto
n_r300s_gi_l30,n,MAINJACK,1.287e-07,-24.4,0.0001,sotto
n_r300s_gm_l30,n,MAINJACK,1.042e-06,-6.2,0.0001,sotto
cf_corto_p_l30,cf,-,-,-,-,non corsa (Timestep too small)
cf_tardi_l30,cf,-,-,-,-,non corsa (Timestep too small)
