vn_ac,va,rete,carico_plus_mA,v_plus_min,v_plus_avg,v_plus_max,v_minus_min,v_minus_avg,i_avv_rms,p_reg_pm_W,p_vrelay12_W,margine_valle_V
12,30,0.9,265,14.264,14.470,14.675,-14.264,-14.470,0.537,-0.281,0.000,-1.336
12,30,0.9,345,13.879,14.138,14.397,-14.264,-14.470,0.608,-0.369,0.171,-1.721
12,30,1,265,16.100,16.308,16.517,-16.100,-16.308,0.547,0.693,0.000,0.500
12,30,1,345,15.702,15.965,16.228,-16.100,-16.308,0.619,0.602,0.317,0.102
12,30,1.1,265,17.940,18.151,18.362,-17.940,-18.151,0.556,1.670,0.000,2.340
12,30,1.1,345,17.530,17.797,18.063,-17.940,-18.151,0.629,1.576,0.464,1.930
12,50,0.9,265,14.370,14.590,14.814,-14.370,-14.590,0.607,-0.218,0.000,-1.230
12,50,0.9,345,14.120,14.400,14.684,-14.370,-14.590,0.688,-0.268,0.192,-1.480
12,50,1,265,16.165,16.387,16.614,-16.165,-16.387,0.618,0.735,0.000,0.565
12,50,1,345,15.908,16.191,16.479,-16.165,-16.387,0.700,0.683,0.335,0.308
12,50,1.1,265,17.963,18.187,18.416,-17.963,-18.187,0.628,1.689,0.000,2.363
12,50,1.1,345,17.700,17.985,18.276,-17.963,-18.187,0.711,1.636,0.479,2.100
13,30,0.9,265,15.460,15.665,15.869,-15.460,-15.665,0.532,0.352,0.000,-0.140
13,30,0.9,345,15.032,15.289,15.545,-15.460,-15.665,0.601,0.253,0.263,-0.568
13,30,1,265,17.446,17.653,17.860,-17.446,-17.653,0.541,1.406,0.000,1.846
13,30,1,345,17.003,17.264,17.524,-17.446,-17.653,0.612,1.303,0.421,1.403
13,30,1.1,265,19.437,19.646,19.856,-19.437,-19.646,0.550,2.462,0.000,3.837
13,30,1.1,345,18.980,19.245,19.509,-19.437,-19.646,0.622,2.356,0.580,3.380
13,50,0.9,265,15.622,15.841,16.064,-15.622,-15.841,0.603,0.446,0.000,0.022
13,50,0.9,345,15.348,15.628,15.910,-15.622,-15.841,0.683,0.389,0.290,-0.252
13,50,1,265,17.565,17.787,18.013,-17.565,-17.787,0.614,1.477,0.000,1.965
13,50,1,345,17.284,17.566,17.853,-17.565,-17.787,0.695,1.419,0.445,1.684
13,50,1.1,265,19.512,19.735,19.963,-19.512,-19.735,0.624,2.510,0.000,3.912
13,50,1.1,345,19.223,19.508,19.797,-19.512,-19.735,0.706,2.449,0.601,3.623
14,30,0.9,265,16.644,16.847,17.049,-16.644,-16.847,0.526,0.979,0.000,1.044
14,30,0.9,345,16.170,16.425,16.679,-16.644,-16.847,0.595,0.867,0.354,0.570
14,30,1,265,18.779,18.985,19.190,-18.779,-18.985,0.536,2.112,0.000,3.179
14,30,1,345,18.289,18.548,18.806,-18.779,-18.985,0.606,1.996,0.524,2.689
14,30,1.1,265,20.920,21.128,21.336,-20.920,-21.128,0.545,3.248,0.000,5.320
14,30,1.1,345,20.415,20.677,20.939,-20.920,-21.128,0.615,3.128,0.694,4.815
14,50,0.9,265,16.867,17.086,17.308,-16.867,-17.086,0.599,1.105,0.000,1.267
14,50,0.9,345,16.569,16.847,17.129,-16.867,-17.086,0.678,1.042,0.388,0.969
14,50,1,265,18.958,19.180,19.404,-18.958,-19.180,0.609,2.215,0.000,3.358
14,50,1,345,18.651,18.933,19.218,-18.958,-19.180,0.690,2.150,0.555,3.051
14,50,1.1,265,21.053,21.276,21.503,-21.053,-21.276,0.619,3.326,0.000,5.453
14,50,1.1,345,20.738,21.022,21.310,-21.053,-21.276,0.701,3.259,0.722,5.138
15,30,0.9,265,17.816,18.017,18.218,-17.816,-18.017,0.521,1.599,0.000,2.216
15,30,0.9,345,17.293,17.546,17.798,-17.816,-18.017,0.589,1.474,0.444,1.693
15,30,1,265,20.100,20.304,20.508,-20.100,-20.304,0.530,2.811,0.000,4.500
15,30,1,345,19.560,19.817,20.073,-20.100,-20.304,0.600,2.682,0.625,3.960
15,30,1.1,265,22.391,22.597,22.804,-22.391,-22.597,0.539,4.027,0.000,6.791
15,30,1.1,345,21.833,22.094,22.354,-22.391,-22.597,0.609,3.893,0.808,6.233
15,50,0.9,265,18.105,18.324,18.545,-18.105,-18.324,0.594,1.762,0.000,2.505
15,50,0.9,345,17.781,18.059,18.339,-18.105,-18.324,0.672,1.692,0.485,2.181
15,50,1,265,20.345,20.566,20.789,-20.345,-20.566,0.605,2.950,0.000,4.745
15,50,1,345,20.011,20.292,20.575,-20.345,-20.566,0.684,2.877,0.663,4.411
15,50,1.1,265,22.588,22.810,23.037,-22.588,-22.810,0.615,4.140,0.000,6.988
15,50,1.1,345,22.245,22.528,22.815,-22.588,-22.810,0.696,4.065,0.842,6.645
