modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
comp,S,d0,15,0.02,3226,0.01355847869595,-3.3763806521849835,0.01355847869595,9.829964387408e-09,4.763057034893,4.058753790321,4.899999900749,2.519013646213
comp,S,d0.1,15,0.0002,2595,0.0001920507460216,-0.3522799428303165,0.0001920507460216,9.829964496418e-09,4.898060410721,3.502269245281,4.899999900749,2.519013647088
comp,S,d0.45,15,4.5e-06,2074,4.360033017214e-06,-0.2744547142656363,4.360033017214e-06,9.829964890197e-09,4.899955968501,3.124425614303,4.899999900749,2.519013652954
comp,S,d0.75,15,1.9e-07,1640,1.854791787102e-07,-0.20916873505330102,1.854791787102e-07,9.829963092915e-09,4.899998126946,2.810790307842,4.899999900749,2.519013643131
comp,S,riposo,15,1e-08,1236,9.829964611849e-09,-0.14896091274969567,9.829964611849e-09,9.829964866083e-09,4.899999900749,2.519013648245,4.899999900749,2.519013650812
comp,P,riposo,15,1e-08,1236,9.829964866083e-09,-0.14896068810509733,9.829964611849e-09,9.829964866083e-09,4.899999900749,2.519013648245,4.899999900749,2.519013650812
comp,P,d0.75,15,1.414214e-05,2231,1.365950564177e-05,-0.30160300740228924,9.829963953931e-09,1.365950564177e-05,4.899999900749,2.519013643503,4.899862052226,3.237941531004
comp,P,d1,15,0.02,3226,0.01355847869595,-3.3763806521849835,9.829964846371e-09,0.01355847869595,4.899999900749,2.519013650825,4.763057034893,4.058753790321
comp,S,cal_2mA,15,0.002,2910,0.001821990551295,-0.8096775047890246,0.001821990551295,9.829965836576e-09,4.881598497076,3.742038756113,4.899999900749,2.519013660606
comp,P,cal_2mA,15,0.002,2910,0.001821990551297,-0.8096775047794902,9.829964936767e-09,0.001821990551297,4.899999900749,2.519013651516,4.881598497076,3.742038756113
nocomp,S,d0,15,0.02,3252,0.01557925119549,-2.16966831700041,0.01557925119549,7.142252489866e-09,4.742645932346,4.092760298656,4.899999927891,2.48728459154
nocomp,S,d0.1,15,0.0002,2598,0.0001962663079802,-0.1636848549660435,0.0001962663079802,7.142254209373e-09,4.898017835711,3.504467990123,4.899999927891,2.487284614845
nocomp,S,d0.45,15,4.5e-06,2059,3.909319048394e-06,-1.2222279627806643,3.909319048394e-06,7.142252666261e-09,4.899960520265,3.113583294119,4.899999927891,2.487284593378
nocomp,S,d0.75,15,1.9e-07,1610,1.491131222854e-07,-2.104754738813279,1.491131222854e-07,7.142254668274e-09,4.899998494193,2.789113698123,4.899999927891,2.487284626204
nocomp,S,riposo,15,1e-08,1192,7.142254837805e-09,-2.9232931621758103,7.142254837805e-09,7.142254246205e-09,4.899999927891,2.487284650844,4.899999927891,2.487284642616
nocomp,P,riposo,15,1e-08,1192,7.142254246205e-09,-2.9232938816366305,7.142254837805e-09,7.142254246205e-09,4.899999927891,2.487284650844,4.899999927891,2.487284642616
nocomp,P,d0.75,15,1.414214e-05,2222,1.279408009024e-05,-0.8701213434848009,7.142254837805e-09,1.279408009024e-05,4.899999927891,2.487284650844,4.899870792289,3.231431855619
nocomp,P,d1,15,0.02,3252,0.01557925119549,-2.16966831700041,7.142254317797e-09,0.01557925119549,4.899999927891,2.487284616891,4.742645932346,4.092760298656
nocomp,S,cal_2mA,15,0.002,2925,0.002021900405666,0.09459527467909465,0.002021900405666,7.14225312928e-09,4.879579438909,3.754378234853,4.899999927891,2.487284599775
nocomp,P,cal_2mA,15,0.002,2925,0.002021900405665,0.09459527467479836,7.142254346421e-09,0.002021900405665,4.899999927891,2.487284616729,4.879579438909,3.754378234853
cal,S,d0,15,0.02,3280,0.01798864681358,-0.920630013237579,0.01798864681358,1.041797156438e-08,4.71830921043,4.131137036571,4.899999894811,2.524784720158
cal,S,d0.1,15,0.0002,2603,0.0002034977849516,0.1505938136176057,0.0002034977849516,1.041797153802e-08,4.89794480148,3.508134088787,4.899999894811,2.524784719736
cal,S,d0.45,15,4.5e-06,2082,4.62129270106e-06,0.23101925470032936,4.62129270106e-06,1.041797311391e-08,4.899953330035,3.130208335408,4.899999894811,2.524784743311
cal,S,d0.75,15,1.9e-07,1648,1.965938699438e-07,0.29632741759137127,1.965938699438e-07,1.041797446603e-08,4.899998014703,2.816570820269,4.899999894811,2.524784749242
cal,S,riposo,15,1e-08,1244,1.041797353113e-08,0.3556649937846213,1.041797353113e-08,1.041797311391e-08,4.899999894811,2.524784747278,4.899999894811,2.524784743311
cal,P,riposo,15,1e-08,1244,1.041797311391e-08,0.35566464593127506,1.041797353113e-08,1.041797311391e-08,4.899999894811,2.524784747278,4.899999894811,2.524784743311
cal,P,d0.75,15,1.414214e-05,2239,1.447777648584e-05,0.20373470589299117,1.041797304342e-08,1.447777648584e-05,4.899999894811,2.524784742641,4.899853788381,3.24372826283
cal,P,d1,15,0.02,3280,0.01798864681358,-0.920630013237579,1.04179724069e-08,0.01798864681358,4.899999894811,2.524784728196,4.71830921043,4.131137036571
cal,S,cal_2mA,15,0.002,2923,0.001994085093037,-0.025726175312404627,0.001994085093037,1.041797338388e-08,4.879860369458,3.752724203157,4.899999894811,2.524784738935
cal,P,cal_2mA,15,0.002,2923,0.001994085093035,-0.025726175321117054,1.041797261531e-08,0.001994085093035,4.899999894811,2.524784730007,4.879860369458,3.752724203157
comp,S,d0,25,0.02,3252,0.01373225421073,-3.2657632240087637,0.01373225421073,9.825873828208e-09,4.761301213776,4.115648341059,4.899999900791,2.524088613831
comp,S,d0.1,25,0.0002,2598,0.0001916729050067,-0.3693854113519415,0.0001916729050067,9.825875076728e-09,4.898064222172,3.541237393122,4.899999900791,2.524088706115
comp,S,d0.45,25,4.5e-06,2059,4.354067500044e-06,-0.2863471251379987,4.354067500044e-06,9.825875076728e-09,4.899956028714,3.150411556246,4.899999900791,2.524088706115
comp,S,d0.75,25,1.9e-07,1610,1.853396831358e-07,-0.21570369508936568,1.853396831358e-07,9.825875076728e-09,4.899998128356,2.825956694838,4.899999900791,2.524088706115
comp,S,riposo,25,1e-08,1192,9.82587547339e-09,-0.1525748825142037,9.82587547339e-09,9.825875076728e-09,4.899999900791,2.524088710256,4.899999900791,2.524088706115
