stato,pos,csel,rs_ohm,rp_ohm,zmin_ohm,z20_ohm,z1k_ohm,z20k_ohm
gioco,0,1f,113.485,4.00037E+08,764485,997618,996599,750413
gioco,0,22p,113.485,4.00037E+08,277605,997612,981550,266110
gioco,0,68p,113.485,4.00037E+08,110715,997575,902960,105803
gioco,6,1f,113.485,4.00037E+08,764483,997619,996599,750411
gioco,6,22p,113.485,4.00037E+08,277605,997612,981550,266110
gioco,6,68p,113.485,4.00037E+08,110715,997575,902960,105803
gioco,12,1f,113.485,4.00037E+08,764482,997618,996599,750411
gioco,12,22p,113.485,4.00037E+08,277605,997612,981550,266110
gioco,12,68p,113.485,4.00037E+08,110715,997575,902960,105803
mute,0,1f,4.00037E+08,113.485,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,0,22p,4.00037E+08,113.485,304464,2.34429E+08,5.78751E+06,290858
mute,0,68p,4.00037E+08,113.485,113575,1.04506E+08,2.16558E+06,108477
mute,6,1f,4.00037E+08,113.485,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,6,22p,4.00037E+08,113.485,304464,2.34429E+08,5.78751E+06,290858
mute,6,68p,4.00037E+08,113.485,113575,1.04506E+08,2.16558E+06,108477
mute,12,1f,4.00037E+08,113.485,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,12,22p,4.00037E+08,113.485,304464,2.34429E+08,5.78751E+06,290858
mute,12,68p,4.00037E+08,113.485,113575,1.04506E+08,2.16558E+06,108477
meta,0,1f,3.48983E+06,4.00037E+08,2.00334E+06,4.48731E+06,4.45749E+06,1.93815E+06
meta,0,22p,3.48983E+06,4.00037E+08,324871,4.48684E+06,3.62487E+06,310491
meta,0,68p,3.48983E+06,4.00037E+08,116394,4.48364E+06,1.9863E+06,111179
meta,6,1f,3.48983E+06,4.00037E+08,2.00334E+06,4.48731E+06,4.45749E+06,1.93815E+06
meta,6,22p,3.48983E+06,4.00037E+08,324871,4.48684E+06,3.62487E+06,310491
meta,6,68p,3.48983E+06,4.00037E+08,116394,4.48364E+06,1.9863E+06,111179
meta,12,1f,3.48983E+06,4.00037E+08,2.00334E+06,4.48731E+06,4.45749E+06,1.93815E+06
meta,12,22p,3.48983E+06,4.00037E+08,324871,4.48684E+06,3.62487E+06,310491
meta,12,68p,3.48983E+06,4.00037E+08,116394,4.48364E+06,1.9863E+06,111179
